Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1200,5,3,2,104.2,23.8,43.0,8.0,35.0,8.2,3.6,14.6,23.0,75.0,35.6,0.4708,15.6,6.2,0.4074,32.4,26.8,0.8244,15.0,32.8,8.2,12.8,19.8,89.2,19.4,40.2,9.0,31.2,6.6,3.0,18.0,24.6,74.0,29.4,0.4008,18.2,6.4,0.3936,30.6,24.0,0.788,-15.0,38.0,6.6,16.2,16.6,104.13750417439704,103.59750417439703,50.16005767551933,42.9393200062987,20.773500834879407,66.85393258426966,1.63013698630137,18.64385536128345,4.081632653061225,15.909090909090908,10.336538461538462,14.057926359574797,0.516,0.5837142601057632
2011,480,2,0,2,98.5,20.0,47.0,14.5,32.5,8.5,2.5,16.5,22.5,88.5,37.0,0.428,17.5,5.0,0.291,25.0,19.5,0.7845,9.0,39.0,20.0,11.0,14.5,89.5,15.0,45.0,12.0,33.0,7.5,4.0,20.0,24.0,75.5,28.0,0.373,15.5,5.0,0.319,35.5,28.5,0.8125,-9.0,24.0,11.0,16.5,16.5,104.78642785334122,107.93642785334123,46.304380257013314,42.0735231776923,53.18071392667061,54.054054054054056,1.2121212121212122,14.705882352941176,6.105263157894737,14.606741573033707,10.217391304347826,14.224137931034482,0.4463276836158192,0.4949748743718593
2012,1440,6,0,6,93.33333333333333,21.166666666666668,41.333333333333336,10.666666666666666,30.666666666666668,8.0,3.6666666666666665,15.333333333333334,20.333333333333332,81.0,34.333333333333336,0.4235,22.333333333333332,7.5,0.33699999999999997,24.166666666666668,17.166666666666668,0.7101666666666667,-4.666666666666667,36.0,13.833333333333334,14.666666666666666,14.666666666666666,98.0,24.333333333333332,44.5,10.833333333333334,33.666666666666664,7.833333333333333,5.166666666666667,16.166666666666668,20.166666666666668,82.16666666666667,39.0,0.4748333333333334,17.5,6.333333333333333,0.34149999999999997,19.166666666666668,13.666666666666666,0.718,4.666666666666667,45.666666666666664,15.333333333333334,15.333333333333334,17.166666666666668,101.4143847319101,99.9143847319101,46.35866676277768,48.67660010091657,16.77739745531835,61.6504854368932,1.3804347826086956,16.519250780437044,4.8120300751879705,14.779116465863455,9.631067961165048,14.33468370208788,0.470164609053498,0.5092761004001455
2013,1680,7,5,2,103.28571428571429,23.714285714285715,48.0,13.142857142857142,34.857142857142854,12.428571428571429,5.857142857142857,20.857142857142858,27.428571428571427,86.28571428571429,36.285714285714285,0.4198571428571429,24.0,8.571428571428571,0.3465714285714286,29.142857142857142,22.142857142857142,0.7641428571428571,1.4285714285714286,41.142857142857146,14.428571428571429,20.285714285714285,22.714285714285715,101.85714285714286,24.428571428571427,45.57142857142857,13.285714285714286,32.285714285714285,10.0,5.571428571428571,21.571428571428573,26.0,84.85714285714286,35.857142857142854,0.4257142857142857,25.0,7.857142857142857,0.3164285714285714,31.857142857142858,22.285714285714285,0.6968571428571428,-1.4285714285714286,39.714285714285715,15.571428571428571,18.857142857142858,23.142857142857142,112.95517118968971,113.76945690397542,45.55557777474647,44.925486795842644,16.194616292404653,65.35433070866142,1.1369863013698631,16.504931594018455,5.786163522012578,14.480712166172104,10.259541984732824,17.385919786605694,0.4701986754966887,0.5210735701107011
2014,1680,7,5,2,95.14285714285714,21.285714285714285,44.57142857142857,10.428571428571429,34.142857142857146,10.0,6.285714285714286,20.571428571428573,24.285714285714285,81.28571428571429,35.142857142857146,0.43257142857142855,22.714285714285715,7.142857142857143,0.30342857142857144,28.0,17.714285714285715,0.6497142857142857,-6.857142857142857,40.57142857142857,12.285714285714286,14.285714285714286,18.428571428571427,102.0,24.428571428571427,46.57142857142857,13.0,33.57142857142857,11.428571428571429,3.5714285714285716,18.857142857142858,23.571428571428573,85.42857142857143,36.42857142857143,0.42757142857142855,23.142857142857142,8.428571428571429,0.35414285714285715,29.571428571428573,20.714285714285715,0.725,6.857142857142857,43.42857142857143,11.857142857142858,18.428571428571427,20.571428571428573,110.10572526283241,110.57715383426098,43.11293088622309,46.22016914829322,15.763062792649528,60.569105691056905,1.034722222222222,15.713321521977555,4.740259740259741,14.484848484848488,9.780564263322884,18.017116260447423,0.4762741652021089,0.5082107319455466
2015,1440,6,5,1,93.5,18.333333333333332,46.0,8.666666666666666,37.333333333333336,9.833333333333334,5.0,21.5,24.166666666666668,80.5,32.5,0.4031666666666667,25.166666666666668,6.5,0.2683333333333333,31.166666666666668,22.0,0.6966666666666667,-8.333333333333334,38.0,9.5,14.0,19.166666666666668,101.83333333333333,24.5,49.333333333333336,10.833333333333334,38.5,10.5,6.333333333333333,20.0,25.666666666666668,86.83333333333333,36.666666666666664,0.42250000000000004,26.166666666666668,8.833333333333334,0.33316666666666667,27.0,19.666666666666668,0.7016666666666667,8.333333333333334,42.0,7.0,17.333333333333332,21.333333333333332,114.84492265478214,113.59492265478214,40.92981234219272,44.577745706024515,19.03665377579702,56.41025641025641,0.8527131782945736,13.67682896503705,3.674911660777385,15.501730103806228,9.65034965034965,18.5803998386818,0.4440993788819876,0.49621426549674497
2016,1490,6,4,2,103.0,20.666666666666668,45.5,8.666666666666666,36.833333333333336,9.666666666666666,5.833333333333333,19.0,23.5,81.66666666666667,36.833333333333336,0.4483333333333333,25.666666666666668,8.166666666666666,0.30633333333333335,31.0,21.166666666666668,0.7081666666666667,4.0,45.666666666666664,14.0,17.0,15.0,99.0,19.333333333333332,45.0,10.833333333333334,34.166666666666664,10.0,3.8333333333333335,17.666666666666668,24.833333333333332,86.0,36.166666666666664,0.41733333333333333,24.0,6.5,0.2831666666666667,27.333333333333332,20.166666666666668,0.737,-4.0,34.666666666666664,10.833333333333334,12.833333333333334,23.333333333333332,112.42088830916165,111.32088830916166,46.035211464198596,44.24743626170545,18.0194719424153,56.10859728506787,1.087719298245614,15.31166650202509,4.046692607003892,15.454545454545455,10.05524861878453,16.62195264201563,0.5010204081632653,0.5403609401231113
2017,1200,5,3,2,107.4,21.8,45.2,7.0,38.2,9.8,6.4,17.8,23.0,87.6,37.2,0.42519999999999997,33.2,12.8,0.3886,29.4,20.2,0.6888,-1.4,48.0,13.6,9.6,21.0,108.8,23.8,51.0,10.8,40.2,9.2,5.4,18.0,25.2,90.4,40.0,0.4426,28.2,8.2,0.288,28.2,20.6,0.7285999999999999,1.4,39.6,10.0,6.2,19.8,117.49801598062955,117.13801598062955,45.77302092192425,46.369689723513574,23.46360319612591,58.6021505376344,1.2247191011235954,15.556316720899698,2.9661016949152543,15.591836734693878,9.397089397089397,15.041914548404543,0.497716894977169,0.5341370255430891
2020,480,2,0,2,107.5,21.0,43.5,15.0,28.5,10.5,2.0,15.0,26.5,95.0,39.5,0.421,35.5,9.0,0.2515,27.0,19.5,0.721,1.5,45.0,16.5,12.5,29.5,106.0,21.0,45.0,10.5,34.5,5.5,7.0,23.5,28.5,79.0,38.0,0.48350000000000004,35.0,11.0,0.3185,28.5,19.0,0.6779999999999999,-1.5,47.0,13.5,11.0,17.5,110.74669580419581,111.1966958041958,48.43577419492559,47.75992618290338,55.4858479020979,53.16455696202531,1.4,14.6976483762598,6.0606060606060606,14.615384615384615,9.830508474576272,12.307187397440105,0.4631578947368421,0.5029004491017964
2021,960,4,2,2,108.0,19.5,37.25,10.75,26.5,11.25,7.5,19.5,20.25,86.5,40.0,0.46475,33.75,11.5,0.3445,21.0,16.5,0.796,-10.75,47.0,15.5,14.25,26.75,118.75,27.5,45.5,11.25,34.25,12.75,5.5,20.0,22.0,87.5,44.25,0.50525,33.5,13.75,0.40525,23.0,16.5,0.70525,10.75,54.0,12.25,20.0,19.5,109.21138769315672,109.81138769315673,49.309940397526724,54.21810576116943,27.377846923289184,48.75,1.0,14.472317055069022,4.777777777777778,14.039735099337749,9.003021148036254,16.921207913918778,0.5289017341040463,0.564027574681429
