Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,15890,66,49,17,104.39393939393939,24.106060606060606,44.18181818181818,14.621212121212121,29.560606060606062,8.666666666666666,5.833333333333333,16.727272727272727,22.772727272727273,84.68181818181819,39.34848484848485,0.4661212121212121,17.484848484848484,6.075757575757576,0.33745454545454545,26.96969696969697,19.62121212121212,0.729651515151515,0.8484848484848485,46.84848484848485,15.93939393939394,14.636363636363637,,103.54545454545455,22.515151515151516,44.09090909090909,15.181818181818182,28.90909090909091,9.530303030303031,5.136363636363637,15.803030303030303,22.484848484848484,85.1969696969697,38.40909090909091,0.4508333333333333,17.606060606060606,5.96969696969697,0.33136363636363636,28.681818181818183,20.757575757575758,0.7256969696969697,-0.8484848484848485,47.78787878787879,16.666666666666668,15.287878787878787,,103.98581415033601,104.49945051397239,50.07257446324987,49.665598531473094,1.574463924462996,61.262995764343465,1.4411231884057971,17.546761955179104,6.7177166724678035,13.21368100237047,10.010298661174046,14.766860169604879,0.5005367686527107,0.5406296098678635
1997,16395,68,42,26,93.57352941176471,21.235294117647058,41.720588235294116,14.191176470588236,27.529411764705884,8.779411764705882,5.382352941176471,16.308823529411764,23.352941176470587,79.86764705882354,34.838235294117645,0.43711764705882356,12.161764705882353,3.838235294117647,0.3041764705882353,27.455882352941178,20.058823529411764,0.7297941176470588,-3.735294117647059,39.1764705882353,14.367647058823529,15.426470588235293,0.0,97.30882352941177,23.83823529411765,42.30882352941177,13.191176470588236,29.11764705882353,9.308823529411764,6.735294117647059,15.808823529411764,22.735294117647058,77.88235294117646,36.029411764705884,0.46366176470588233,11.279411764705882,3.7941176470588234,0.32786567164179103,28.941176470588236,21.455882352941178,0.7418676470588236,3.735294117647059,41.26470588235294,15.264705882352942,14.955882352941176,0.0,99.50256449010652,99.94815272540065,46.915614402458225,48.78840491923088,1.4598405651638218,60.95398902490502,1.302073940486925,16.398878879970198,6.5534804753820035,13.521126760563382,9.929996499824991,15.064905426626165,0.4602283189099613,0.5088380930446799
1998,10445,43,19,24,91.30232558139535,19.41860465116279,42.7906976744186,13.86046511627907,28.930232558139537,10.488372093023257,5.674418604651163,17.11627906976744,23.441860465116278,76.81395348837209,33.13953488372093,0.43286046511627907,10.55813953488372,3.2790697674418605,0.3131860465116279,29.25581395348837,21.74418604651163,0.7407441860465116,3.7906976744186047,34.651162790697676,14.023255813953488,14.232558139534884,0.0,87.51162790697674,19.069767441860463,40.06976744186046,12.837209302325581,27.232558139534884,9.55813953488372,4.976744186046512,17.697674418604652,24.0,75.74418604651163,31.953488372093023,0.42281395348837214,11.395348837209303,3.4651162790697674,0.28906976744186047,28.11627906976744,20.13953488372093,0.7234418604651163,-3.7906976744186047,36.51162790697674,12.790697674418604,15.186046511627907,0.0,99.05544546815406,98.71358500303778,46.16613903797994,44.249409373387294,2.2721190671654403,58.59649122807018,1.1345108695652175,15.384558693473261,6.745897000565931,13.853006681514476,10.328374964917204,16.02605976675115,0.452770208900999,0.5090081213114414
1999,16685,69,28,41,92.4927536231884,21.82608695652174,42.69565217391305,13.46376811594203,29.231884057971016,8.318840579710145,5.086956521739131,16.71014492753623,23.869565217391305,81.56521739130434,35.34782608695652,0.4338985507246377,10.710144927536232,3.608695652173913,0.3338405797101449,25.420289855072465,18.18840579710145,0.719086956521739,-4.028985507246377,40.31884057971015,14.579710144927537,14.405797101449275,0.0,96.52173913043478,23.08695652173913,45.05797101449275,13.797101449275363,31.26086956521739,8.971014492753623,6.27536231884058,16.63768115942029,23.652173913043477,81.92753623188406,36.69565217391305,0.44918840579710145,10.768115942028986,3.9130434782608696,0.3483768115942029,26.07246376811594,19.217391304347824,0.7407536231884059,4.028985507246377,42.0,13.898550724637682,14.884057971014492,0.0,101.342048857295,101.53770103120803,45.58993870705174,47.575837008612446,1.459129157124385,61.746617466174655,1.3061578490893322,16.624791914125115,6.020738820479586,13.587066352307176,9.730800990916597,15.265942516378118,0.4554904051172708,0.49861244796679877
2000,16950,70,22,48,92.48571428571428,20.714285714285715,42.22857142857143,12.414285714285715,29.814285714285713,8.1,4.942857142857143,15.485714285714286,21.87142857142857,80.11428571428571,35.44285714285714,0.4438714285714286,12.528571428571428,4.285714285714286,0.3193,23.3,17.314285714285713,0.7497857142857143,-0.9,39.31428571428572,13.6,14.357142857142858,17.585714285714285,93.38571428571429,21.7,42.8,12.785714285714286,30.014285714285716,8.228571428571428,5.714285714285714,15.014285714285714,21.542857142857144,80.85714285714286,35.7,0.4431,12.771428571428572,4.4,0.3456142857142857,23.6,17.585714285714285,0.7380714285714286,0.9,39.94285714285714,14.0,14.942857142857143,15.885714285714286,98.06201913491532,98.15201913491532,47.13511586695407,47.59379864415798,1.3891259346536682,58.444175735590484,1.3376383763837638,16.366353486146167,5.851851851851851,13.997317236753855,9.93279569892473,14.629590641380691,0.46915121255349507,0.5117268766480546
2001,17570,73,35,38,90.21917808219177,19.986301369863014,42.02739726027397,12.479452054794521,29.54794520547945,8.438356164383562,4.657534246575342,15.397260273972602,21.534246575342465,78.58904109589041,34.0958904109589,0.4357123287671233,11.917808219178083,3.9863013698630136,0.33982191780821913,23.602739726027398,18.041095890410958,0.7652465753424658,-1.2328767123287672,37.0958904109589,14.095890410958905,13.493150684931507,15.95890410958904,91.45205479452055,21.534246575342465,42.57534246575342,12.917808219178083,29.65753424657534,8.342465753424657,5.52054794520548,14.931506849315069,20.84931506849315,79.1917808219178,34.26027397260274,0.4334794520547945,12.780821917808218,3.8904109589041096,0.29250684931506854,24.84931506849315,19.041095890410958,0.7611506849315068,1.2328767123287672,35.726027397260275,12.698630136986301,13.904109589041095,15.835616438356164,96.66387895741235,97.03785156015209,46.57634076945477,47.21282280244155,1.3229486432616808,58.6179188429088,1.2980427046263345,16.071609540301296,5.9232769830949294,13.91612903225806,9.935233160621761,14.7523598525814,0.45921213177618964,0.5069960216285457
2002,16205,67,25,42,95.49253731343283,20.955223880597014,40.73134328358209,11.567164179104477,29.16417910447761,9.029850746268657,4.343283582089552,15.835820895522389,22.746268656716417,79.13432835820896,35.492537313432834,0.44916417910447765,12.746268656716419,4.2388059701492535,0.3168507462686567,26.119402985074625,20.26865671641791,0.7775223880597015,-0.417910447761194,40.44776119402985,13.119402985074627,15.388059701492537,18.029850746268657,95.91044776119404,22.686567164179106,41.791044776119406,11.985074626865671,29.80597014925373,9.08955223880597,5.462686567164179,15.805970149253731,22.29850746268657,79.28358208955224,35.6865671641791,0.4518208955223881,11.925373134328359,3.970149253731343,0.3362835820895522,27.01492537313433,20.567164179104477,0.7593582089552239,0.417910447761194,41.582089552238806,13.35820895522388,14.298507462686567,17.91044776119403,100.37133431617639,100.63999103259428,47.50604830237583,47.71395223367726,1.4885133626567406,59.04121110176619,1.3232799245994344,16.446058334309473,5.591630591630592,14.174827711280376,9.87158618194972,14.874526847048926,0.4752923425122595,0.5268445322793148
2003,17695,73,43,30,91.45205479452055,21.26027397260274,42.31506849315068,12.342465753424657,29.972602739726028,8.123287671232877,5.410958904109589,15.164383561643836,21.383561643835616,78.08219178082192,34.342465753424655,0.44139726027397264,14.205479452054794,4.602739726027397,0.3218082191780822,24.45205479452055,18.164383561643834,0.7494246575342466,3.1506849315068495,35.83561643835616,12.73972602739726,12.73972602739726,16.767123287671232,88.3013698630137,20.273972602739725,39.80821917808219,11.123287671232877,28.684931506849313,8.123287671232877,4.589041095890411,15.479452054794521,21.123287671232877,75.8082191780822,32.28767123287671,0.4269452054794521,13.931506849315069,4.972602739726027,0.3587808219178082,24.931506849315067,18.753424657534246,0.750972602739726,-3.1506849315068495,36.54794520547945,12.58904109589041,12.63013698630137,14.931506849315069,96.33762736478607,96.48146298122442,47.428942139707964,45.79493125113205,1.3076174536039142,61.90666134822498,1.4019873532068654,16.972135952058093,6.01669449081803,14.586666666666666,10.305254378648876,14.58036984352774,0.46929824561403505,0.5146945446695655
2004,16445,68,34,34,98.63235294117646,21.602941176470587,42.794117647058826,11.470588235294118,31.323529411764707,8.720588235294118,3.8088235294117645,16.455882352941178,23.455882352941178,81.57352941176471,35.36764705882353,0.43474999999999997,18.33823529411765,6.647058823529412,0.3642941176470588,27.5,21.25,0.7703382352941177,-2.1029411764705883,36.76470588235294,11.735294117647058,13.073529411764707,17.61764705882353,100.73529411764706,22.485294117647058,43.94117647058823,11.764705882352942,32.1764705882353,8.735294117647058,4.779411764705882,16.029411764705884,23.029411764705884,82.02941176470588,36.51470588235294,0.4463970588235294,18.33823529411765,6.367647058823529,0.3445735294117647,27.455882352941178,21.33823529411765,0.7768088235294117,2.1029411764705883,38.294117647058826,13.514705882352942,11.75,17.36764705882353,104.34019496796722,104.32695967384959,47.2677902329582,48.27558716203424,1.5226548225611443,61.08108108108108,1.3127792672028595,16.399115854339232,5.256064690026954,14.539249146757678,9.867751780264499,14.942313855357336,0.47431043807463485,0.5264686489371723
2005,16925,70,38,32,102.95714285714286,21.571428571428573,42.98571428571429,12.17142857142857,30.814285714285713,7.785714285714286,4.685714285714286,14.385714285714286,21.9,82.2,38.3,0.4675142857142857,14.9,5.214285714285714,0.34877142857142857,27.4,21.142857142857142,0.7704,3.0285714285714285,42.57142857142857,13.571428571428571,12.428571428571429,16.02857142857143,99.92857142857143,21.614285714285714,39.72857142857143,10.357142857142858,29.37142857142857,7.514285714285714,4.371428571428571,14.67142857142857,22.37142857142857,79.62857142857143,36.75714285714286,0.4630428571428571,15.114285714285714,5.442857142857143,0.35974285714285714,27.7,20.97142857142857,0.7535714285714286,-3.0285714285714285,42.51428571428571,12.8,13.014285714285714,16.32857142857143,102.23180147329649,102.32180147329649,50.33259809362732,48.85202215414501,1.450306195190024,56.32226781051847,1.4995034756703078,16.566245233090363,5.859697386519944,14.968771686328939,10.393782383419689,13.241427917716427,0.49765380604796655,0.5461569706816694
