Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1705,7,4,3,95.57142857142857,19.0,43.714285714285715,11.285714285714286,32.42857142857143,9.0,5.428571428571429,19.571428571428573,26.285714285714285,78.0,35.285714285714285,0.4531428571428572,16.142857142857142,5.285714285714286,0.30914285714285716,25.142857142857142,19.714285714285715,0.7852857142857143,5.571428571428571,34.285714285714285,9.714285714285714,15.0,21.857142857142858,90.0,18.285714285714285,36.57142857142857,8.857142857142858,27.714285714285715,9.571428571428571,5.714285714285714,16.571428571428573,22.142857142857142,75.14285714285714,30.714285714285715,0.40885714285714286,15.571428571428571,4.857142857142857,0.2775714285714286,30.285714285714285,23.714285714285715,0.7644285714285715,-5.571428571428571,36.57142857142857,11.285714285714286,15.428571428571429,20.571428571428573,101.75924428594968,103.30210142880681,46.606262256939395,43.88930526438239,14.432470079630956,53.84615384615385,0.9708029197080291,14.88628223495702,5.787545787545787,15.709342560553633,10.889679715302494,18.015885539950556,0.4862637362637363,0.5365392018478121
2011,240,1,1,0,96.0,20.0,40.0,16.0,24.0,4.0,3.0,10.0,23.0,89.0,35.0,0.393,20.0,7.0,0.35,28.0,19.0,0.679,-21.0,42.0,17.0,12.0,12.0,117.0,22.0,52.0,15.0,37.0,5.0,6.0,14.0,26.0,78.0,37.0,0.474,24.0,15.0,0.625,34.0,28.0,0.824,21.0,26.0,20.0,8.0,15.0,99.34195210449927,101.14195210449928,47.88414330754594,58.35879965607162,100.24195210449928,57.14285714285714,2.0,15.229972586049346,6.037735849056604,12.307692307692308,8.695652173913043,8.983111749910169,0.43258426966292135,0.47374654559810503
2012,1440,6,4,2,98.5,24.833333333333332,45.833333333333336,12.5,33.333333333333336,8.333333333333334,6.166666666666667,16.166666666666668,21.5,84.66666666666667,37.833333333333336,0.44933333333333336,18.833333333333332,6.0,0.3498333333333334,20.333333333333332,16.833333333333332,0.8384999999999999,8.833333333333334,31.666666666666668,14.0,10.666666666666666,18.166666666666668,89.66666666666667,22.0,40.666666666666664,11.833333333333334,28.833333333333332,6.166666666666667,6.5,17.166666666666668,20.666666666666668,82.5,32.666666666666664,0.3973333333333333,20.5,8.666666666666666,0.42416666666666664,21.333333333333332,15.666666666666666,0.7341666666666665,-8.833333333333334,39.666666666666664,14.666666666666666,14.333333333333334,20.0,100.3210228073047,100.6210228073047,49.019108817531915,44.62314812831163,16.74517046788412,65.63876651982378,1.536082474226804,18.447900158478603,6.048387096774194,14.760147601476014,10.597302504816955,14.726422542053804,0.4822834645669291,0.5261002706167212
2013,1440,6,5,1,89.5,17.5,40.166666666666664,10.666666666666666,29.5,9.333333333333334,5.5,18.666666666666668,26.0,77.0,31.333333333333332,0.40700000000000003,18.0,6.166666666666667,0.3538333333333334,29.833333333333332,20.666666666666668,0.6961666666666667,-8.0,34.666666666666664,13.5,12.166666666666666,18.5,97.5,20.666666666666668,45.333333333333336,12.833333333333334,32.5,8.166666666666666,4.166666666666667,18.166666666666668,25.666666666666668,79.16666666666667,33.333333333333336,0.424,19.166666666666668,8.0,0.42650000000000005,31.333333333333332,22.833333333333332,0.7233333333333333,8.0,30.666666666666668,12.0,13.5,22.0,104.41268376503614,104.86268376503614,42.766619433669895,46.58933401991972,17.439613960839356,55.851063829787236,0.9374999999999999,13.856630067567567,4.942084942084942,13.937007874015748,9.39571150097466,17.15791408787303,0.44696969696969696,0.49652341149493306
2014,1200,5,4,1,100.2,24.4,44.0,9.6,34.4,8.4,4.6,18.4,26.6,75.6,34.2,0.4556,21.0,7.6,0.3634,31.0,24.2,0.7812,3.6,34.4,13.4,12.6,15.4,96.6,21.4,44.4,15.4,29.0,6.4,4.4,16.8,25.6,83.4,32.6,0.3926,27.2,8.6,0.3008,28.4,22.8,0.8160000000000001,-3.6,39.6,9.2,13.6,19.8,104.5669986474395,103.7869986474395,48.091229974431,46.36340135259515,20.8353997294879,71.34502923976606,1.3260869565217392,18.47924871251136,4.974093264248705,13.815261044176706,9.95475113122172,17.094017094017094,0.5026455026455027,0.5614074406095921
2015,1440,6,4,2,103.83333333333333,23.166666666666668,43.666666666666664,10.166666666666666,33.5,9.0,6.333333333333333,15.5,24.666666666666668,80.0,35.0,0.43649999999999994,22.5,6.833333333333333,0.29783333333333334,35.166666666666664,27.0,0.7753333333333333,1.6666666666666667,34.666666666666664,10.666666666666666,14.166666666666666,18.166666666666668,102.16666666666667,21.333333333333332,46.166666666666664,12.5,33.666666666666664,7.666666666666667,4.333333333333333,17.0,28.0,83.83333333333333,35.166666666666664,0.42166666666666663,27.5,9.5,0.35483333333333333,30.833333333333332,22.333333333333332,0.7188333333333333,-1.6666666666666667,39.0,16.666666666666668,13.666666666666666,17.0,109.45755014602963,108.15755014602965,47.714213395108864,46.948335170468276,18.13459169100494,66.19047619047619,1.4946236559139785,17.270513393966507,4.638783269961977,14.565217391304348,9.721706864564007,13.967319476150427,0.4802083333333333,0.5437818588087424
2016,1200,5,3,2,97.6,22.2,46.4,9.8,36.6,7.6,5.0,16.4,20.8,79.4,35.8,0.4516,22.0,8.2,0.3646,23.0,17.8,0.7686,8.6,41.6,8.6,14.8,15.2,89.0,18.8,43.6,12.4,31.2,8.4,5.2,15.0,19.4,84.0,32.6,0.3882,25.2,7.0,0.2726,20.8,16.8,0.8106,-8.6,41.2,8.8,13.6,19.6,100.72558646092584,100.06558646092583,48.60771446262038,44.32465765546326,20.079117292185167,62.011173184357546,1.353658536585366,17.327505463627848,4.780487804878049,14.938775510204081,10.311111111111112,15.4833836858006,0.5025188916876574,0.5451295799821269
2017,960,4,3,1,103.0,25.5,43.0,10.75,32.25,9.0,3.25,15.75,18.5,86.75,39.0,0.4515,27.75,9.75,0.353,21.5,15.25,0.73,-0.25,39.0,10.5,4.5,18.75,103.25,26.0,42.25,8.25,34.0,8.25,5.5,18.75,21.75,81.25,37.5,0.461,32.25,13.75,0.42275,20.25,14.5,0.73375,0.25,41.5,12.0,2.75,19.0,105.34525152596731,104.97025152596731,48.974040670014475,49.09290970076694,26.28943788149183,65.38461538461539,1.619047619047619,18.55085115670013,4.804469273743017,15.925925925925926,10.087976539589443,14.067524115755626,0.5057636887608069,0.5352873921629768
2020,480,2,2,0,114.5,24.5,52.0,12.5,39.5,6.0,5.5,15.0,22.5,90.0,41.0,0.458,35.5,10.5,0.3005,32.0,22.0,0.732,2.0,49.0,7.0,21.5,21.0,112.5,24.0,47.5,10.5,37.0,6.0,3.0,15.0,25.5,94.5,39.5,0.418,41.5,13.5,0.3225,22.5,20.0,0.8835,-2.0,45.0,19.0,9.5,10.5,115.15080050505051,112.3008005050505,50.34037988368133,49.46107193811484,56.86290025252525,59.756097560975604,1.6333333333333333,17.06365789107118,5.05050505050505,15.8,10.452261306532664,12.596573731944911,0.5138888888888888,0.5500576479631053
2021,1200,5,4,1,107.2,22.8,43.4,10.8,32.6,7.8,3.4,14.0,16.0,90.8,40.8,0.4492,39.0,14.6,0.3772,14.8,11.0,0.7577999999999999,-5.4,40.8,9.8,12.2,18.8,112.6,25.2,45.2,8.8,36.4,9.2,7.4,15.6,17.0,86.2,42.4,0.49060000000000004,38.2,15.0,0.38920000000000005,17.2,12.8,0.7406,5.4,45.2,11.2,19.6,14.0,103.2383097519037,103.9583097519037,51.73829585478836,54.34451598180195,20.71966195038074,55.88235294117647,1.6285714285714286,17.000715819613458,4.576271186440678,15.748792270531398,9.79683972911964,12.577260313353458,0.5297356828193832,0.5508056560341993
