Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1945,8,4,4,89.0,20.375,33.0,9.25,23.75,10.25,4.75,16.0,24.75,77.25,32.5,0.420875,16.75,5.0,0.285125,27.625,19.0,0.6765,-12.375,32.0,9.375,12.0,23.5,101.375,22.75,47.25,12.75,34.5,6.125,4.875,20.25,23.5,75.5,36.5,0.48775,15.25,5.75,0.37887499999999996,30.375,22.625,0.74925,12.375,36.5,16.125,14.5,18.625,102.23717681017612,103.06217681017613,43.351329865646996,49.37911309134792,12.666284027990883,62.69230769230769,1.2734375,16.198918747018602,4.228571428571429,13.013698630136986,8.22429906542056,15.179545562354727,0.45307443365695793,0.497735026005257
2011,480,2,0,2,90.0,16.5,46.0,11.5,34.5,5.5,3.5,17.0,23.0,78.0,33.0,0.4305,10.5,3.5,0.3575,25.5,20.5,0.798,0.5,38.0,12.5,13.5,14.5,89.5,20.5,45.5,15.0,30.5,6.5,7.0,13.5,24.0,81.5,34.0,0.4215,13.5,3.5,0.2665,26.5,18.0,0.716,-0.5,34.0,17.5,6.0,19.0,98.95727813852814,99.25727813852814,45.40534342704965,45.1530915191216,49.553639069264065,50.0,0.9705882352941176,13.445241199478488,5.476190476190476,13.93939393939394,10.05464480874317,16.00451892299002,0.44551282051282054,0.5043712172158709
2012,1200,5,1,4,91.6,19.8,50.4,16.2,34.2,12.0,7.0,17.0,22.0,80.8,32.2,0.4002,13.2,3.2,0.2754,32.0,24.0,0.7514000000000001,4.8,36.4,11.0,15.8,18.2,86.8,20.6,41.2,11.0,30.2,9.0,3.4,19.4,26.2,78.8,33.0,0.41879999999999995,14.8,4.4,0.2716,23.0,16.4,0.7192000000000001,-4.8,41.6,15.4,12.6,21.0,103.75894518614587,101.05894518614588,44.722655737495025,42.379110458674326,20.481789037229177,61.490683229813655,1.1647058823529413,15.036452004860266,6.982758620689655,15.132743362831858,11.004366812227074,15.19485162674294,0.4183168316831684,0.4827150084317032
2013,1920,8,0,8,88.5,19.5,42.875,10.0,32.875,6.375,4.875,19.375,26.875,74.375,31.125,0.417875,15.0,5.125,0.318875,30.625,21.125,0.6885,-6.0,31.25,14.0,14.875,17.25,94.5,19.5,43.625,11.0,32.625,9.125,6.125,15.75,24.375,77.75,31.875,0.413125,17.75,5.875,0.342625,33.5,24.875,0.74375,6.0,35.75,10.875,12.625,20.5,104.2557921439373,105.11829214393731,42.26884158132901,45.13452575633437,13.085880267992163,62.65060240963856,1.0064516129032257,15.387650424146775,4.69208211143695,14.985754985754985,9.913294797687861,18.069480065283283,0.45294117647058824,0.5036994877632328
2014,1705,7,4,3,101.0,21.857142857142858,44.857142857142854,13.142857142857142,31.714285714285715,7.285714285714286,5.857142857142857,14.571428571428571,24.142857142857142,83.28571428571429,35.0,0.4202857142857143,23.285714285714285,7.857142857142857,0.33185714285714285,29.571428571428573,23.142857142857142,0.7867142857142857,3.5714285714285716,36.57142857142857,14.142857142857142,13.285714285714286,18.857142857142858,97.42857142857143,20.714285714285715,43.42857142857143,9.571428571428571,33.857142857142854,6.714285714285714,4.571428571428571,17.571428571428573,27.0,79.14285714285714,35.285714285714285,0.446,18.571428571428573,6.571428571428571,0.35185714285714287,27.857142857142858,20.285714285714285,0.7274285714285714,-3.5714285714285716,38.57142857142857,14.0,15.428571428571429,15.857142857142858,105.17942795390996,104.66514223962426,48.13086176442417,46.4289218151871,14.76911930980886,62.44897959183674,1.5,16.467903732724846,5.592705167173252,15.363321799307961,10.16181229773463,13.142974951035976,0.467409948542024,0.5244184666508426
2015,1680,7,4,3,103.57142857142857,19.142857142857142,47.0,12.714285714285714,34.285714285714285,8.285714285714286,4.0,13.285714285714286,22.857142857142858,84.85714285714286,35.714285714285715,0.4228571428571429,28.0,10.142857142857142,0.3685714285714286,29.571428571428573,22.0,0.747,0.7142857142857143,37.142857142857146,12.0,14.857142857142858,13.142857142857142,102.85714285714286,21.142857142857142,46.857142857142854,11.428571428571429,35.42857142857143,8.0,2.857142857142857,13.285714285714286,23.857142857142858,84.57142857142857,37.0,0.44,24.0,8.571428571428571,0.34757142857142853,27.428571428571427,20.285714285714285,0.747,-0.7142857142857143,34.857142857142854,13.857142857142858,13.571428571428571,17.571428571428573,105.1653163416702,104.52245919881307,49.393164815863386,49.05252229989192,14.977698252891663,53.599999999999994,1.4408602150537633,14.691693711077974,5.281899109792285,15.0,10.015220700152208,11.952498457742134,0.4806397306397306,0.5291352834705436
2016,1465,6,3,3,105.5,25.166666666666668,43.333333333333336,8.0,35.333333333333336,8.166666666666666,5.666666666666667,14.166666666666666,20.333333333333332,87.0,38.0,0.4403333333333333,26.833333333333332,8.833333333333334,0.33216666666666667,25.5,20.666666666666668,0.8036666666666666,1.3333333333333333,45.666666666666664,14.166666666666666,15.666666666666666,20.166666666666668,104.16666666666667,25.666666666666668,49.166666666666664,11.666666666666666,37.5,7.0,6.666666666666667,17.166666666666668,23.666666666666668,87.66666666666667,39.0,0.44766666666666666,22.0,7.5,0.3471666666666667,24.5,18.666666666666668,0.7566666666666667,-1.3333333333333333,37.0,12.0,14.333333333333334,15.0,109.77776686670305,109.47776686670305,48.117371636456845,47.509253195553754,17.959497643691968,66.2280701754386,1.7764705882352942,18.29593369844424,3.5164835164835164,15.035460992907803,9.36936936936937,12.605291256376793,0.48754789272030646,0.5370596619833028
2017,960,4,2,2,101.25,24.5,41.5,6.75,34.75,8.75,5.75,15.75,21.25,84.5,37.25,0.4395,36.5,12.5,0.331,21.5,14.25,0.67125,-6.25,34.5,7.75,9.0,18.5,107.5,26.25,44.25,5.25,39.0,8.0,3.75,21.0,21.75,81.75,39.0,0.47750000000000004,31.5,15.75,0.50725,21.5,13.75,0.6415,6.25,37.0,9.0,10.25,16.0,110.01849679815574,110.01849679815574,46.01498972748065,48.85542119213996,27.504624199538934,65.77181208053692,1.5555555555555556,18.254973548915878,2.9508196721311477,17.375,9.67930029154519,14.356029532403609,0.514792899408284,0.5387931034482758
2020,960,4,1,3,103.5,22.25,52.5,12.25,40.25,7.25,4.75,17.5,17.0,90.25,36.0,0.39975,37.25,13.0,0.34825,26.0,18.5,0.71075,-7.75,42.5,16.75,10.0,22.0,111.25,23.25,52.75,10.0,42.75,8.75,6.75,15.0,22.25,95.25,41.75,0.43625,43.25,14.5,0.3295,18.5,13.25,0.70225,7.75,39.5,13.5,6.25,15.5,113.7395994176843,111.4895994176843,45.95318925573827,49.39412854783462,28.153649854421076,61.80555555555556,1.2714285714285714,15.731052036199095,4.454545454545454,16.019900497512438,9.97624703087886,14.682439801996813,0.4709141274238227,0.508899596813846
2021,960,4,0,4,117.75,31.5,50.0,11.0,39.0,13.25,7.0,12.5,19.75,96.5,45.75,0.47425,30.75,11.5,0.3685,20.5,14.75,0.7155,21.0,46.0,12.75,15.5,20.25,96.75,20.5,48.25,11.0,37.25,8.5,5.5,20.25,18.75,88.75,34.75,0.392,34.25,9.5,0.27725,23.75,17.75,0.74975,-21.0,50.5,15.0,12.25,20.5,111.65427772020726,112.62927772020726,52.500505339671534,43.13735789055814,28.03544443005181,68.85245901639344,2.52,21.067415730337082,4.5595854922279795,15.6,10.178117048346056,10.591425182172513,0.533678756476684,0.557951099317665
