Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1680,7,2,5,90.85714285714286,20.0,47.285714285714285,10.428571428571429,36.857142857142854,7.0,5.571428571428571,17.428571428571427,19.142857142857142,77.85714285714286,33.142857142857146,0.42714285714285716,14.571428571428571,4.714285714285714,0.32557142857142857,25.0,19.857142857142858,0.7997142857142857,5.714285714285714,31.142857142857142,13.714285714285714,14.285714285714286,17.285714285714285,85.14285714285714,22.285714285714285,42.57142857142857,10.857142857142858,31.714285714285715,8.857142857142858,5.428571428571429,15.571428571428571,23.428571428571427,81.0,31.714285714285715,0.392,16.428571428571427,5.714285714285714,0.3337142857142857,22.285714285714285,16.0,0.7115714285714285,-5.714285714285714,36.857142857142854,10.571428571428571,16.571428571428573,18.0,101.16612589349147,100.35184017920575,45.08637350198658,42.25075252701886,14.394140433764086,60.3448275862069,1.1475409836065575,15.837104072398189,4.9491525423728815,15.449101796407186,10.524642289348172,16.39784946236559,0.4559633027522936,0.5112540192926045
2011,240,1,0,1,91.0,17.0,49.0,14.0,35.0,12.0,8.0,21.0,28.0,71.0,25.0,0.352,19.0,3.0,0.158,56.0,38.0,0.679,4.0,28.0,17.0,18.0,21.0,87.0,15.0,45.0,11.0,34.0,9.0,10.0,21.0,39.0,77.0,29.0,0.377,19.0,6.0,0.316,35.0,23.0,0.657,-4.0,30.0,19.0,12.0,25.0,116.88121376811594,110.58121376811594,40.00660723868555,38.24807505236969,113.73121376811594,68.0,0.8095238095238095,12.72074229272673,5.833333333333333,15.217391304347826,10.425531914893616,18.004115226337447,0.3732394366197183,0.4757423672103722
2012,1705,7,4,3,94.0,20.571428571428573,45.42857142857143,14.0,31.428571428571427,9.428571428571429,4.714285714285714,19.571428571428573,22.857142857142858,80.28571428571429,34.0,0.424,17.428571428571427,6.0,0.338,27.142857142857142,20.0,0.7321428571428571,-2.7142857142857144,35.142857142857146,12.714285714285714,12.428571428571429,20.857142857142858,96.71428571428571,23.285714285714285,40.857142857142854,11.714285714285714,29.142857142857142,9.142857142857142,5.0,16.714285714285715,23.571428571428573,81.42857142857143,35.285714285714285,0.4322857142857143,22.142857142857142,8.0,0.3628571428571429,25.142857142857142,18.142857142857142,0.7307142857142858,2.7142857142857144,39.142857142857146,14.571428571428571,12.285714285714286,20.285714285714285,103.06143330179754,102.46143330179754,45.73700316340163,47.05767650702569,14.464952488229567,60.504201680672274,1.051094890510949,15.540686380315133,6.490066225165564,14.569536423841061,10.529801324503314,17.5057500638896,0.46085409252669035,0.5096034696406444
2013,1920,8,4,4,93.0,23.125,45.375,13.625,31.75,8.25,5.75,21.625,28.0,80.375,33.5,0.4155,21.125,6.625,0.318,26.5,19.375,0.7404999999999999,-2.125,35.75,13.25,13.625,19.75,95.125,20.75,41.5,10.75,30.75,11.75,6.0,17.5,24.25,79.5,32.5,0.409625,20.75,6.875,0.321875,32.25,23.25,0.7055,2.125,32.5,15.25,11.375,20.25,105.33975010356255,107.06475010356255,43.78438305653202,44.78483266938289,13.275281262945317,69.02985074626866,1.069364161849711,16.906093504404723,6.140845070422535,14.941176470588236,10.446043165467627,19.026042583142708,0.45800933125972004,0.5052425707611236
2014,1200,5,2,3,103.6,24.6,45.2,13.0,32.2,6.2,5.4,14.4,21.2,79.2,35.8,0.45339999999999997,26.8,10.2,0.3794,27.8,21.8,0.8042,8.0,36.8,13.6,12.0,10.8,95.6,22.0,38.8,10.4,28.4,8.2,4.4,12.4,23.4,83.0,34.6,0.4166,26.2,9.4,0.36219999999999997,22.0,17.0,0.7706,-8.0,39.6,16.8,12.6,15.0,99.38746975573247,97.64746975573246,52.57950709496972,48.51931349690256,19.70349395114649,68.71508379888269,1.7083333333333335,18.860402355250244,6.280193236714976,15.117370892018782,10.761904761904763,13.606470632700884,0.5164141414141413,0.5665412547029486
2015,1200,5,4,1,93.2,22.0,38.4,7.0,31.4,7.8,3.0,16.8,25.2,78.0,31.2,0.4,31.6,11.0,0.3424,25.4,19.8,0.7706,-7.4,36.4,10.0,9.6,16.2,100.6,23.2,46.0,9.4,36.6,8.6,4.6,17.6,25.8,76.4,35.6,0.4668,20.0,5.8,0.30419999999999997,29.2,23.6,0.8093999999999999,7.4,30.8,7.2,11.0,19.8,104.0911376146789,105.23113761467889,44.52464502302933,48.05986361927843,20.93222752293578,70.51282051282051,1.3095238095238095,17.190723260611364,3.2110091743119265,15.392156862745098,9.09952606635071,15.85264588208651,0.47051282051282056,0.522562124338387
2016,1200,5,4,1,103.8,25.6,45.2,8.6,36.6,8.0,4.2,18.8,22.2,82.6,39.0,0.471,25.0,8.2,0.321,25.0,17.6,0.7032,0.2,40.0,6.4,18.4,18.8,103.6,23.0,38.2,5.6,32.6,10.0,3.8,15.6,20.6,80.4,36.4,0.45339999999999997,24.6,9.4,0.38280000000000003,26.8,21.4,0.8158,-0.2,39.6,13.0,11.8,19.8,108.76718911332995,109.30718911332995,47.598439048219326,47.50672721961004,21.807437822665992,65.64102564102564,1.3617021276595744,18.55072463768116,4.174757281553398,17.345971563981042,10.839328537170264,16.725978647686834,0.5217917675544794,0.5544871794871795
2017,1200,5,4,1,99.4,23.2,43.6,9.4,34.2,9.2,4.0,19.8,22.6,86.6,37.4,0.4316,32.2,11.2,0.3562,20.0,13.4,0.6682,-6.6,36.4,11.0,7.2,17.2,106.0,25.4,44.0,8.0,36.0,9.0,3.6,18.6,17.8,82.4,38.6,0.4692,31.0,10.6,0.3432,23.6,18.2,0.7764,6.6,36.8,12.0,9.4,22.2,108.72779560306492,109.8077956030649,45.4845819170218,48.50468494169326,21.85355912061298,62.03208556149733,1.1717171717171717,16.76300578034682,4.140969162995595,16.208530805687204,9.954337899543379,17.1875,0.4965357967667437,0.5209643605870021
2020,480,2,1,1,113.0,23.5,44.5,9.0,35.5,13.5,4.5,20.0,21.5,77.5,39.0,0.5035000000000001,29.0,12.0,0.4135,32.5,23.0,0.7065,19.5,48.0,9.0,12.0,18.5,93.5,23.0,36.5,7.0,29.5,9.0,5.0,22.5,30.5,78.0,32.0,0.41000000000000003,37.5,13.5,0.364,24.0,16.0,0.6555,-19.5,34.0,7.5,13.0,29.5,111.38158823529412,108.83158823529412,51.313914004184184,42.458858047709924,55.053294117647056,60.256410256410255,1.175,17.36881005173688,4.675324675324675,16.705882352941178,10.987654320987655,17.88908765652952,0.5806451612903226,0.6154684095860566
2021,1200,5,3,2,103.0,22.2,49.4,10.6,38.8,8.8,5.6,20.4,19.0,84.2,37.8,0.44960000000000006,32.4,10.2,0.3134,24.2,17.2,0.7024,-1.4,46.4,13.4,11.2,16.4,104.4,28.2,42.4,10.2,32.2,12.4,5.8,16.2,20.8,91.2,39.8,0.43499999999999994,33.2,12.4,0.3722,18.8,12.4,0.6664,1.4,42.0,12.6,12.6,20.6,110.18771836734695,108.56771836734694,47.08454406320341,47.72452815726637,21.875543673469387,58.730158730158735,1.0882352941176472,16.151562772830452,4.953271028037382,15.83673469387755,10.762527233115469,17.700957934194086,0.509501187648456,0.5429740215924427
