Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,15940,66,32,34,83.36363636363636,19.681818181818183,36.71212121212121,10.575757575757576,26.136363636363637,7.151515151515151,3.6515151515151514,15.863636363636363,21.939393939393938,70.53030303030303,30.40909090909091,0.4317121212121212,15.333333333333334,5.424242424242424,0.35669696969696973,22.863636363636363,17.12121212121212,0.7459848484848485,-3.484848484848485,33.24242424242424,11.696969696969697,8.742424242424242,16.5,86.84848484848484,21.772727272727273,38.10606060606061,11.0,27.106060606060606,7.893939393939394,4.545454545454546,15.409090909090908,21.40909090909091,71.16666666666667,32.04545454545455,0.4510151515151515,15.651515151515152,5.863636363636363,0.3691969696969697,23.37878787878788,16.893939393939394,0.7246363636363636,3.484848484848485,32.27272727272727,11.454545454545455,8.363636363636363,8.0,90.56857315874228,90.72311861328774,45.983153198473175,47.905386065730326,1.3648057097016062,64.72346786248131,1.2406876790830947,16.9472508662798,5.61318858061922,14.075887392900855,9.813689752936412,16.44685169243916,0.4696025778732546,0.5172063711703039
1997,15965,66,28,38,90.5909090909091,21.5,39.166666666666664,12.242424242424242,26.924242424242426,9.636363636363637,4.7727272727272725,17.681818181818183,23.681818181818183,76.78787878787878,33.378787878787875,0.43628787878787884,11.121212121212121,3.787878787878788,0.33036363636363636,26.545454545454547,20.045454545454547,0.7553484848484848,-1.6363636363636365,38.39393939393939,12.848484848484848,12.636363636363637,,92.22727272727273,23.46969696969697,39.65151515151515,11.424242424242424,28.227272727272727,9.272727272727273,5.621212121212121,17.87878787878788,23.5,74.89393939393939,33.89393939393939,0.4550151515151515,10.878787878787879,3.9242424242424243,0.36842424242424243,27.12121212121212,20.515151515151516,0.7583787878787879,1.6363636363636365,39.09090909090909,13.621212121212121,13.590909090909092,,98.95820007005875,99.13092734278602,45.7323984784411,46.55847291156899,1.4889254800840197,64.41216522923287,1.2159383033419022,16.842969870193997,6.0501684762261325,14.04188067957329,9.938485198000768,16.657436324915643,0.4593528018942383,0.5119988764968624
1998,10345,43,24,19,84.90697674418605,19.674418604651162,36.13953488372093,10.465116279069768,25.674418604651162,8.604651162790697,4.093023255813954,15.511627906976743,25.0,72.93023255813954,30.86046511627907,0.42511627906976746,12.232558139534884,3.8372093023255816,0.31002325581395346,26.023255813953487,19.348837209302324,0.7385348837209302,-6.0,36.27906976744186,12.209302325581396,11.883720930232558,0.0,90.90697674418605,23.372093023255815,38.86046511627907,10.325581395348838,28.53488372093023,7.930232558139535,5.395348837209302,15.813953488372093,23.27906976744186,71.32558139534883,32.69767441860465,0.45967441860465114,11.813953488372093,4.4186046511627906,0.35911627906976745,28.13953488372093,21.093023255813954,0.7496279069767442,6.0,34.7906976744186,12.209302325581396,11.209302325581396,0.0,94.66326240102065,95.29814612195088,44.69696103243964,47.855497309177366,2.2035156136062426,63.75282592313489,1.2683658170914542,16.454790172250142,5.366726296958856,14.263565891472867,9.63720930232558,15.528384116814424,0.4494579081632653,0.503119866826886
1999,17670,73,44,29,95.64383561643835,22.28767123287671,41.83561643835616,12.054794520547945,29.78082191780822,7.972602739726027,4.6438356164383565,17.47945205479452,26.945205479452056,82.15068493150685,35.397260273972606,0.4319041095890411,12.876712328767123,4.397260273972603,0.3286849315068493,27.17808219178082,20.45205479452055,0.7505342465753425,-5.794520547945205,38.10958904109589,14.506849315068493,14.356164383561644,0.0,101.43835616438356,24.863013698630137,44.78082191780822,12.767123287671232,32.013698630136986,8.849315068493151,5.945205479452055,17.095890410958905,25.328767123287673,82.02739726027397,37.136986301369866,0.4539178082191781,12.58904109589041,4.671232876712328,0.37787671232876713,29.15068493150685,22.493150684931507,0.7741917808219178,5.794520547945205,40.32876712328767,14.32876712328767,15.808219178082192,0.0,104.94718484257407,105.53896566449188,45.43949109527167,48.1924135721121,1.4294475416439114,62.96439628482972,1.275078369905956,16.647975638905717,5.470935654336339,13.998712169993562,9.659971532500395,15.66420655146846,0.45764548941137245,0.5081543415099943
2000,17595,73,44,29,92.36986301369863,20.45205479452055,40.04109589041096,12.054794520547945,27.986301369863014,8.205479452054794,5.219178082191781,15.356164383561644,22.794520547945204,80.24657534246575,34.93150684931507,0.43668493150684934,10.67123287671233,3.7534246575342465,0.3499589041095891,24.945205479452056,18.753424657534246,0.7505616438356164,-4.328767123287672,36.54794520547945,13.479452054794521,12.972602739726028,18.10958904109589,96.6986301369863,23.054794520547944,43.10958904109589,12.520547945205479,30.589041095890412,8.054794520547945,6.835616438356165,15.95890410958904,22.561643835616437,79.26027397260275,36.013698630136986,0.45487671232876714,11.397260273972602,4.178082191780822,0.3495890410958904,26.34246575342466,20.493150684931507,0.7762328767123288,4.328767123287672,39.67123287671233,14.424657534246576,14.876712328767123,16.602739726027398,99.34719792787084,99.76637601006263,46.39054042718938,48.56455952477084,1.3579783388776365,58.549019607843135,1.3318465655664586,16.10009015187788,5.6537102473498235,13.818058843422389,9.630971993410215,14.408295888044586,0.45868897234551054,0.5062890059526313
2001,18175,75,48,27,98.78666666666666,24.426666666666666,42.013333333333335,11.893333333333333,30.12,7.333333333333333,6.253333333333333,13.6,19.933333333333334,81.13333333333334,36.89333333333333,0.4556133333333333,13.8,5.373333333333333,0.3955866666666667,25.69333333333333,19.626666666666665,0.76632,3.533333333333333,38.24,13.946666666666667,12.706666666666667,15.333333333333334,95.25333333333333,22.69333333333333,40.666666666666664,11.146666666666667,29.52,7.026666666666666,5.226666666666667,13.96,21.333333333333332,80.70666666666666,36.25333333333333,0.4500133333333333,13.426666666666666,5.133333333333334,0.3731733333333333,23.426666666666666,17.613333333333333,0.74304,-3.533333333333333,35.92,12.346666666666666,12.026666666666667,14.693333333333333,99.21079125088377,98.53079125088377,49.957457312138004,48.17061344822701,1.305584038526113,66.20889049512108,1.796078431372549,18.7227641013482,5.743721828718608,14.597738287560583,10.162876955329784,12.825542445001057,0.48783894823336066,0.5343378220883673
2002,15915,66,53,13,93.56060606060606,21.40909090909091,42.13636363636363,12.0,30.136363636363637,8.681818181818182,5.606060606060606,16.90909090909091,21.636363636363637,81.57575757575758,34.89393939393939,0.42809090909090913,13.393939393939394,4.2727272727272725,0.3020151515151515,25.606060606060606,19.5,0.7597272727272728,-5.2272727272727275,39.27272727272727,13.954545454545455,15.227272727272727,17.727272727272727,98.78787878787878,23.833333333333332,44.46969696969697,13.227272727272727,31.242424242424242,8.93939393939394,6.833333333333333,15.878787878787879,21.5,83.95454545454545,37.60606060606061,0.44986363636363635,12.242424242424242,4.333333333333333,0.3395909090909091,25.545454545454547,19.242424242424242,0.753909090909091,5.2272727272727275,40.484848484848484,14.015151515151516,15.106060606060606,18.136363636363637,102.77688765005237,102.75870583187054,45.520391128184244,48.063635652754854,1.5497499979786837,61.35475466782459,1.2661290322580645,16.322805720490724,5.550105115627191,13.89937106918239,9.730580825752275,15.406703848914905,0.4539375928677562,0.5038677459364188
2003,16155,67,42,25,91.59701492537313,21.044776119402986,43.11940298507463,11.970149253731343,31.149253731343283,7.104477611940299,5.507462686567164,14.432835820895523,21.417910447761194,80.8955223880597,35.23880597014925,0.4377164179104478,12.014925373134329,4.014925373134329,0.3289402985074627,23.253731343283583,17.104477611940297,0.737955223880597,-4.0,39.67164179104478,15.029850746268657,13.08955223880597,14.895522388059701,95.59701492537313,22.417910447761194,44.56716417910448,13.686567164179104,30.880597014925375,7.582089552238806,5.985074626865671,13.044776119402986,19.567164179104477,83.1044776119403,36.0,0.43480597014925376,12.194029850746269,4.447761194029851,0.3635820895522388,25.37313432835821,19.149253731343283,0.7495074626865671,4.0,39.1044776119403,14.149253731343284,12.388059701492537,14.925373134328359,98.12410070390575,98.75992159942814,46.52333584705624,48.55498877308053,1.462462561213251,59.72045743329099,1.4581178903826266,16.622418809504723,5.5869035179379996,13.894806924101198,9.834893617021276,13.672637192966581,0.4604243542435424,0.5025779949946932
2004,18125,75,39,36,99.25333333333333,23.32,42.946666666666665,12.413333333333334,30.533333333333335,7.44,6.093333333333334,14.533333333333333,21.253333333333334,79.18666666666667,37.053333333333335,0.46936,12.133333333333333,4.466666666666667,0.35440000000000005,26.88,20.68,0.7634933333333334,6.546666666666667,40.10666666666667,14.44,12.346666666666666,16.346666666666668,92.70666666666666,20.4,39.56,12.853333333333333,26.706666666666667,7.1866666666666665,4.88,14.04,22.426666666666666,81.57333333333334,35.013333333333335,0.42976,12.32,4.173333333333333,0.32439999999999997,25.0,18.506666666666668,0.7437600000000001,-6.546666666666667,39.78666666666667,14.0,13.173333333333334,16.72,98.77449232130989,98.2104923213099,50.386243151174085,47.06280878964447,1.3041764500476898,62.936308024469234,1.6045871559633027,18.096148593280525,6.34628493524199,14.074984634296252,10.410471881060117,13.76951101813533,0.49612729415726553,0.5452648973636252
2005,17670,73,29,44,99.86301369863014,20.575342465753426,42.38356164383562,11.123287671232877,31.26027397260274,6.890410958904109,5.041095890410959,13.73972602739726,21.80821917808219,79.0,37.10958904109589,0.4713150684931507,16.89041095890411,6.095890410958904,0.3622876712328767,26.10958904109589,19.54794520547945,0.7425479452054795,5.972602739726027,38.19178082191781,12.424657534246576,11.123287671232877,16.575342465753426,93.89041095890411,18.534246575342465,39.013698630136986,10.438356164383562,28.575342465753426,6.835616438356165,4.232876712328767,13.63013698630137,22.013698630136986,78.08219178082192,34.52054794520548,0.4437260273972603,16.753424657534246,5.671232876712328,0.3358767123287671,26.794520547945204,19.17808219178082,0.7106027397260274,-5.972602739726027,40.76712328767123,12.356164383561644,12.356164383561644,14.246575342465754,98.72618570106398,98.93166515311879,50.523170856644406,47.50148327180258,1.3423283589418185,55.44481358434847,1.497507477567298,16.48621831177612,5.603864734299516,14.993429697766096,10.414002019522046,13.182382133995038,0.5083232183110802,0.5518011880756445
