Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2002,2235,9,5,4,92.22222222222223,20.11111111111111,41.55555555555556,10.0,31.555555555555557,8.0,4.0,13.11111111111111,24.555555555555557,79.0,32.0,0.408,20.77777777777778,7.0,0.3347777777777778,28.0,21.22222222222222,0.763,-4.333333333333333,32.888888888888886,10.444444444444445,10.222222222222221,15.555555555555555,96.55555555555556,21.555555555555557,44.77777777777778,10.333333333333334,34.44444444444444,7.888888888888889,5.0,14.555555555555555,25.0,79.11111111111111,33.333333333333336,0.4221111111111111,21.555555555555557,7.777777777777778,0.35844444444444445,27.555555555555557,22.11111111111111,0.8089999999999999,4.333333333333333,31.11111111111111,13.0,12.0,14.11111111111111,100.90080117152962,100.7674678381963,45.729664203035625,47.87840746076862,10.82782652401213,62.84722222222222,1.5338983050847457,16.148026550567412,4.5,15.066312997347481,9.626769626769626,12.554794229050517,0.44936708860759494,0.5049398939017862
2003,960,4,4,0,94.0,19.5,38.25,8.75,29.5,12.0,4.25,15.75,20.5,75.25,32.75,0.4325,17.75,7.0,0.40625,28.0,21.5,0.761,2.25,43.0,18.25,11.75,19.25,91.75,21.0,45.75,12.75,33.0,7.25,6.75,17.75,22.5,79.75,34.75,0.4335,16.5,5.5,0.329,21.75,16.75,0.7705,-2.25,28.0,8.0,18.5,17.0,100.76941900223223,98.89441900223223,47.07913107324831,45.95223697840992,24.957979750558057,59.541984732824424,1.2380952380952381,15.876893014167075,4.191616766467066,13.964497041420119,9.107142857142858,15.24390243902439,0.48172757475083056,0.5367134863537741
2004,1705,7,4,3,86.14285714285714,17.571428571428573,39.142857142857146,10.428571428571429,28.714285714285715,7.714285714285714,6.714285714285714,15.428571428571429,22.428571428571427,71.28571428571429,28.571428571428573,0.4035714285714286,17.857142857142858,5.571428571428571,0.3137142857142857,30.571428571428573,23.428571428571427,0.761,-3.7142857142857144,33.42857142857143,11.142857142857142,7.0,16.714285714285715,89.85714285714286,17.857142857142858,39.714285714285715,10.285714285714286,29.428571428571427,9.714285714285714,6.285714285714286,15.571428571428571,24.714285714285715,73.85714285714286,32.285714285714285,0.437,14.857142857142858,6.142857142857143,0.4121428571428571,24.142857142857142,19.142857142857142,0.7885714285714285,3.7142857142857144,30.0,8.857142857142858,10.0,18.142857142857142,96.54079688616557,94.61222545759412,45.06486797155752,47.007963439651206,13.453585150293938,61.5,1.138888888888889,14.92428654630169,5.232974910394266,14.725274725274726,9.927536231884059,15.403046380284101,0.43987975951903807,0.5082945579607525
2007,6000,25,9,16,97.16,22.92,40.16,10.76,29.4,7.52,5.4,12.84,23.28,74.28,34.72,0.46764000000000006,16.52,5.92,0.34768,28.32,21.8,0.76908,9.96,33.04,13.56,10.2,15.76,87.2,17.56,35.96,10.08,25.88,6.24,3.76,13.92,24.04,72.72,29.92,0.41196,16.36,5.48,0.31532,28.4,21.88,0.7729600000000001,-9.96,32.0,11.8,7.32,15.92,94.85833378704822,94.88233378704822,51.20673456156025,45.957464530342264,3.7948133514819293,66.01382488479264,1.7850467289719627,18.710081893342736,5.873362445414847,14.893617021276597,10.551760378349972,12.894051865419838,0.5072697899838449,0.5600593953479792
2008,2550,10,5,5,106.9,21.7,44.1,11.4,32.7,7.5,5.5,13.9,22.7,85.1,38.8,0.458,18.0,7.2,0.40659999999999996,29.4,22.1,0.7571,4.5,38.2,14.1,10.8,10.0,102.4,21.2,41.2,9.6,31.6,8.0,6.0,15.3,25.5,83.9,36.8,0.43920000000000003,21.5,7.4,0.3395,26.1,21.4,0.8144,-4.5,40.4,13.3,13.1,10.1,106.93412869866404,105.94412869866403,50.21649524332388,48.10261097208948,10.017800348109557,55.927835051546396,1.5611510791366905,16.238139423508635,5.3023255813953485,15.460992907801417,10.339976553341147,12.417810177244139,0.4982373678025852,0.5452078828185565
2009,5545,23,9,14,94.6086956521739,18.869565217391305,41.04347826086956,10.304347826086957,30.73913043478261,8.347826086956522,5.565217391304348,14.0,22.652173913043477,75.1304347826087,33.78260869565217,0.4504782608695653,16.434782608695652,5.6521739130434785,0.33843478260869564,28.608695652173914,21.391304347826086,0.752,4.434782608695652,38.869565217391305,11.08695652173913,11.521739130434783,14.521739130434783,90.17391304347827,18.217391304347824,37.95652173913044,9.08695652173913,28.869565217391305,6.478260869565218,4.565217391304348,15.217391304347826,24.652173913043477,74.69565217391305,32.43478260869565,0.43426086956521737,18.434782608695652,6.130434782608695,0.33591304347826084,25.47826086956522,19.17391304347826,0.7520434782608696,-4.434782608695652,36.0,11.130434782608695,9.73913043478261,18.347826086956523,98.14425217260657,97.20512173782396,48.430508764032616,46.160328665718595,4.227578876330327,55.855855855855864,1.3478260869565217,15.647985231763245,5.260821309655938,15.436681222707422,10.390753990093561,13.76350704418,0.4872685185185185,0.5392759427415836
2010,1225,5,3,2,98.6,20.2,43.6,9.8,33.8,8.4,3.4,16.4,23.8,79.4,36.6,0.45999999999999996,16.8,7.6,0.4218,21.8,17.8,0.8152000000000001,3.4,32.8,8.8,11.0,22.4,95.2,16.8,37.2,9.0,28.2,7.0,6.8,16.0,21.4,75.4,31.8,0.42560000000000003,19.6,7.6,0.3942,30.6,24.0,0.7849999999999999,-3.4,34.0,13.2,12.4,17.2,100.00972631578948,102.64972631578948,48.65304762233225,46.97535632501046,19.852354543501615,55.19125683060109,1.2317073170731707,16.08382699535002,5.157894736842105,15.794392523364486,10.792079207920791,15.560953393046908,0.508816120906801,0.5539823804386911
2011,4370,18,8,10,87.05555555555556,18.72222222222222,39.94444444444444,8.666666666666666,31.27777777777778,7.388888888888889,3.4444444444444446,13.0,21.833333333333332,78.16666666666667,33.5,0.42944444444444446,15.555555555555555,4.722222222222222,0.30544444444444446,20.055555555555557,15.333333333333334,0.7613888888888889,-4.388888888888889,39.44444444444444,10.61111111111111,13.277777777777779,13.555555555555555,91.44444444444444,18.88888888888889,42.22222222222222,9.944444444444445,32.27777777777778,7.166666666666667,5.5,12.777777777777779,19.055555555555557,76.66666666666667,33.77777777777778,0.4425,18.11111111111111,5.333333333333333,0.2857222222222222,24.72222222222222,18.555555555555557,0.7586111111111111,4.388888888888889,35.666666666666664,10.444444444444445,12.11111111111111,14.666666666666666,94.88421261128808,96.28421261128808,45.538668561085515,47.834491672971765,5.249476207484928,55.88723051409619,1.4401709401709402,15.770951498474382,4.233378561736771,15.175202156334231,9.722785665990536,13.001155658280735,0.4587775408670931,0.5003704082153988
2012,1225,5,4,1,83.4,16.4,42.0,8.8,33.2,8.4,4.8,15.4,21.2,76.0,31.0,0.4096,23.4,7.4,0.3164,17.8,14.0,0.7432000000000001,-1.6,28.0,7.0,15.2,15.6,85.0,15.2,39.6,7.2,32.4,8.4,3.2,15.6,20.0,72.8,30.0,0.41080000000000005,21.4,7.2,0.3362,22.4,17.8,0.7936,1.6,30.8,10.6,6.0,17.8,94.25693530712294,95.63693530712294,43.919269079211304,44.76184498480768,18.601848549966945,52.9032258064516,1.0649350649350648,14.18292514182925,4.271844660194175,16.435643564356436,10.294117647058824,15.51918735891648,0.4565789473684211,0.4974234182651017
2014,960,4,4,0,98.75,18.25,42.0,10.25,31.75,7.75,5.75,11.0,24.75,81.5,34.75,0.42625,26.5,8.25,0.31575,27.75,21.0,0.76275,-1.25,42.0,13.75,7.75,17.5,100.0,18.5,45.75,11.75,34.0,5.25,5.75,15.0,25.25,81.25,35.0,0.43125,25.5,7.0,0.26325,29.25,23.0,0.80425,1.25,38.0,17.75,7.75,13.75,101.82277700662381,102.27277700662381,48.38419948804482,48.996657709412474,25.511944251655954,52.51798561151079,1.6590909090909092,14.842225113858165,4.632768361581921,14.597701149425287,9.572649572649572,10.505204851494604,0.47699386503067487,0.5268914736954433
