Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1680,7,1,6,99.28571428571429,22.571428571428573,40.714285714285715,9.571428571428571,31.142857142857142,10.0,4.857142857142857,19.0,27.428571428571427,72.28571428571429,34.285714285714285,0.47528571428571426,12.857142857142858,5.142857142857143,0.40771428571428575,32.857142857142854,25.571428571428573,0.7775714285714285,8.857142857142858,32.57142857142857,11.0,15.571428571428571,19.142857142857142,90.42857142857143,16.571428571428573,36.57142857142857,8.857142857142858,27.714285714285715,8.142857142857142,5.0,19.285714285714285,26.428571428571427,71.71428571428571,30.428571428571427,0.42542857142857143,14.0,5.428571428571429,0.38585714285714284,32.42857142857143,24.142857142857142,0.7492857142857143,-8.857142857142858,39.142857142857146,11.285714285714286,14.142857142857142,21.428571428571427,104.14744794354523,104.0188765149738,47.69537750353026,43.44053807156065,14.8690231756085,65.83333333333334,1.1879699248120301,17.590737029614786,5.134099616858237,15.571428571428571,10.536044362292053,17.968116725209402,0.5098814229249011,0.5722990777338604
2011,240,1,0,1,81.0,16.0,38.0,11.0,27.0,9.0,9.0,21.0,30.0,69.0,27.0,0.391,7.0,2.0,0.286,34.0,25.0,0.735,8.0,24.0,9.0,9.0,21.0,73.0,11.0,48.0,17.0,31.0,10.0,4.0,20.0,30.0,74.0,24.0,0.324,17.0,1.0,0.059,36.0,24.0,0.667,-8.0,34.0,15.0,7.0,16.0,100.17977272727273,100.77977272727273,40.30661983076648,36.32571910674016,100.47977272727272,59.25925925925925,0.7619047619047619,13.227513227513226,5.238095238095238,12.272727272727273,8.837209302325581,20.007621951219512,0.4057971014492754,0.4823725583611243
2012,1705,7,5,2,93.14285714285714,19.571428571428573,42.285714285714285,11.0,31.285714285714285,8.142857142857142,3.857142857142857,17.571428571428573,23.714285714285715,79.0,34.42857142857143,0.43942857142857145,21.857142857142858,6.285714285714286,0.31857142857142856,25.142857142857142,18.0,0.7171428571428571,-0.8571428571428571,31.428571428571427,10.142857142857142,11.0,18.571428571428573,94.0,19.714285714285715,39.57142857142857,8.0,31.571428571428573,9.428571428571429,4.714285714285714,17.285714285714285,22.142857142857142,76.42857142857143,33.857142857142854,0.4441428571428571,19.0,6.714285714285714,0.3554285714285714,25.142857142857142,19.571428571428573,0.7794285714285714,0.8571428571428571,44.0,10.857142857142858,14.285714285714286,15.285714285714286,102.1434169964264,102.1434169964264,45.59415568901315,46.013733808850695,14.377958990699316,56.84647302904564,1.113821138211382,15.385652037195097,5.167785234899329,15.927272727272726,10.331588132635252,16.325122106604375,0.47558770343580475,0.5170991688344648
2013,1200,5,3,2,99.4,20.8,41.6,11.0,30.6,8.4,6.2,19.4,22.4,74.8,35.2,0.47300000000000003,21.6,6.2,0.2826,30.2,22.8,0.755,8.0,42.0,19.6,11.4,20.4,91.4,17.0,38.8,13.4,25.4,9.6,2.6,18.0,25.4,81.0,32.8,0.40940000000000004,19.6,5.0,0.24159999999999998,26.0,20.8,0.8006,-8.0,40.0,14.2,16.2,16.6,102.84432372627373,101.58432372627372,48.62332223915584,44.70997638489783,20.442864745254745,59.09090909090908,1.0721649484536084,16.21351958094288,6.043956043956044,13.909090909090908,10.348258706467663,18.04852634712712,0.5120320855614974,0.5642085187539734
2014,1660,7,3,4,95.71428571428571,19.571428571428573,42.0,10.142857142857142,31.857142857142858,9.285714285714286,2.857142857142857,17.714285714285715,21.285714285714285,80.28571428571429,34.0,0.42357142857142854,24.428571428571427,8.714285714285714,0.359,26.285714285714285,19.0,0.7292857142857143,0.42857142857142855,34.0,11.571428571428571,12.0,23.428571428571427,95.28571428571429,20.714285714285715,43.285714285714285,9.142857142857142,34.142857142857146,8.714285714285714,3.7142857142857144,21.285714285714285,23.571428571428573,79.71428571428571,35.285714285714285,0.44328571428571434,25.428571428571427,8.857142857142858,0.34299999999999997,21.857142857142858,15.857142857142858,0.7262857142857142,-0.42857142857142855,35.714285714285715,9.142857142857142,11.714285714285714,17.142857142857142,106.24232473225325,104.91375330368183,45.32869079809145,45.12572651093583,15.26429479777844,57.56302521008404,1.1048387096774195,15.15553785565733,4.580645161290321,15.540069686411151,9.84924623115578,16.1677271304892,0.47775800711743766,0.5210277466716435
2015,1680,7,1,6,99.14285714285714,22.142857142857142,46.42857142857143,10.0,36.42857142857143,10.428571428571429,5.714285714285714,18.0,22.857142857142858,84.71428571428571,36.142857142857146,0.42742857142857144,23.857142857142858,8.571428571428571,0.3552857142857143,25.285714285714285,18.285714285714285,0.7184285714285714,1.4285714285714286,40.857142857142854,12.142857142857142,13.571428571428571,17.714285714285715,97.71428571428571,22.428571428571427,49.142857142857146,13.571428571428571,35.57142857142857,8.571428571428571,5.857142857142857,18.142857142857142,23.142857142857142,89.28571428571429,36.42857142857143,0.4112857142857143,26.285714285714285,8.714285714285714,0.3372857142857143,23.0,16.142857142857142,0.6664285714285715,-1.4285714285714286,44.285714285714285,15.857142857142858,12.428571428571429,15.857142857142858,109.136479112021,108.4507648263067,45.56464586267654,44.9080947695544,15.541945995594835,61.264822134387344,1.2301587301587302,16.283565155271674,4.38871473354232,14.571428571428571,9.715994020926754,15.811665495432187,0.4772344013490726,0.5172310994514667
2016,1440,6,2,4,103.5,24.166666666666668,42.5,9.666666666666666,32.833333333333336,12.0,4.333333333333333,16.666666666666668,20.666666666666668,85.16666666666667,38.5,0.455,27.5,8.833333333333334,0.3055,26.0,17.666666666666668,0.6888333333333333,1.6666666666666667,40.333333333333336,15.333333333333334,13.833333333333334,18.5,101.83333333333333,23.333333333333332,44.333333333333336,10.666666666666666,33.666666666666664,8.333333333333334,3.8333333333333335,20.166666666666668,23.166666666666668,86.16666666666667,38.166666666666664,0.4423333333333333,29.0,9.166666666666666,0.31483333333333335,20.166666666666668,16.333333333333332,0.8118333333333333,-1.6666666666666667,40.333333333333336,11.333333333333334,13.666666666666666,25.666666666666668,109.45016799292662,107.70016799292662,47.662832079036136,46.89531465425294,18.095861332154435,62.770562770562776,1.45,17.583430345362828,4.461538461538462,15.095785440613026,9.788867562380037,14.713671943970336,0.5039138943248531,0.5356773169553516
2017,960,4,0,4,102.25,22.75,50.0,11.25,38.75,9.5,4.75,16.5,20.0,87.5,37.25,0.4265,32.0,12.5,0.393,24.5,15.25,0.5942500000000001,3.25,43.0,13.5,6.5,20.25,99.0,22.25,44.5,8.25,36.25,6.75,5.0,17.0,22.25,86.5,37.25,0.43075,27.5,10.0,0.3525,21.75,14.5,0.6855,-3.25,36.0,13.75,4.75,16.25,109.5577495100784,108.73274951007838,46.841250745667274,45.3524090349248,27.2863123775196,61.07382550335571,1.378787878787879,16.541845415545698,4.7368421052631575,16.48936170212766,10.582010582010582,14.375326711970727,0.49714285714285716,0.5201973951973952
2020,480,2,2,0,106.0,22.5,47.5,10.0,37.5,10.0,8.5,20.0,22.5,85.5,37.0,0.433,37.0,13.5,0.3695,24.5,18.5,0.7525,7.5,37.0,12.0,9.0,24.0,98.5,20.5,45.0,10.5,34.5,12.0,4.0,19.0,23.5,88.5,36.0,0.4095,37.0,7.5,0.2095,24.5,19.0,0.78,-7.5,35.0,16.0,15.5,21.5,111.8749604985955,111.8749604985955,47.37431840314739,44.02236191235866,55.93748024929775,60.810810810810814,1.125,16.212710765239947,4.49438202247191,15.625,10.27027027027027,17.19986240110079,0.5116959064327485,0.550477773161612
2021,480,2,1,1,117.0,24.0,48.0,10.0,38.0,7.5,5.5,21.5,19.5,85.0,39.5,0.46499999999999997,35.0,15.5,0.4375,25.0,22.5,0.894,11.5,32.0,6.0,13.5,33.0,105.5,22.5,40.5,8.5,32.0,11.5,4.5,15.5,21.0,91.0,38.5,0.42500000000000004,43.5,14.0,0.3205,19.0,14.5,0.761,-11.5,47.0,16.5,11.5,20.0,112.06989247311827,110.26989247311829,52.62216117924711,47.44989747359461,55.58494623655914,60.75949367088608,1.1162790697674418,16.96113074204947,4.761904761904762,16.344086021505376,10.847457627118644,18.29787234042553,0.5558823529411765,0.609375
