Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1680,7,6,1,99.42857142857143,21.714285714285715,40.0,12.285714285714286,27.714285714285715,8.571428571428571,4.714285714285714,20.428571428571427,27.285714285714285,79.28571428571429,35.0,0.44342857142857145,19.857142857142858,6.428571428571429,0.319,32.57142857142857,23.0,0.721,-3.142857142857143,35.714285714285715,14.428571428571429,14.428571428571429,22.142857142857142,102.57142857142857,20.857142857142858,40.57142857142857,10.714285714285714,29.857142857142858,8.428571428571429,6.0,20.142857142857142,26.571428571428573,76.0,35.142857142857146,0.4645714285714285,21.0,8.571428571428571,0.374,30.857142857142858,23.714285714285715,0.769,3.142857142857143,36.0,16.142857142857142,10.285714285714286,22.571428571428573,107.58424682934734,107.06996111506162,46.32034581605845,47.7844946780603,15.332443424600639,62.04081632653061,1.0629370629370631,15.994612341106155,5.830508474576271,14.423791821561338,9.929078014184396,17.912616494638737,0.48198198198198194,0.5310382713788683
2011,480,2,0,2,108.5,26.0,39.0,8.5,30.5,6.0,4.5,16.5,30.5,77.5,40.0,0.518,26.0,12.5,0.482,20.0,16.0,0.797,7.0,35.0,14.5,10.0,22.0,101.5,25.5,34.0,8.5,25.5,8.0,4.0,13.5,22.5,75.0,35.0,0.46499999999999997,18.0,7.5,0.41900000000000004,35.5,24.0,0.675,-7.0,34.0,12.0,19.5,16.5,98.87027243589745,103.52027243589744,53.60922372570802,50.15056413050105,50.59763621794872,65.0,1.5757575757575757,20.186335403726705,5.0,15.64102564102564,10.684931506849315,16.05058365758755,0.5967741935483871,0.6286210892236385
2012,1920,8,3,5,93.375,21.75,45.25,14.625,30.625,11.5,6.125,17.625,20.625,81.375,35.25,0.43325,17.0,5.625,0.314875,27.75,17.25,0.62475,-0.625,41.25,14.25,15.75,20.875,94.0,21.125,40.875,10.75,30.125,9.0,6.5,18.875,23.75,76.5,34.625,0.455625,18.125,6.875,0.3715,26.5,17.875,0.677,0.625,39.5,14.25,17.0,21.25,102.67695973244274,102.30195973244274,45.55346483617106,45.858374239358284,12.811182466555342,61.702127659574465,1.2340425531914894,16.35830324909747,6.5363128491620115,14.803625377643504,10.507982583454282,15.848394928513622,0.46774193548387094,0.4988780253245712
2013,1465,6,1,5,99.16666666666667,24.333333333333332,42.833333333333336,10.166666666666666,32.666666666666664,7.0,5.5,19.0,28.166666666666668,81.5,37.666666666666664,0.46366666666666667,21.5,7.833333333333333,0.35250000000000004,22.5,16.0,0.7116666666666666,4.0,40.333333333333336,9.0,12.833333333333334,19.333333333333332,95.16666666666667,20.833333333333332,42.833333333333336,12.166666666666666,30.666666666666668,8.0,4.5,18.5,22.833333333333332,80.66666666666667,34.166666666666664,0.424,19.333333333333332,6.5,0.34,28.666666666666668,20.333333333333332,0.6920000000000001,-4.0,39.333333333333336,13.833333333333334,14.166666666666666,19.5,104.42674463242547,106.27674463242548,47.0645583576529,45.16615600373076,17.258988881762534,64.60176991150442,1.280701754385965,18.060366155368627,4.979591836734693,14.572490706319703,10.0,17.21014492753623,0.5102249488752556,0.5424872355944566
2014,1680,7,5,2,104.14285714285714,24.142857142857142,40.857142857142854,8.428571428571429,32.42857142857143,8.857142857142858,3.4285714285714284,20.428571428571427,27.428571428571427,78.42857142857143,37.0,0.4715714285714286,24.714285714285715,10.142857142857142,0.41257142857142853,28.571428571428573,20.0,0.693,-1.2857142857142858,34.285714285714285,10.714285714285714,14.571428571428571,23.571428571428573,105.42857142857143,22.142857142857142,41.0,8.857142857142858,32.142857142857146,11.571428571428571,4.142857142857143,18.285714285714285,25.285714285714285,79.0,34.714285714285715,0.44057142857142856,25.285714285714285,8.857142857142858,0.3364285714285714,34.57142857142857,27.142857142857142,0.7775714285714285,1.2857142857142858,36.285714285714285,11.0,15.428571428571429,19.0,109.78397956945827,111.58397956945828,47.04513586697687,47.62594001348276,15.811997081351183,65.25096525096525,1.1818181818181819,17.808219178082194,4.154929577464788,15.70934256055363,9.982547993019196,18.333333333333332,0.5364298724954463,0.5722135007849294
2015,1440,6,3,3,103.0,22.166666666666668,44.166666666666664,7.5,36.666666666666664,10.5,4.833333333333333,18.666666666666668,24.166666666666668,81.66666666666667,37.5,0.4586666666666666,22.666666666666668,7.166666666666667,0.302,28.833333333333332,20.833333333333332,0.7113333333333333,6.333333333333333,33.666666666666664,9.666666666666666,15.333333333333334,17.5,96.66666666666667,21.0,43.833333333333336,7.833333333333333,36.0,10.0,3.0,20.5,26.166666666666668,80.66666666666667,34.5,0.4263333333333333,21.5,8.0,0.3638333333333334,27.833333333333332,19.666666666666668,0.7166666666666667,-6.333333333333333,38.0,9.333333333333334,14.5,18.5,112.51154569718886,112.21154569718885,45.834186135878745,43.015902845970345,18.72692428286481,59.111111111111114,1.1875,16.39708057993885,3.4482758620689653,16.47940074906367,10.037878787878787,16.516250811065888,0.503061224489796,0.5458206740620363
2016,1200,5,3,2,91.0,16.0,39.8,7.0,32.8,10.0,2.6,19.6,26.8,75.4,32.2,0.42800000000000005,20.6,5.6,0.265,28.0,21.0,0.754,-15.2,42.0,8.2,10.0,21.2,106.2,24.4,41.6,7.0,34.6,9.4,4.8,17.6,25.6,75.8,36.2,0.47940000000000005,25.2,9.8,0.382,31.6,24.0,0.754,15.2,34.8,8.0,14.0,18.2,107.10478063393893,108.18478063393894,42.268654115919546,49.328912825391825,21.528956126787786,49.689440993788814,0.8163265306122448,12.974375608173858,3.3653846153846154,16.482412060301506,9.77886977886978,18.263138278046966,0.4641909814323607,0.5186958504331965
2017,960,4,2,2,98.75,22.25,42.25,9.5,32.75,11.5,2.25,24.75,28.0,82.25,35.5,0.43125,29.5,8.75,0.30875,26.75,19.0,0.6895,-8.0,40.0,11.0,6.25,21.0,106.75,23.25,42.75,7.0,35.75,11.75,3.5,22.75,25.75,76.5,37.0,0.4845,28.75,9.0,0.3225,32.5,23.75,0.7252500000000001,8.0,39.5,8.0,5.75,19.0,114.22757279613607,115.95257279613608,42.901180614821605,46.37671929754133,28.772518199034018,62.676056338028175,0.898989898989899,15.777903843426467,4.198895027624309,16.47798742138365,9.941176470588236,20.838595604950747,0.4848024316109423,0.5251542225058499
2020,720,3,3,0,104.0,26.666666666666668,43.0,8.333333333333334,34.666666666666664,5.666666666666667,5.666666666666667,16.333333333333332,23.666666666666668,86.33333333333333,38.0,0.4386666666666667,41.0,15.0,0.35133333333333333,18.666666666666668,13.0,0.6960000000000001,-3.6666666666666665,35.333333333333336,11.666666666666666,9.666666666666666,19.0,107.66666666666667,22.0,42.666666666666664,7.0,35.666666666666664,9.0,2.0,16.333333333333332,20.666666666666668,80.33333333333333,37.0,0.46199999999999997,25.666666666666668,13.333333333333334,0.5126666666666667,26.333333333333332,20.333333333333332,0.7823333333333333,3.6666666666666665,35.333333333333336,13.666666666666666,14.0,15.0,105.67445505050505,107.97445505050504,48.677992296253855,50.39420356310896,35.60815168350168,70.17543859649123,1.63265306122449,19.387359441644048,3.787878787878788,16.64,10.038910505836578,14.73063973063973,0.5270270270270271,0.5499929488083486
2021,960,4,3,1,105.75,26.5,53.0,14.0,39.0,8.0,7.25,18.0,21.75,91.75,39.0,0.42474999999999996,32.5,8.5,0.26625,25.5,19.25,0.77225,-8.5,54.5,12.0,24.25,15.75,114.25,26.75,46.0,9.0,37.0,9.75,7.25,14.5,22.0,92.25,42.25,0.4575,37.0,12.75,0.34750000000000003,24.0,17.0,0.70725,8.5,52.0,13.0,12.0,20.75,113.23736519607843,112.78736519607844,46.78691566914908,50.5475661011847,28.25309129901961,67.94871794871796,1.4722222222222223,17.969756560656403,5.490196078431373,16.25,10.707070707070708,14.879722245184757,0.4713896457765668,0.5134990774011848
