Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,16330,67,40,27,97.11940298507463,19.492537313432837,40.80597014925373,12.552238805970148,28.253731343283583,8.597014925373134,5.044776119402985,17.0,23.26865671641791,79.5223880597015,35.776119402985074,0.45064179104477614,16.83582089552239,5.955223880597015,0.351044776119403,26.388059701492537,19.611940298507463,0.7435074626865671,-2.5074626865671643,42.985074626865675,15.64179104477612,13.26865671641791,,99.6268656716418,21.134328358208954,42.582089552238806,13.552238805970148,29.029850746268657,9.611940298507463,5.537313432835821,16.17910447761194,23.34328358208955,80.82089552238806,37.11940298507463,0.46071641791044776,15.701492537313433,5.686567164179104,0.35902985074626864,26.880597014925375,19.70149253731343,0.7351044776119403,2.5074626865671643,42.23880597014925,13.597014925373134,13.417910447761194,,100.88719375608262,101.03495495011248,48.09744924336521,49.33924599653647,1.483812482837931,54.48477263245724,1.1466198419666376,15.273210368007186,6.037329504666188,13.516601213852196,9.787005548594953,15.721360622339516,0.4873310810810811,0.5328435354541167
1997,16850,70,55,15,98.72857142857143,19.785714285714285,41.25714285714286,12.942857142857143,28.314285714285713,8.085714285714285,4.957142857142857,15.728571428571428,22.62857142857143,81.57142857142857,37.44285714285714,0.45945714285714284,14.514285714285714,5.414285714285715,0.3585714285714286,25.5,18.428571428571427,0.7216571428571429,-2.1285714285714286,45.22857142857143,15.514285714285714,15.014285714285714,0.0,100.85714285714286,20.771428571428572,42.77142857142857,13.914285714285715,28.857142857142858,8.457142857142857,5.457142857142857,14.542857142857143,21.34285714285714,82.54285714285714,37.75714285714286,0.45685714285714285,14.857142857142858,5.185714285714286,0.3452142857142857,27.4,20.15714285714286,0.7370571428571429,2.1285714285714286,44.8,15.971428571428572,14.042857142857143,0.0,100.41776484269695,100.98776484269696,49.01979185119231,50.076650335612456,1.4343420511719447,52.84242655475009,1.2579473206176204,15.420758456365377,6.192754613807246,13.41001353179973,9.819789187351242,14.49370754567953,0.49220665499124344,0.5319918711703667
1998,10900,45,37,8,97.35555555555555,19.8,42.0,12.955555555555556,29.044444444444444,8.4,5.688888888888889,15.955555555555556,23.266666666666666,79.33333333333333,37.0,0.46882222222222225,12.6,4.488888888888889,0.3454888888888889,25.377777777777776,18.866666666666667,0.7446666666666666,4.6,44.355555555555554,14.666666666666666,13.133333333333333,0.0,92.75555555555556,18.466666666666665,40.666666666666664,13.511111111111111,27.155555555555555,8.622222222222222,4.844444444444444,15.622222222222222,22.044444444444444,78.62222222222222,34.111111111111114,0.4355555555555556,13.11111111111111,4.311111111111111,0.3327111111111111,28.11111111111111,20.22222222222222,0.7238888888888889,-4.6,44.977777777777774,15.2,13.244444444444444,0.0,98.40194115353428,99.22194115353429,49.26305182299991,46.935397924949015,2.175675768518186,53.51351351351351,1.2409470752089138,15.682533424389423,6.459833795013851,13.650130548302872,10.161290322580648,14.988059651642425,0.49467787114845946,0.5378786390602287
1999,17065,71,58,13,99.4225352112676,22.239436619718308,44.42253521126761,12.661971830985916,31.760563380281692,7.901408450704225,5.549295774647887,14.76056338028169,21.591549295774648,84.11267605633803,38.2112676056338,0.4542394366197183,14.19718309859155,4.971830985915493,0.35523943661971835,24.366197183098592,18.028169014084508,0.7378591549295774,3.4225352112676055,43.46478873239437,13.901408450704226,13.267605633802816,0.0,96.0,19.971830985915492,42.732394366197184,11.746478873239436,30.985915492957748,6.704225352112676,5.295774647887324,15.507042253521126,21.929577464788732,82.91549295774648,36.732394366197184,0.44428169014084506,14.774647887323944,5.394366197183099,0.3627887323943662,23.12676056338028,17.140845070422536,0.7483802816901408,-3.4225352112676055,43.774647887323944,13.915492957746478,12.76056338028169,0.0,101.86152784347576,101.48969685756026,48.8920267667122,47.208960821916754,1.4299529425212025,58.20125322521194,1.506679389312977,16.86929766457982,5.80187157147467,14.600194237617353,10.193923723335486,13.468359636045852,0.48384125920964494,0.5241935483870968
2000,17315,71,48,23,91.5774647887324,19.267605633802816,42.28169014084507,12.028169014084508,30.253521126760564,6.619718309859155,5.436619718309859,14.338028169014084,22.08450704225352,80.09859154929578,34.929577464788736,0.43719718309859157,13.28169014084507,4.197183098591549,0.31190140845070424,24.830985915492956,17.52112676056338,0.7035915492957746,-3.9859154929577465,42.16901408450704,13.43661971830986,10.943661971830986,15.309859154929578,95.56338028169014,21.6056338028169,43.04225352112676,12.23943661971831,30.802816901408452,7.014084507042254,5.887323943661972,14.04225352112676,21.281690140845072,81.11267605633803,36.67605633802817,0.4545774647887324,12.52112676056338,4.380281690140845,0.35080281690140847,24.774647887323944,17.830985915492956,0.7202253521126761,3.9859154929577465,41.57746478873239,13.253521126760564,11.140845070422536,15.183098591549296,98.73223972358778,98.71533831513707,46.38064730820429,48.39936819227408,1.368392108844758,55.16129032258063,1.343811394891945,15.459863121445814,5.6165734955606705,14.239310573417303,9.910861670518324,13.608315777090976,0.46228239845261127,0.5030389681124975
2001,17140,71,35,36,94.36619718309859,21.225352112676056,41.929577464788736,13.422535211267606,28.507042253521128,6.802816901408451,5.52112676056338,13.71830985915493,20.802816901408452,83.08450704225352,36.32394366197183,0.43835211267605634,13.985915492957746,4.816901408450704,0.3385915492957746,23.070422535211268,16.901408450704224,0.7394788732394366,-4.605633802816901,43.943661971830984,14.873239436619718,10.014084507042254,14.816901408450704,98.97183098591549,22.887323943661972,43.25352112676056,13.19718309859155,30.056338028169016,6.816901408450704,6.47887323943662,13.971830985915492,20.633802816901408,82.43661971830986,38.04225352112676,0.4634788732394366,14.0,5.211267605633803,0.37891549295774646,23.3943661971831,17.676056338028168,0.7559859154929577,4.605633802816901,42.76056338028169,16.549295774647888,9.71830985915493,15.788732394366198,97.78071985150639,97.87790295009795,48.2300221844988,50.58393520753329,1.369838666055573,58.43350135711516,1.5472279260780286,16.55912938756494,6.174279235503725,13.671057075312394,9.84457671957672,12.826388120710273,0.4661807085946771,0.5060637005794807
2002,16395,68,47,21,97.1029411764706,22.102941176470587,42.35294117647059,12.102941176470589,30.25,7.514705882352941,6.3088235294117645,14.397058823529411,21.897058823529413,80.80882352941177,36.26470588235294,0.4499705882352941,15.485294117647058,5.352941176470588,0.3401323529411765,25.36764705882353,19.220588235294116,0.7550735294117646,2.1176470588235294,43.11764705882353,15.0,10.808823529411764,14.882352941176471,94.98529411764706,20.102941176470587,43.36764705882353,13.279411764705882,30.08823529411765,7.411764705882353,4.647058823529412,14.970588235294118,22.235294117647058,82.08823529411765,35.8235294117647,0.43782352941176467,14.455882352941176,4.764705882352941,0.3143088235294118,24.720588235294116,18.573529411764707,0.7512352941176471,-2.1176470588235294,40.94117647058823,13.985294117647058,11.470588235294118,16.441176470588236,99.57319926958577,99.37908162252694,48.807151514451505,47.74275202663066,1.4561923578562688,60.94890510948905,1.5352400408580185,17.20467032967033,5.737190658766121,13.898648648648647,9.881626351003604,13.535185953269737,0.48189262966333035,0.5279021426287177
2003,16635,69,46,23,95.46376811594203,20.884057971014492,42.78260869565217,13.434782608695652,29.347826086956523,7.434782608695652,5.144927536231884,15.608695652173912,22.89855072463768,80.4927536231884,35.18840579710145,0.43794202898550727,14.579710144927537,4.855072463768116,0.32356521739130434,26.463768115942027,20.231884057971016,0.7643913043478261,-2.739130434782609,41.85507246376812,16.159420289855074,10.289855072463768,16.52173913043478,98.20289855072464,21.6231884057971,42.971014492753625,13.797101449275363,29.17391304347826,8.072463768115941,5.0,14.26086956521739,21.956521739130434,81.68115942028986,36.391304347826086,0.4463913043478261,13.318840579710145,4.63768115942029,0.34731884057971013,27.536231884057973,20.782608695652176,0.755840579710145,2.739130434782609,43.01449275362319,15.159420289855072,9.753623188405797,16.565217391304348,99.57012043467034,99.89185956510512,47.86063394941207,49.23389337197756,1.4388600901697057,59.3492586490939,1.3379758588672237,16.2358147877739,6.306122448979591,13.604299630500503,9.978029406793985,14.486632483415026,0.46732084983795463,0.5180544370060906
2004,17215,71,36,35,98.29577464788733,23.760563380281692,41.732394366197184,12.169014084507042,29.56338028169014,7.577464788732394,5.746478873239437,14.71830985915493,22.253521126760564,78.49295774647888,36.478873239436616,0.46636619718309863,12.591549295774648,4.619718309859155,0.3567323943661972,26.901408450704224,20.718309859154928,0.775225352112676,4.830985915492958,39.436619718309856,12.80281690140845,9.211267605633802,16.91549295774648,93.46478873239437,20.52112676056338,39.2112676056338,11.915492957746478,27.295774647887324,7.690140845070423,4.225352112676056,14.985915492957746,22.971830985915492,78.95774647887323,34.80281690140845,0.44228169014084506,11.915492957746478,4.28169014084507,0.3613380281690141,25.464788732394368,19.577464788732396,0.7658169014084507,-4.830985915492958,39.070422535211264,13.816901408450704,9.43661971830986,15.52112676056338,98.60408688089024,98.17310096539728,49.95283026641842,47.497776421830146,1.3716678792654373,65.13513513513514,1.614354066985646,18.446432086076058,6.167023554603855,14.254668930390492,10.311466852270751,14.011047945940149,0.494168311501884,0.544095175725824
2005,18125,75,32,43,94.93333333333334,20.333333333333332,41.266666666666666,9.893333333333333,31.373333333333335,7.1066666666666665,4.88,14.133333333333333,23.026666666666667,79.37333333333333,35.29333333333334,0.44624,13.613333333333333,4.706666666666667,0.3443733333333333,25.653333333333332,19.64,0.7679466666666667,-2.48,39.54666666666667,12.48,9.146666666666667,14.452054794520548,97.41333333333333,21.866666666666667,41.96,10.253333333333334,31.706666666666667,6.733333333333333,5.493333333333333,13.48,21.44,79.64,36.013333333333335,0.45316,13.373333333333333,4.506666666666667,0.32888,27.453333333333333,20.88,0.7591733333333334,2.48,39.04,12.28,9.653333333333334,14.726027397260275,100.47310112731813,101.01310112731814,47.11654310370967,48.34739661737399,1.333977614927247,57.612391386475245,1.4386792452830188,16.250095902205324,4.756410256410256,15.073670723894942,9.916693367510414,13.486760073082973,0.4742986729380145,0.5235632893893135
