Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,1920,8,4,4,89.5,17.75,39.125,12.75,26.375,5.0,5.0,12.0,19.75,77.25,31.875,0.413875,21.25,7.125,0.33975,23.625,18.625,0.78775,-0.875,31.75,15.5,10.625,0.0,90.375,17.0,40.125,11.125,29.0,6.375,2.75,14.0,22.375,74.125,34.25,0.464,20.5,6.25,0.3125,22.0,15.625,0.71475,0.875,35.25,12.0,9.875,0.0,91.35765869510978,90.87015869510978,49.11434559321216,49.594513776386016,11.389238586888723,55.68627450980392,1.4791666666666667,15.119894373695644,6.107784431137724,14.066666666666666,9.873817034700316,12.042751768779166,0.4587378640776699,0.5105824633464545
1997,960,4,3,1,81.75,19.75,39.0,11.0,28.0,8.75,3.5,11.75,22.5,75.75,33.0,0.4355,15.75,5.0,0.30825,19.75,10.75,0.5585,-10.0,37.5,9.75,10.0,,91.75,19.5,36.25,8.0,28.25,6.0,4.0,13.0,22.25,68.25,34.25,0.5025,11.0,5.25,0.51225,24.75,18.0,0.7255,10.0,30.5,11.75,10.5,,88.94800070771409,90.44800070771409,45.56957755746804,51.143837809146085,22.42450017692852,59.84848484848485,1.6808510638297873,17.03467310677937,5.6050955414012735,15.555555555555555,10.365448504983389,12.215407006965382,0.46864686468646866,0.48407153008053055
1998,1920,8,5,3,84.5,15.25,41.25,12.125,29.125,8.125,3.75,12.125,20.75,74.875,31.625,0.424375,13.625,4.375,0.323375,22.875,16.875,0.746125,9.75,32.75,11.0,11.625,0.0,74.75,15.375,38.125,11.125,27.0,7.375,3.625,13.375,22.25,74.125,28.25,0.382625,11.125,2.5,0.227625,19.75,15.75,0.7923749999999999,-9.75,25.5,13.0,9.875,0.0,88.88304649827359,87.94554649827359,47.78638938876248,42.27257522852065,11.051787062284198,48.22134387351779,1.2577319587628866,13.577883630859636,6.198083067092652,14.472049689440993,10.393700787401574,12.491629320558388,0.4515859766277129,0.4974099364257123
2007,1680,7,4,3,84.71428571428571,18.285714285714285,36.57142857142857,12.285714285714286,24.285714285714285,5.571428571428571,4.571428571428571,14.142857142857142,22.285714285714285,75.14285714285714,29.857142857142858,0.3975714285714286,14.714285714285714,5.0,0.30114285714285716,25.857142857142858,20.0,0.7592857142857143,-16.857142857142858,36.0,15.571428571428571,9.857142857142858,15.428571428571429,101.57142857142857,23.142857142857142,41.142857142857146,12.285714285714286,28.857142857142858,7.285714285714286,6.857142857142857,12.285714285714286,22.857142857142858,77.85714285714286,37.0,0.4754285714285714,16.428571428571427,6.142857142857143,0.35571428571428576,27.285714285714285,21.428571428571427,0.7834285714285715,16.857142857142858,39.42857142857143,15.285714285714286,10.714285714285714,16.571428571428573,93.72217881944445,94.15075024801587,45.091267877059074,54.063897909930866,13.419494933390023,61.24401913875598,1.2929292929292928,15.372790161414295,5.972222222222222,13.28125,9.411764705882351,14.049727520435967,0.4306083650190115,0.48956475794201176
2008,2400,10,7,3,92.6,16.7,36.8,10.6,26.2,7.4,4.6,10.3,21.1,73.3,32.5,0.442,19.2,6.8,0.3405,26.2,20.8,0.7921,8.0,32.6,14.0,13.2,7.8,84.6,16.1,38.0,10.8,27.2,5.3,4.2,14.3,22.1,70.4,30.3,0.433,18.3,7.1,0.3806,23.5,16.9,0.7106,-8.0,31.2,13.3,9.9,9.6,89.76681793221793,88.95681793221793,51.81183761852196,47.335652943055706,8.936181793221792,51.38461538461539,1.6213592233009706,14.933648102443037,5.608465608465608,14.162162162162161,9.83957219251337,10.827516609200236,0.4897680763983629,0.5458103456405903
2009,2160,9,6,3,96.88888888888889,17.444444444444443,41.666666666666664,11.222222222222221,30.444444444444443,5.0,5.333333333333333,12.444444444444445,21.666666666666668,77.22222222222223,36.44444444444444,0.4746666666666667,18.444444444444443,6.666666666666667,0.36044444444444446,22.11111111111111,17.333333333333332,0.8009999999999999,7.222222222222222,36.22222222222222,14.666666666666666,10.555555555555555,14.0,89.66666666666667,15.11111111111111,40.0,12.88888888888889,27.11111111111111,7.222222222222222,3.3333333333333335,11.555555555555555,20.555555555555557,79.66666666666667,32.55555555555556,0.4107777777777778,17.88888888888889,6.0,0.335,24.0,18.555555555555557,0.7673333333333333,-7.222222222222222,35.77777777777778,13.222222222222221,8.11111111111111,15.0,92.61654787563484,93.1832145423015,52.14693906386591,48.25983924832545,10.322209023218685,47.86585365853659,1.4017857142857142,14.930198942523488,5.855072463768117,14.051282051282053,10.204081632653063,12.520121624038634,0.5151079136690647,0.5571457779595175
2010,2400,10,6,4,86.3,17.9,37.5,9.6,27.9,6.6,6.1,12.4,21.1,75.2,32.5,0.4323,16.6,4.4,0.2612,22.5,16.9,0.7586,-2.7,34.8,11.6,9.6,13.8,89.0,17.6,42.2,11.4,30.8,6.3,3.9,13.5,19.4,77.1,32.9,0.4277,17.2,5.1,0.2812,24.6,18.1,0.7434000000000001,2.7,40.4,13.2,11.1,12.4,93.18216884589222,93.81216884589222,46.15113006375891,47.5950240518487,9.349716884589222,55.076923076923066,1.443548387096774,15.511265164644712,4.752475247524752,14.198473282442748,9.410288582183187,12.717948717948715,0.46143617021276595,0.5070505287896592
2011,1465,6,4,2,87.33333333333333,18.5,43.166666666666664,9.5,33.666666666666664,7.333333333333333,6.166666666666667,13.833333333333334,19.166666666666668,77.5,33.0,0.4266666666666667,17.833333333333332,6.166666666666667,0.332,19.5,15.166666666666666,0.7685,5.666666666666667,34.333333333333336,7.666666666666667,12.5,17.0,81.66666666666667,18.833333333333332,40.5,7.5,33.0,7.166666666666667,3.3333333333333335,14.333333333333334,19.5,78.5,32.0,0.409,15.666666666666666,4.0,0.25166666666666665,16.833333333333332,13.666666666666666,0.8121666666666667,-5.666666666666667,36.666666666666664,9.5,15.333333333333334,13.0,95.5459854727316,94.7459854727316,45.89438687266666,42.91650680840967,15.587055640584019,56.060606060606055,1.3373493975903614,15.623240626055626,4.470588235294118,16.356275303643724,10.318725099601593,13.845332621605394,0.4655913978494624,0.5072800495662949
2012,1440,6,4,2,85.33333333333333,18.5,41.833333333333336,10.333333333333334,31.5,6.5,4.5,14.666666666666666,24.833333333333332,78.5,31.333333333333332,0.4001666666666666,19.5,5.5,0.2801666666666667,24.166666666666668,17.166666666666668,0.6796666666666668,-13.166666666666666,36.0,9.833333333333334,8.833333333333334,12.0,98.5,20.333333333333332,45.833333333333336,10.833333333333334,35.0,7.666666666666667,4.166666666666667,13.0,23.166666666666668,78.0,34.166666666666664,0.43883333333333335,20.166666666666668,7.0,0.3365,30.666666666666668,23.166666666666668,0.7606666666666667,13.166666666666666,40.0,13.333333333333334,10.333333333333334,13.833333333333334,98.74689685618343,100.69689685618343,42.7856549180964,49.38734776678706,16.62031614269724,59.04255319148937,1.2613636363636365,15.126737530662304,4.5588235294117645,14.881889763779528,9.543726235741445,14.12973667308927,0.4341825902335456,0.4786836200448765
2013,1680,7,4,3,92.0,17.0,41.42857142857143,9.571428571428571,31.857142857142858,7.142857142857143,5.0,13.142857142857142,22.0,78.85714285714286,32.42857142857143,0.41657142857142854,27.571428571428573,9.571428571428571,0.3512857142857143,22.571428571428573,17.571428571428573,0.7622857142857143,-1.8571428571428572,32.57142857142857,11.571428571428571,8.857142857142858,18.285714285714285,93.85714285714286,20.285714285714285,42.857142857142854,9.0,33.857142857142854,7.428571428571429,5.857142857142857,15.285714285714286,21.428571428571427,76.42857142857143,32.285714285714285,0.4258571428571428,26.571428571428573,9.428571428571429,0.35700000000000004,25.0,19.857142857142858,0.7948571428571428,1.8571428571428572,32.285714285714285,8.857142857142858,11.285714285714286,15.0,97.66618902479101,98.39476045336244,46.9241836504782,47.871410960192826,14.004353534153816,52.42290748898678,1.2934782608695652,14.29395089607457,4.407894736842106,15.594405594405595,9.830508474576272,12.893822177374144,0.47192028985507245,0.5180846955850174
