Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,3840,16,9,7,89.5625,18.0625,42.5625,11.5625,31.0,8.1875,4.625,14.0625,21.8125,73.5,31.4375,0.4279375,19.375,6.75,0.3385625,26.625,19.9375,0.753625,7.5,37.5,13.4375,10.8125,0.0,82.0625,16.25,40.3125,11.5625,28.75,7.1875,4.6875,15.25,23.25,74.0625,29.1875,0.395375,21.0,6.4375,0.30593750000000003,24.5,17.25,0.6989375,-7.5,32.375,11.3125,10.8125,0.0,93.87349465773657,93.23599465773657,47.86635906476903,43.85801078300191,5.847171541108535,57.45526838966203,1.2844444444444445,15.393301516959264,5.736434108527132,14.566813509544787,10.271493212669684,14.164840976051975,0.4736394557823129,0.5255090066302881
1997,960,4,2,2,88.75,17.25,38.75,9.75,29.0,7.75,3.5,11.75,26.5,70.25,29.0,0.41375,17.75,6.25,0.34475,32.75,24.5,0.7515000000000001,1.0,32.5,11.5,7.75,,87.75,16.0,40.5,10.5,30.0,7.0,2.25,14.25,25.5,70.25,30.5,0.43574999999999997,13.25,5.25,0.36675,29.0,21.5,0.74775,-1.0,34.5,10.75,10.0,,94.55885657989015,93.43385657989015,47.209276630083465,46.677341118758584,23.499089144972537,59.48275862068966,1.4680851063829787,15.176843216610946,4.90566037735849,14.683544303797468,9.779179810725552,12.187532413650036,0.45729537366548045,0.5241554453106544
1998,720,3,1,2,84.0,15.0,40.666666666666664,10.666666666666666,30.0,5.666666666666667,3.6666666666666665,13.666666666666666,23.333333333333332,66.0,29.333333333333332,0.446,14.333333333333334,5.333333333333333,0.38466666666666666,27.0,20.0,0.7360000000000001,6.333333333333333,26.666666666666668,14.666666666666666,7.0,0.0,77.66666666666667,14.0,34.666666666666664,8.666666666666666,26.0,8.333333333333334,2.3333333333333335,12.333333333333334,25.666666666666668,69.66666666666667,27.0,0.38766666666666666,19.333333333333332,6.0,0.32266666666666666,24.333333333333332,17.666666666666668,0.7233333333333333,-6.333333333333333,22.0,8.333333333333334,2.0,0.0,88.57701149425287,87.77701149425286,47.63146231457101,44.040201267043834,29.392337164750955,51.13636363636363,1.0975609756097562,14.078338130396697,5.818181818181818,15.517241379310345,10.79646017699115,14.9286338479464,0.48484848484848486,0.539291217257319
2000,720,3,3,0,83.33333333333333,17.0,37.0,8.666666666666666,28.333333333333332,6.666666666666667,6.333333333333333,19.0,24.0,72.66666666666667,31.333333333333332,0.432,16.666666666666668,4.333333333333333,0.25033333333333335,21.333333333333332,16.333333333333332,0.7673333333333333,-12.333333333333334,18.666666666666668,11.333333333333334,9.666666666666666,,95.66666666666667,18.0,41.666666666666664,10.666666666666666,31.0,10.666666666666666,2.6666666666666665,15.333333333333334,22.0,74.0,32.666666666666664,0.4406666666666667,11.666666666666666,6.0,0.5223333333333333,32.0,24.333333333333332,0.7596666666666666,12.333333333333334,33.333333333333336,11.0,18.666666666666668,,96.88709090473796,100.08709090473796,42.306729017886134,48.568124912533285,32.82903030157932,54.255319148936174,0.8947368421052632,14.400271063925908,4.369747899159663,14.52991452991453,9.40677966101695,18.801952764216914,0.46100917431192656,0.5077998050048748
2003,2640,11,6,5,88.36363636363636,19.09090909090909,41.63636363636363,10.090909090909092,31.545454545454547,7.090909090909091,4.636363636363637,14.454545454545455,22.90909090909091,72.36363636363636,31.90909090909091,0.4441818181818182,14.545454545454545,4.909090909090909,0.3399090909090909,26.545454545454547,19.636363636363637,0.7472727272727273,8.818181818181818,32.54545454545455,12.909090909090908,7.818181818181818,13.818181818181818,79.54545454545455,15.909090909090908,41.90909090909091,13.0,28.90909090909091,7.0,4.545454545454546,17.454545454545453,23.636363636363637,74.45454545454545,27.818181818181817,0.37518181818181817,16.454545454545453,4.454545454545454,0.2644545454545455,25.818181818181817,19.454545454545453,0.7599090909090909,-8.818181818181818,30.90909090909091,12.272727272727273,11.818181818181818,15.181818181818182,95.11855670952424,94.90037489134242,46.50254351984439,41.86185759245251,8.637224163675757,59.82905982905983,1.320754716981132,16.235272288709528,5.174825174825175,14.16326530612245,9.967355821545159,14.6749363163141,0.47487437185929654,0.5257009345794392
2004,3170,13,4,9,97.38461538461539,20.384615384615383,41.0,10.076923076923077,30.923076923076923,6.615384615384615,4.769230769230769,12.384615384615385,24.307692307692307,79.38461538461539,36.92307692307692,0.46900000000000003,14.846153846153847,5.0,0.34830769230769226,27.46153846153846,18.53846153846154,0.658076923076923,4.615384615384615,41.23076923076923,11.307692307692308,13.538461538461538,15.384615384615385,92.76923076923077,18.76923076923077,40.84615384615385,9.923076923076923,30.923076923076923,5.538461538461538,4.076923076923077,14.23076923076923,24.615384615384617,75.76923076923077,33.30769230769231,0.44084615384615383,16.46153846153846,6.230769230769231,0.37476923076923074,28.384615384615383,19.923076923076923,0.7099230769230769,-4.615384615384615,35.38461538461539,15.23076923076923,10.153846153846153,13.923076923076923,99.39017335639207,99.66709643331515,48.92291323371246,46.60429175344173,7.535290969957371,55.208333333333336,1.6459627329192545,16.407855957599622,4.9155722326454026,15.141242937853109,10.018796992481205,11.92521924626689,0.4966085271317829,0.5323443334342517
2006,960,4,4,0,94.0,19.0,37.25,6.5,30.75,7.5,3.75,14.75,24.0,75.25,33.0,0.44125000000000003,18.0,6.5,0.35625,27.0,21.5,0.79775,-0.5,34.0,9.0,5.75,17.0,94.5,22.0,41.5,11.25,30.25,6.5,5.75,14.5,24.75,78.25,36.5,0.4665,16.5,6.0,0.3645,25.25,15.5,0.6557499999999999,0.5,35.5,11.0,13.25,17.25,100.14413371598638,99.6191337159864,47.05569808123542,47.30599434762497,24.9704084289966,57.57575757575758,1.2881355932203389,15.718067504963601,3.5374149659863945,14.642857142857142,9.46031746031746,14.477817039654497,0.48172757475083056,0.5394238494204063
2008,1440,6,3,3,84.66666666666667,14.666666666666666,36.5,9.333333333333334,27.166666666666668,5.0,4.833333333333333,13.5,23.166666666666668,69.66666666666667,30.166666666666668,0.43450000000000005,17.833333333333332,6.666666666666667,0.35733333333333334,23.0,17.666666666666668,0.7586666666666666,-9.666666666666666,28.0,12.666666666666666,8.333333333333334,16.0,94.33333333333333,16.666666666666668,38.0,10.666666666666666,27.333333333333332,6.833333333333333,4.5,10.166666666666666,21.666666666666668,72.33333333333333,32.166666666666664,0.44249999999999995,20.333333333333332,7.5,0.35766666666666663,27.833333333333332,22.5,0.8238333333333333,9.666666666666666,34.333333333333336,15.666666666666666,13.833333333333334,13.0,88.66219850487252,90.11219850487251,47.359503420420694,52.76669081881518,14.897866417478753,48.61878453038674,1.0864197530864197,13.586117458160931,5.090909090909091,14.361233480176212,9.798657718120806,14.471521475023225,0.4808612440191387,0.530581550802139
2009,1200,5,4,1,86.2,18.0,36.8,8.8,28.0,7.6,5.0,17.2,23.2,76.2,32.4,0.4264,19.8,6.8,0.3428,20.2,14.6,0.7268,-11.0,31.2,7.2,12.0,22.4,97.2,21.6,40.4,8.0,32.4,9.0,4.4,16.2,18.4,74.0,35.8,0.483,14.8,7.2,0.4478,23.8,18.4,0.7777999999999999,11.0,38.8,11.2,12.0,18.0,97.31333764832794,98.39333764832794,44.04550834525006,49.666164862625365,19.570667529665585,55.55555555555556,1.0465116279069768,14.96408619313647,4.271844660194175,15.555555555555555,9.533678756476686,16.815266697950882,0.4698162729658792,0.5065344114328695
2010,4130,17,5,12,93.82352941176471,17.470588235294116,39.470588235294116,10.176470588235293,29.294117647058822,7.470588235294118,5.9411764705882355,12.588235294117647,19.41176470588235,74.70588235294117,32.529411764705884,0.43770588235294117,19.11764705882353,6.882352941176471,0.3581764705882353,28.529411764705884,21.88235294117647,0.7633529411764706,4.0,33.529411764705884,12.058823529411764,12.470588235294118,15.705882352941176,89.82352941176471,17.647058823529413,40.411764705882355,10.352941176470589,30.058823529411764,7.117647058823529,4.352941176470588,14.764705882352942,22.529411764705884,75.82352941176471,33.0,0.4358235294117647,16.647058823529413,6.176470588235294,0.36635294117647055,22.58823529411765,17.647058823529413,0.783,-4.0,36.11764705882353,12.058823529411764,12.352941176470589,17.823529411764707,96.23386181952088,94.45150887834441,49.20331804605242,47.1056217281016,5.540495032383495,53.70705244122965,1.3878504672897196,14.891696750902527,5.058479532163743,14.777448071216616,9.88217967599411,12.60751737952162,0.481496062992126,0.5376162869084536
