Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1680,7,4,3,96.85714285714286,21.428571428571427,40.0,10.285714285714286,29.714285714285715,8.0,4.571428571428571,14.428571428571429,26.142857142857142,77.14285714285714,33.857142857142854,0.438,17.714285714285715,6.142857142857143,0.35400000000000004,29.428571428571427,23.0,0.7734285714285714,9.714285714285714,29.428571428571427,12.142857142857142,14.0,18.142857142857142,87.14285714285714,15.857142857142858,36.42857142857143,7.571428571428571,28.857142857142858,5.428571428571429,5.571428571428571,19.142857142857142,27.142857142857142,67.57142857142857,28.142857142857142,0.4208571428571428,15.428571428571429,6.571428571428571,0.43814285714285717,30.714285714285715,24.285714285714285,0.8025714285714286,-9.714285714285714,25.142857142857142,10.428571428571429,10.285714285714286,18.142857142857142,99.83120971318303,100.2169239988973,48.41691899837701,43.56094482154863,14.289152408005737,63.29113924050633,1.485148514851485,17.01374710766299,5.255474452554745,15.938697318007662,10.467289719626168,13.804603356842163,0.4787037037037037,0.5375491564125333
2011,480,2,1,1,111.0,25.5,40.0,4.5,35.5,11.0,3.5,18.5,28.5,75.5,41.0,0.5435,22.0,7.5,0.354,31.0,21.5,0.7205,18.5,29.0,11.5,7.5,28.0,92.5,17.0,33.0,6.5,26.5,9.0,4.0,16.0,24.5,74.5,28.5,0.384,22.0,7.0,0.293,38.5,28.5,0.743,-18.5,32.0,8.0,19.5,21.5,109.1619950076805,111.4119950076805,50.3232498048704,41.936041504058664,55.14349750384025,62.19512195121951,1.3783783783783783,19.15277151870212,2.903225806451613,16.904761904761905,10.95890410958904,17.186919360832405,0.5927152317880795,0.6226161094906888
2012,1920,8,4,4,93.25,21.25,41.625,9.5,32.125,8.375,3.875,19.5,22.5,77.625,34.625,0.44925,21.25,7.5,0.34975,23.875,16.5,0.6916249999999999,0.125,36.75,12.125,12.25,18.125,93.125,20.0,41.125,9.75,31.375,10.75,3.375,19.0,21.0,79.0,33.625,0.42775,23.625,8.875,0.375,24.5,17.0,0.699,-0.125,38.75,12.375,13.125,17.75,103.60103709662695,103.78853709662695,44.96368747693455,44.90341443742124,12.96184838707837,61.371841155234655,1.0897435897435896,16.488206083178152,4.648318042813456,15.343283582089553,10.060422960725075,18.11762519743566,0.4943639291465378,0.5290479972767503
2013,1920,8,3,5,96.75,20.75,39.875,9.0,30.875,9.875,4.125,20.5,24.75,74.25,34.875,0.46825,24.375,8.75,0.34700000000000003,24.5,18.25,0.742625,5.5,42.75,11.875,13.25,17.25,91.25,21.625,36.75,9.125,27.625,10.625,3.25,19.625,22.375,73.75,32.125,0.433375,22.875,8.875,0.38475,26.25,18.125,0.697125,-5.5,28.75,10.375,8.0,23.0,101.50576299194753,102.03076299194753,47.53446563574314,44.832247951023895,12.72103287399344,59.49820788530465,1.0121951219512195,16.431738992714603,4.914675767918089,15.4375,10.407830342577487,19.425755709276984,0.5286195286195287,0.5689168528754557
2014,1490,6,3,3,101.83333333333333,21.166666666666668,42.0,10.5,31.5,9.833333333333334,3.5,17.5,23.333333333333332,80.16666666666667,35.333333333333336,0.4446666666666667,23.5,8.833333333333334,0.39483333333333337,29.333333333333332,22.333333333333332,0.7571666666666667,-4.5,34.333333333333336,14.5,10.833333333333334,24.333333333333332,106.33333333333333,22.166666666666668,41.0,8.666666666666666,32.333333333333336,8.5,5.666666666666667,17.666666666666668,24.833333333333332,78.5,37.666666666666664,0.4816666666666667,26.166666666666668,9.666666666666666,0.37033333333333335,28.0,21.333333333333332,0.7731666666666667,4.5,40.0,10.666666666666666,15.833333333333334,19.833333333333332,106.7899138237241,106.38991382372411,47.76874737967369,49.87964129006844,17.16884517966026,59.905660377358494,1.2095238095238097,16.067000657861445,4.90272373540856,15.684647302904565,10.120481927710843,15.826600747618473,0.4958419958419958,0.5470596662130219
2015,1465,6,3,3,92.33333333333333,19.666666666666668,47.333333333333336,11.833333333333334,35.5,8.166666666666666,5.333333333333333,15.666666666666666,24.833333333333332,85.66666666666667,32.166666666666664,0.37666666666666665,26.166666666666668,7.833333333333333,0.2881666666666667,25.666666666666668,20.166666666666668,0.781,-3.0,34.0,11.5,9.666666666666666,15.166666666666666,95.33333333333333,18.666666666666668,48.0,10.333333333333334,37.666666666666664,7.333333333333333,4.833333333333333,16.333333333333332,20.333333333333332,81.33333333333333,33.666666666666664,0.41583333333333333,24.333333333333332,7.5,0.31033333333333335,28.666666666666668,20.5,0.7188333333333333,3.0,39.666666666666664,10.5,16.666666666666668,17.833333333333332,105.67478417508417,106.57478417508418,43.50224787312746,44.91567830943846,17.38563017202744,61.139896373057,1.2553191489361704,14.865954444668413,4.781144781144781,15.490909090909089,9.93006993006993,13.910263999052916,0.4212062256809338,0.47614136413641356
2016,1920,8,4,4,100.25,19.25,44.25,9.75,34.5,7.625,4.75,16.375,21.75,84.25,36.125,0.429875,25.375,9.0,0.350375,25.25,19.0,0.743,-2.875,41.75,13.875,12.25,15.75,103.125,20.75,45.125,9.0,36.125,8.125,5.25,15.5,21.625,83.25,37.875,0.45575,23.875,8.625,0.355125,26.125,18.75,0.75025,2.875,44.25,11.875,10.75,19.5,107.24286902189232,107.50536902189232,46.68257160720463,48.02134859843368,13.421764877736539,53.28719723183391,1.1755725190839694,14.696339275489558,4.2506811989100814,15.862068965517242,9.902097902097902,14.655210990289524,0.4821958456973294,0.5256396812080537
2017,1200,5,3,2,104.8,22.6,51.8,10.0,41.8,8.4,7.8,21.0,22.2,84.0,39.6,0.47240000000000004,28.6,9.8,0.33599999999999997,23.4,15.8,0.693,11.0,39.6,10.0,7.2,16.8,93.8,17.2,43.2,10.0,33.2,10.4,4.0,17.4,21.2,88.0,34.2,0.3882,28.0,5.6,0.1988,27.4,19.8,0.7302,-11.0,44.0,11.0,10.8,22.6,111.5248251823252,112.72482518232519,46.733629162670105,41.82838182689366,22.42496503646504,57.07070707070707,1.0761904761904764,16.38916284736323,4.62962962962963,16.138996138996138,10.905263157894737,18.21398834304746,0.5297619047619048,0.5556969542716552
2020,480,2,1,1,98.5,26.5,36.0,7.5,28.5,9.0,3.0,15.0,26.5,87.0,35.0,0.40349999999999997,52.5,17.0,0.3195,15.0,11.5,0.7775,-17.0,31.0,7.5,11.5,20.0,115.5,25.0,51.0,9.5,41.5,8.0,2.5,18.5,19.5,79.0,38.5,0.49050000000000005,37.5,15.5,0.41500000000000004,29.0,23.0,0.79,17.0,38.0,17.0,10.0,22.0,103.57496173469389,107.77496173469387,46.60517419788273,54.648706800563,52.83748086734694,75.71428571428571,1.7666666666666666,19.615099925980754,3.061224489795918,15.0,8.275862068965518,13.812154696132598,0.5,0.5261752136752137
2021,1200,5,1,4,116.8,26.0,46.0,11.2,34.8,10.2,4.8,17.0,21.2,89.6,41.8,0.4668,38.0,15.0,0.391,23.6,18.2,0.7662,14.2,38.4,12.8,12.0,22.0,102.6,22.0,44.0,11.0,33.0,9.2,4.2,19.2,23.6,87.2,37.8,0.43360000000000004,38.0,11.4,0.301,20.0,15.6,0.7792,-14.2,45.6,15.8,11.8,17.6,109.67238738169101,108.592387381691,53.5129867504371,47.00712705988738,21.8264774763382,62.20095693779905,1.5294117647058822,18.18385273876798,5.067873303167421,15.196506550218341,10.222222222222221,14.531901798536552,0.5502232142857143,0.5840934549527924
2022,960,4,0,4,108.25,27.75,44.5,12.0,32.5,11.5,4.75,17.5,26.5,90.5,38.5,0.42525,41.0,13.0,0.309,24.0,18.25,0.7557499999999999,1.75,43.5,16.5,15.25,21.25,106.5,23.75,46.75,11.5,35.25,7.5,5.5,20.0,21.25,82.0,35.25,0.43,38.25,12.75,0.316,31.25,23.25,0.759,-1.75,44.0,12.75,11.25,27.5,109.84757192460319,112.02257192460317,48.78980025071418,48.00105059308139,27.733767981150798,72.07792207792207,1.5857142857142856,18.96657781423006,5.079365079365079,14.772727272727273,9.753424657534246,14.760458839406208,0.4972375690607735,0.5355729269740748
