Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,3625,15,5,10,100.33333333333333,22.4,43.06666666666667,11.466666666666667,31.6,6.933333333333334,6.466666666666667,13.4,25.733333333333334,73.46666666666667,34.53333333333333,0.47119999999999995,15.0,5.2,0.33786666666666665,33.2,26.066666666666666,0.7841333333333333,7.8,36.13333333333333,12.133333333333333,9.666666666666666,0.0,92.53333333333333,18.733333333333334,37.666666666666664,11.333333333333334,26.333333333333332,7.133333333333334,4.533333333333333,12.2,26.666666666666668,76.4,31.6,0.41519999999999996,17.4,6.2,0.3562666666666667,30.4,23.133333333333333,0.7569333333333332,-7.8,37.06666666666667,11.533333333333333,11.266666666666667,0.0,97.96777834010685,97.12777834010686,51.427790074067325,47.42974925103352,6.4583356694139695,64.86486486486487,1.671641791044776,18.082793361031577,6.067019400352734,14.720496894409937,10.668868703550785,13.205266339053424,0.5054446460980037,0.5695924669976988
1997,3890,16,5,11,92.125,21.1875,41.6875,11.8125,29.875,7.25,5.625,12.9375,24.625,74.8125,33.5,0.44725,11.4375,3.9375,0.3550625,30.0625,21.1875,0.7135,6.75,34.25,9.9375,10.1875,,85.375,18.8125,39.125,11.375,27.75,6.875,5.5,13.875,27.125,73.875,31.0625,0.4220625,14.0,3.6875,0.2754375,26.75,19.5625,0.7316875,-6.75,36.125,14.0,8.125,,95.4158775626526,94.4221275626526,48.52821748689975,44.972554333178465,5.856185248081394,63.24626865671642,1.6376811594202898,17.343347112511765,5.971563981042654,14.484848484848484,10.31709203402939,12.81226015696566,0.4741019214703425,0.5231996819627441
1998,2185,9,5,4,93.11111111111111,21.333333333333332,45.333333333333336,12.0,33.333333333333336,7.444444444444445,4.888888888888889,13.444444444444445,25.11111111111111,73.11111111111111,31.555555555555557,0.43022222222222223,10.555555555555555,3.888888888888889,0.38966666666666666,33.77777777777778,26.11111111111111,0.7747777777777778,8.666666666666666,37.111111111111114,12.444444444444445,11.88888888888889,0.0,84.44444444444444,16.555555555555557,36.666666666666664,9.555555555555555,27.11111111111111,8.444444444444445,4.444444444444445,13.777777777777779,28.11111111111111,73.88888888888889,30.0,0.4058888888888889,14.555555555555555,3.888888888888889,0.2645555555555556,28.555555555555557,20.555555555555557,0.7157777777777778,-8.666666666666666,35.77777777777778,14.0,8.88888888888889,0.0,97.85844199769717,96.29177533103052,47.9582832263633,43.49438574228652,10.662712164506784,67.60563380281688,1.586776859504132,17.37934030920743,6.136363636363636,15.5440414507772,11.05691056910569,13.256496778999958,0.45820668693009114,0.5292007679094676
2000,240,1,1,0,77.0,21.0,42.0,10.0,32.0,5.0,4.0,20.0,22.0,78.0,30.0,0.385,9.0,2.0,0.222,24.0,15.0,0.625,-30.0,28.0,2.0,21.0,0.0,107.0,20.0,45.0,8.0,37.0,5.0,8.0,18.0,19.0,78.0,36.0,0.462,25.0,13.0,0.52,23.0,22.0,0.957,30.0,44.0,18.0,5.0,0.0,103.84217021276596,103.54217021276597,37.12912934602665,51.59502389642665,103.69217021276597,70.0,1.05,16.208706390861376,4.25531914893617,16.0,9.655172413793103,18.422991893883566,0.3974358974358974,0.43473351400180665
2002,960,4,3,1,96.0,20.75,37.75,14.0,23.75,7.25,5.5,13.5,29.75,83.75,37.5,0.44775,12.25,4.0,0.273,22.25,17.0,0.76275,-3.0,44.0,16.5,15.0,14.5,99.0,20.25,42.0,13.25,28.75,8.25,6.75,15.25,21.75,73.0,32.5,0.445,7.0,3.75,0.51675,39.0,30.25,0.78325,3.0,32.5,19.5,10.75,17.5,96.01247619329855,101.03747619329856,48.71861111219924,50.241067709455464,24.63124404832464,55.333333333333336,1.537037037037037,16.237577275217152,6.549707602339181,12.837837837837839,9.467084639498433,12.612107623318385,0.4716417910447761,0.5131494547787042
2006,3625,15,7,8,94.06666666666666,19.4,40.13333333333333,11.333333333333334,28.8,7.8,4.266666666666667,15.866666666666667,25.866666666666667,78.33333333333333,33.733333333333334,0.4297333333333333,17.666666666666668,5.8,0.3292,27.533333333333335,20.8,0.7482666666666666,-9.666666666666666,42.0,14.933333333333334,9.866666666666667,16.8,103.73333333333333,22.266666666666666,43.0,12.4,30.6,8.4,5.933333333333334,15.066666666666666,22.6,78.4,36.8,0.47073333333333334,20.466666666666665,7.6,0.3774666666666667,30.333333333333332,22.533333333333335,0.7412,9.666666666666666,36.666666666666664,12.0,10.8,17.533333333333335,100.71933998075744,101.55933998075746,46.50350036126574,51.282385940559536,6.696121819415666,57.50988142292489,1.222689075630252,15.431771418874487,5.405405405405405,13.980582524271844,9.655172413793105,14.924250025082776,0.46765957446808515,0.5200041276018633
2007,2400,10,6,4,94.5,18.2,42.1,13.7,28.4,6.9,5.7,13.5,25.0,80.1,34.1,0.42750000000000005,17.5,5.7,0.33940000000000003,27.6,20.6,0.741,-7.4,41.0,15.8,9.3,14.7,101.9,20.3,42.2,11.5,30.7,7.1,6.5,11.8,22.9,77.6,35.6,0.46180000000000004,17.1,6.2,0.3706,31.8,24.5,0.7668,7.4,42.6,15.4,9.5,14.8,97.79005808440019,99.05005808440019,48.008506517523834,51.76790279508655,9.84200580844002,53.3724340175953,1.348148148148148,14.684050861679468,6.171171171171171,14.235588972431078,9.988137603795966,12.766681797548797,0.4612983770287142,0.5122284376219591
2008,960,4,3,1,97.75,23.0,39.75,14.25,25.5,9.75,2.25,13.25,25.5,85.0,35.0,0.41375,16.75,5.75,0.3345,29.25,22.0,0.7444999999999999,-9.0,41.0,18.25,7.75,18.25,106.75,25.25,43.25,10.75,32.5,7.25,7.25,17.5,23.75,75.5,38.5,0.5115000000000001,17.25,7.75,0.4385,29.75,22.0,0.73725,9.0,44.0,13.25,13.75,16.75,102.37601530518164,102.52601530518163,47.70572536973976,52.098068370534214,25.61275382629541,65.71428571428571,1.7358490566037736,17.148821950492096,6.096256684491979,14.068965517241379,9.578313253012048,11.924046076313894,0.4455882352941177,0.49938694186165317
2009,2160,9,5,4,105.0,20.0,38.666666666666664,11.444444444444445,27.22222222222222,7.111111111111111,4.444444444444445,12.555555555555555,28.22222222222222,81.11111111111111,37.0,0.45933333333333337,16.666666666666668,6.0,0.3612222222222222,33.22222222222222,25.0,0.7563333333333334,-5.888888888888889,50.44444444444444,13.0,15.777777777777779,18.88888888888889,110.88888888888889,23.11111111111111,43.0,10.666666666666666,32.333333333333336,6.777777777777778,5.888888888888889,14.444444444444445,26.88888888888889,77.55555555555556,39.333333333333336,0.5071111111111111,17.444444444444443,5.777777777777778,0.3214444444444445,36.111111111111114,26.444444444444443,0.730111111111111,5.888888888888889,47.333333333333336,12.0,11.555555555555555,14.444444444444445,104.94039680826606,105.80706347493273,49.82266446243424,52.616951464031075,11.708192237955489,54.054054054054056,1.592920353982301,15.590354767184037,5.228426395939087,14.36950146627566,9.469387755102042,11.594976194385158,0.4931506849315068,0.5484237894052648
2011,960,4,4,0,90.75,16.5,43.0,11.75,31.25,5.75,6.5,14.0,20.75,80.0,32.5,0.40775,15.25,5.5,0.32,26.25,20.25,0.7775,-7.0,50.0,10.75,20.75,13.25,97.75,21.75,47.25,12.0,35.25,8.0,5.75,11.25,19.25,85.75,38.75,0.45425,16.25,5.0,0.279,22.5,15.25,0.7265,7.0,35.5,14.25,16.25,19.0,99.99522760115607,98.87022760115607,45.63386833961542,49.15383614542597,24.85818190028902,50.76923076923077,1.1785714285714286,13.519049569848423,5.0,14.45086705202312,9.529085872576177,13.263855992420654,0.440625,0.4956308028399782
