Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1680,7,4,3,97.42857142857143,20.0,44.42857142857143,11.714285714285714,32.714285714285715,8.714285714285714,5.857142857142857,17.285714285714285,25.0,79.85714285714286,36.285714285714285,0.45385714285714285,14.0,4.428571428571429,0.3117142857142857,29.0,20.428571428571427,0.7092857142857143,3.142857142857143,42.57142857142857,12.857142857142858,14.857142857142858,16.142857142857142,94.28571428571429,17.857142857142858,42.285714285714285,10.714285714285714,31.571428571428573,7.142857142857143,4.428571428571429,18.0,24.714285714285715,78.71428571428571,32.714285714285715,0.4177142857142857,16.142857142857142,5.142857142857143,0.3071428571428571,33.142857142857146,23.714285714285715,0.7181428571428572,-3.142857142857143,35.714285714285715,15.142857142857142,12.714285714285714,20.285714285714285,105.87708666778332,107.11994381064046,45.7417510515203,44.26621069501965,15.214073605601698,55.118110236220474,1.15702479338843,15.396120177715215,5.412541254125411,15.06578947368421,10.247116968698517,15.728175531638326,0.4821109123434705,0.5259748272458045
2011,240,1,1,0,96.0,21.0,32.0,4.0,28.0,9.0,4.0,20.0,22.0,67.0,30.0,0.448,28.0,13.0,0.464,33.0,23.0,0.697,-11.0,62.0,20.0,12.0,21.0,107.0,25.0,47.0,14.0,33.0,12.0,3.0,19.0,25.0,87.0,43.0,0.494,14.0,4.0,0.286,23.0,17.0,0.739,11.0,28.0,4.0,12.0,25.0,107.81333333333333,104.81333333333333,45.14955791057879,50.32294475449928,106.31333333333333,70.0,1.05,17.140058765915768,2.1621621621621623,13.333333333333334,8.10126582278481,19.70055161544523,0.5447761194029851,0.5888125613346419
2012,1440,6,2,4,98.33333333333333,20.5,45.0,12.166666666666666,32.833333333333336,7.166666666666667,7.333333333333333,19.666666666666668,23.333333333333332,78.16666666666667,34.166666666666664,0.43616666666666665,20.333333333333332,6.833333333333333,0.3353333333333333,29.5,23.166666666666668,0.782,1.8333333333333333,38.666666666666664,16.166666666666668,16.5,17.833333333333332,96.5,19.666666666666668,42.833333333333336,14.166666666666666,28.666666666666668,9.5,4.333333333333333,16.0,24.0,84.83333333333333,35.833333333333336,0.4235,21.5,7.166666666666667,0.3263333333333333,23.5,17.666666666666668,0.7556666666666666,-1.8333333333333333,42.0,14.833333333333334,17.0,21.666666666666668,104.06768975249675,102.26768975249675,47.65703950977228,46.76851843416636,17.19461495874946,60.00000000000001,1.042372881355932,15.611514443823932,5.959183673469388,13.97163120567376,10.246679316888045,17.747563470099866,0.48081023454157773,0.5394236395552954
2013,1440,6,2,4,93.0,22.166666666666668,41.166666666666664,9.5,31.666666666666668,9.0,2.6666666666666665,18.0,24.5,83.33333333333333,37.0,0.4443333333333333,24.666666666666668,8.666666666666666,0.3485,16.666666666666668,10.333333333333334,0.6493333333333333,-4.666666666666667,33.666666666666664,11.333333333333334,13.0,21.333333333333332,97.66666666666667,20.166666666666668,45.5,10.833333333333334,34.666666666666664,7.5,3.3333333333333335,18.166666666666668,19.666666666666668,79.83333333333333,34.333333333333336,0.43050000000000005,21.166666666666668,7.666666666666667,0.3746666666666667,28.0,21.333333333333332,0.7666666666666666,4.666666666666667,38.0,13.333333333333334,13.666666666666666,22.333333333333332,102.2632188309286,105.6632188309286,44.72735696614124,46.97174046981858,17.3272031384881,59.909909909909906,1.2314814814814816,16.942675159235673,4.30188679245283,14.901960784313726,9.500000000000002,16.564417177914113,0.49600000000000005,0.5128676470588236
2014,960,4,2,2,89.5,18.75,37.5,10.25,27.25,7.75,4.0,21.75,31.5,74.5,32.25,0.4355,17.75,5.5,0.2895,28.75,19.5,0.6507499999999999,-12.75,41.5,13.25,15.75,19.25,102.25,20.25,41.25,9.75,31.5,9.25,6.0,19.75,24.5,70.25,33.5,0.47750000000000004,16.5,5.5,0.34225,39.25,29.75,0.77325,12.75,37.0,12.25,11.25,18.5,104.81957127973783,107.96957127973782,42.06041667515264,48.05226374340064,26.598642819934454,58.139534883720934,0.8620689655172413,14.688601645123384,4.910179640718563,14.72972972972973,9.523809523809524,19.972451790633606,0.4697986577181208,0.5134825014343086
2015,720,3,1,2,98.33333333333333,20.0,46.333333333333336,11.333333333333334,35.0,7.333333333333333,7.0,18.333333333333332,24.0,81.33333333333333,34.666666666666664,0.427,33.0,10.666666666666666,0.32233333333333336,27.0,18.333333333333332,0.6683333333333333,-0.3333333333333333,36.0,9.0,14.666666666666666,20.666666666666668,98.66666666666667,19.333333333333332,46.0,12.666666666666666,33.333333333333336,10.333333333333334,4.333333333333333,16.0,23.333333333333332,84.33333333333333,35.0,0.416,23.666666666666668,8.0,0.34,28.0,20.666666666666668,0.7453333333333333,0.3333333333333333,36.666666666666664,12.0,16.0,18.666666666666668,105.95156107574017,106.25156107574017,46.339249081895446,46.49633128217307,35.36718702524672,57.6923076923077,1.090909090909091,15.203729981755526,5.074626865671641,14.685314685314685,10.036101083032491,16.43557255558212,0.49180327868852464,0.5274638821341725
2016,960,4,1,3,103.75,22.5,35.5,9.5,26.0,11.0,2.5,19.5,26.25,85.0,38.25,0.45225,26.75,10.25,0.38925,21.5,17.0,0.79925,-12.75,57.0,13.0,20.0,18.75,116.5,26.5,41.25,8.25,33.0,10.75,4.5,20.0,22.5,77.25,42.25,0.5487500000000001,24.75,10.25,0.427,29.75,21.75,0.7375,12.75,35.0,10.5,12.0,28.0,107.673848540146,110.14884854014599,47.63048175909627,53.48386626443099,27.227837135036495,58.82352941176471,1.1538461538461537,16.4883482339147,4.470588235294118,15.182481751824817,9.250814332247558,17.11126711126711,0.5102941176470588,0.5491742536523395
2017,1440,6,5,1,99.66666666666667,23.833333333333332,44.666666666666664,9.666666666666666,35.0,7.166666666666667,4.666666666666667,17.5,20.5,82.0,39.166666666666664,0.4765,25.666666666666668,10.5,0.40349999999999997,15.166666666666666,10.833333333333334,0.7360000000000001,8.333333333333334,39.0,8.833333333333334,8.666666666666666,16.666666666666668,91.33333333333333,19.666666666666668,38.166666666666664,8.833333333333334,29.333333333333332,8.5,2.0,15.833333333333334,18.166666666666668,80.66666666666667,33.5,0.4143333333333333,24.0,8.333333333333334,0.35133333333333333,21.5,16.0,0.746,-8.333333333333334,36.666666666666664,10.666666666666666,9.333333333333334,17.333333333333332,99.31812816179736,101.21812816179735,49.700073440006705,45.54454890488908,16.71135469363289,60.851063829787236,1.3619047619047617,18.332393210604582,4.957264957264957,15.96958174904943,10.784708249496981,16.48248147683034,0.5416666666666666,0.5619878204646268
2020,480,2,1,1,111.5,25.5,47.0,10.5,36.5,9.5,3.5,16.0,23.0,91.5,36.5,0.4,49.5,15.0,0.303,31.0,23.5,0.751,-5.0,37.0,11.0,14.0,19.5,116.5,20.5,48.5,9.5,39.0,9.5,7.0,15.5,25.0,91.0,41.5,0.4555,32.0,14.5,0.45,24.5,19.0,0.7709999999999999,5.0,41.0,10.5,23.5,20.0,115.8891213768116,113.9391213768116,48.51449006618758,50.69002773731707,57.457060688405804,69.86301369863014,1.59375,17.389525368248773,4.242424242424242,15.869565217391305,9.842931937172775,13.207858675912167,0.4808743169398907,0.5302453871029104
2021,960,4,0,4,106.0,20.0,50.25,11.5,38.75,8.5,3.5,18.5,18.0,88.5,38.0,0.4325,39.5,12.0,0.2915,23.5,18.0,0.761,-3.5,55.0,13.25,19.0,20.25,109.5,24.5,43.75,8.25,35.5,10.5,5.75,14.25,20.25,92.75,42.25,0.4555,38.0,12.75,0.332,17.25,12.25,0.7295,3.5,43.0,9.75,13.75,17.25,111.04690159574469,109.17190159574469,48.13394608626068,49.723274494769285,27.52735039893617,52.63157894736842,1.0810810810810811,14.5623998835008,4.8936170212765955,16.48936170212766,10.691489361702128,15.766149650588034,0.4971751412429379,0.5362201537838931
2022,960,4,0,4,97.5,21.25,39.75,8.75,31.0,11.5,4.5,18.75,25.0,86.0,34.0,0.39449999999999996,35.0,10.25,0.29425,27.5,19.25,0.69275,-12.0,38.0,16.5,10.25,19.5,109.5,25.75,49.75,11.5,38.25,9.5,6.0,21.5,26.0,84.75,37.0,0.43125,36.25,13.75,0.35725,29.75,21.75,0.72175,12.0,42.0,9.75,8.75,23.25,113.30822997496873,113.98322997496871,42.896464311274634,48.17602914958536,28.411432493742176,62.5,1.1333333333333333,15.387400434467777,3.723404255319149,14.588235294117647,8.88268156424581,16.046213093709884,0.45494186046511625,0.49694189602446487
