Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,2160,9,3,6,92.88888888888889,20.555555555555557,38.0,9.777777777777779,28.22222222222222,9.0,3.6666666666666665,13.444444444444445,22.444444444444443,74.66666666666667,34.55555555555556,0.4621111111111111,17.666666666666668,6.666666666666667,0.364,24.333333333333332,17.11111111111111,0.6864444444444444,4.111111111111111,41.77777777777778,11.777777777777779,11.0,,88.77777777777777,17.88888888888889,39.55555555555556,10.0,29.555555555555557,7.0,4.222222222222222,16.444444444444443,22.666666666666668,73.22222222222223,32.0,0.43722222222222223,18.444444444444443,6.666666666666667,0.3562222222222222,24.11111111111111,18.11111111111111,0.756,-4.111111111111111,33.333333333333336,11.777777777777779,9.222222222222221,,94.97331382574929,94.90664715908262,48.91979564726637,46.75468507436104,10.548886721379551,59.4855305466238,1.5289256198347108,17.21955396701292,4.971751412429379,14.767441860465116,9.799426934097422,13.605289196725737,0.5074404761904762,0.5440158259149357
1997,1945,8,5,3,88.75,16.875,37.25,9.0,28.25,8.0,2.5,14.375,25.0,72.625,31.875,0.438875,15.375,5.75,0.356375,27.125,19.25,0.703375,-2.375,35.25,12.0,10.125,,91.125,18.5,39.5,10.5,29.0,7.0,3.875,13.375,23.75,71.625,30.875,0.43025,15.5,5.625,0.358625,30.125,23.75,0.792875,2.375,31.25,10.625,6.875,,94.71661056876061,95.6166105687606,46.628749027409974,47.87656062110123,11.74292366915298,52.94117647058824,1.173913043478261,14.57128054572144,4.7368421052631575,14.580645161290322,9.70684039087948,14.529741749633597,0.4784853700516351,0.5247753074739829
1998,3600,15,6,9,82.73333333333333,15.066666666666666,40.266666666666666,10.2,30.066666666666666,6.933333333333334,4.2,14.2,25.666666666666668,74.06666666666666,30.0,0.40753333333333336,12.933333333333334,3.6666666666666665,0.3077333333333333,24.066666666666666,19.066666666666666,0.8089999999999999,-2.7333333333333334,31.6,10.066666666666666,5.4,0.0,85.46666666666667,16.066666666666666,39.13333333333333,9.933333333333334,29.2,7.066666666666666,4.4,12.533333333333333,23.266666666666666,72.8,30.6,0.42286666666666667,13.133333333333333,4.0,0.2986666666666667,27.933333333333334,20.266666666666666,0.7204666666666667,2.7333333333333334,33.6,11.4,12.6,0.0,92.91003315566834,94.07003315566836,44.24714086665032,45.708972273203635,6.232668877044556,50.22222222222222,1.0610328638497653,13.225345848645867,5.177664974619288,15.033333333333333,10.142737195633922,14.364327911305335,0.4297929792979298,0.48864423864423867
2000,1200,5,3,2,88.8,16.4,39.2,10.6,28.6,6.4,5.0,15.2,23.2,74.4,32.4,0.4354,11.0,4.2,0.38039999999999996,26.0,19.8,0.7512,-3.6,28.4,13.8,9.4,,92.4,18.8,36.4,9.4,27.0,8.0,4.0,14.2,23.0,76.8,35.6,0.46799999999999997,12.2,4.4,0.373,22.6,16.8,0.7405999999999999,3.6,34.8,8.8,6.8,,96.23287760358343,95.21287760358345,46.38389600433184,48.26432422072367,19.14457552071669,50.617283950617285,1.0789473684210527,13.964577656675745,5.638297872340425,15.052631578947368,10.37037037037037,15.043547110055423,0.4637096774193548,0.5172413793103448
2003,960,4,4,0,86.25,18.5,42.5,13.0,29.5,9.5,4.25,18.75,25.5,77.5,30.5,0.39675000000000005,13.25,2.75,0.1985,29.0,22.5,0.7795,-8.25,37.5,16.0,12.0,16.5,94.5,23.25,39.5,8.5,31.0,9.25,4.75,17.75,25.0,74.5,34.5,0.46525,17.0,5.75,0.3465,28.5,19.75,0.67225,8.25,39.5,11.75,13.5,21.25,102.43395334928229,102.28395334928229,42.13114592217778,46.16108161908174,25.58973833732057,60.65573770491803,0.9866666666666667,14.508665986981413,5.909090909090909,15.526315789473685,10.365853658536585,17.200256857169066,0.4112903225806452,0.47778639485929536
2010,480,2,2,0,92.5,18.5,37.5,12.5,25.0,6.5,6.5,17.0,20.5,82.0,31.5,0.3875,23.5,8.5,0.373,28.0,21.0,0.75,-14.5,29.0,20.5,13.0,15.5,107.0,27.5,48.0,11.0,37.0,9.0,5.0,19.5,23.5,82.0,41.0,0.5,18.0,8.5,0.4165,20.5,16.5,0.8160000000000001,14.5,34.0,13.5,9.0,22.0,105.02503787878788,102.77503787878788,44.513939498228375,51.49180028443715,51.95001893939394,58.730158730158735,1.088235294117647,14.250500693267602,5.05050505050505,13.88888888888889,8.771929824561404,15.271289974847289,0.43597560975609756,0.49035199321458867
2011,1200,5,4,1,85.8,14.0,39.4,10.8,28.6,7.8,3.2,17.4,23.6,72.8,31.6,0.4324,19.4,6.0,0.3022,21.6,16.6,0.7908000000000001,-8.0,34.0,13.4,11.4,14.8,93.8,17.6,39.6,11.4,28.2,7.4,2.8,14.6,20.4,73.0,32.0,0.4378,20.6,7.0,0.3422,30.4,22.8,0.7465999999999999,8.0,36.0,11.2,8.2,21.6,93.62458653846154,96.26458653846154,45.18425069197751,49.39723443948124,18.98891730769231,44.303797468354425,0.8045977011494253,12.312671497924434,5.538461538461538,14.3,9.974683544303797,17.45165690443713,0.4752747252747253,0.5212383359253498
2012,2665,11,5,6,90.0909090909091,15.545454545454545,41.36363636363637,10.0,31.363636363636363,7.636363636363637,4.090909090909091,13.454545454545455,20.727272727272727,75.9090909090909,32.18181818181818,0.4231818181818182,22.454545454545453,7.454545454545454,0.33281818181818185,23.727272727272727,18.272727272727273,0.7706363636363637,6.0,29.454545454545453,11.818181818181818,5.181818181818182,17.818181818181817,84.0909090909091,16.181818181818183,40.45454545454545,10.0,30.454545454545453,6.545454545454546,4.7272727272727275,15.181818181818182,22.636363636363637,75.81818181818181,30.636363636363637,0.40545454545454546,23.0,7.545454545454546,0.32345454545454544,20.272727272727273,15.272727272727273,0.749909090909091,-6.0,35.09090909090909,14.0,9.909090909090908,13.909090909090908,94.6733448573898,93.63698122102616,47.841725393961426,44.655495448450374,8.479264213662256,48.30508474576271,1.1554054054054053,13.47687651713376,4.943820224719102,15.164835164835166,10.111111111111112,13.48101727027618,0.47305389221556887,0.521666807041186
2020,1200,5,4,1,102.6,21.4,47.6,10.6,37.0,4.4,3.4,12.4,20.6,86.6,37.4,0.4332,31.8,13.0,0.41500000000000004,18.4,14.8,0.7718,4.2,41.6,9.6,7.8,13.2,98.4,17.8,43.0,9.2,33.8,6.2,6.2,10.6,18.2,84.6,34.6,0.40780000000000005,34.2,10.2,0.30019999999999997,22.6,19.0,0.8460000000000001,-4.2,36.4,12.8,6.6,10.4,99.4090790920791,100.6690790920791,51.27996025711299,49.180780597465095,20.00781581841582,57.21925133689839,1.725806451612903,16.654214917195866,4.774774774774775,16.017316017316016,10.507726269315674,11.578396952267125,0.5069284064665127,0.5417335473515249
2022,2640,11,5,6,96.72727272727273,20.09090909090909,40.09090909090909,11.454545454545455,28.636363636363637,6.545454545454546,4.2727272727272725,13.818181818181818,21.0,82.27272727272727,34.18181818181818,0.41609090909090907,34.27272727272727,9.727272727272727,0.2808181818181818,23.636363636363637,18.636363636363637,0.7781818181818182,-6.363636363636363,43.09090909090909,12.545454545454545,11.545454545454545,18.181818181818183,103.0909090909091,22.0,44.09090909090909,11.272727272727273,32.81818181818182,7.0,4.0,13.636363636363637,20.09090909090909,81.63636363636364,37.0,0.45454545454545453,33.18181818181818,10.727272727272727,0.3199090909090909,24.636363636363637,18.363636363636363,0.7411818181818183,6.363636363636363,42.54545454545455,13.727272727272727,10.363636363636363,14.636363636363637,99.22530596077854,99.52530596077854,48.66766033678883,51.86948009578809,9.03411872370714,58.77659574468085,1.4539473684210527,15.871875897730536,5.174537987679671,14.350797266514807,9.524838012958963,12.975926242103466,0.4745856353591161,0.5218756131057485
