Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,2185,9,5,4,98.22222222222223,22.444444444444443,39.55555555555556,10.222222222222221,29.333333333333332,6.222222222222222,6.555555555555555,13.777777777777779,27.0,69.55555555555556,33.111111111111114,0.47755555555555557,14.0,4.666666666666667,0.32511111111111113,36.0,27.333333333333332,0.758,7.111111111111111,38.22222222222222,13.666666666666666,12.0,0.0,91.11111111111111,19.444444444444443,39.111111111111114,13.11111111111111,26.0,6.555555555555555,4.888888888888889,13.444444444444445,27.444444444444443,76.22222222222223,31.22222222222222,0.4112222222222222,16.88888888888889,4.888888888888889,0.2801111111111111,31.77777777777778,23.77777777777778,0.7347777777777778,-7.111111111111111,40.22222222222222,11.0,11.0,0.0,98.11633509637863,96.84966842971195,50.379153516924816,46.73179398628772,10.707515067794448,67.78523489932886,1.629032258064516,18.45490425376407,5.644171779141105,13.82198952879581,10.056497175141242,13.89262346508918,0.5095846645367412,0.5751014884979703
1997,2640,11,5,6,99.36363636363636,21.454545454545453,39.63636363636363,12.909090909090908,26.727272727272727,7.7272727272727275,7.0,12.090909090909092,26.181818181818183,77.0909090909091,35.09090909090909,0.45772727272727276,15.181818181818182,5.181818181818182,0.3613636363636364,34.81818181818182,24.0,0.6930909090909091,0.5454545454545454,46.18181818181818,11.363636363636363,13.090909090909092,,98.81818181818181,24.0,40.36363636363637,11.818181818181818,28.545454545454547,6.181818181818182,6.818181818181818,14.181818181818182,28.09090909090909,74.63636363636364,35.36363636363637,0.47618181818181815,15.454545454545455,5.545454545454546,0.38818181818181824,31.363636363636363,22.545454545454547,0.7296363636363636,-0.5454545454545454,44.0,16.818181818181817,12.0,,99.4425573259908,98.40619368962717,50.22201851342124,49.946325822588186,8.993125046164453,61.13989637305699,1.7744360902255636,17.03331601131705,6.228070175438597,13.867924528301886,9.909090909090908,11.570046628157842,0.4887971698113208,0.5376185416912603
1998,1200,5,3,2,98.8,21.6,46.6,14.2,32.4,7.0,5.6,13.0,26.8,84.6,36.6,0.433,17.4,5.8,0.36060000000000003,29.2,19.8,0.6718,2.2,37.2,15.2,12.4,0.0,96.6,20.4,41.0,11.0,30.0,6.8,5.4,14.0,25.0,75.6,33.2,0.44719999999999993,16.4,5.6,0.3436,35.0,24.6,0.7001999999999999,-2.2,47.2,13.6,11.2,0.0,101.40046333173467,103.14046333173468,48.30329147894953,47.22771211403365,20.454092666346938,59.01639344262295,1.6615384615384616,16.357688113413303,6.425339366515837,14.930875576036867,10.639269406392694,11.77024482109228,0.466903073286052,0.5069370330843117
2000,3625,15,1,14,96.66666666666667,20.666666666666668,46.8,14.866666666666667,31.933333333333334,8.133333333333333,5.6,17.866666666666667,24.4,84.06666666666666,36.53333333333333,0.4342666666666667,15.266666666666667,4.266666666666667,0.2637333333333333,26.866666666666667,19.333333333333332,0.7290666666666666,-0.7333333333333333,44.53333333333333,16.8,12.733333333333333,0.0,97.4,18.333333333333332,42.333333333333336,11.533333333333333,30.8,8.533333333333333,5.933333333333334,16.2,21.933333333333334,79.0,34.8,0.44193333333333334,14.866666666666667,5.666666666666667,0.3798,30.533333333333335,22.133333333333333,0.7226,0.7333333333333333,38.666666666666664,14.133333333333333,10.866666666666667,0.0,103.75345256892513,104.85345256892512,46.33914999256043,46.69068837181433,6.905607894218491,56.56934306569343,1.1567164179104479,15.374543723218538,6.5109489051094895,14.693251533742332,10.501121914734481,15.706315345304517,0.4599524187153053,0.5040602925635465
2002,2665,11,6,5,100.0,19.272727272727273,41.81818181818182,10.545454545454545,31.272727272727273,7.363636363636363,4.181818181818182,13.090909090909092,24.545454545454547,83.63636363636364,38.27272727272727,0.45927272727272733,18.181818181818183,6.545454545454546,0.3643636363636364,22.181818181818183,16.90909090909091,0.7605454545454545,-0.8181818181818182,41.09090909090909,12.181818181818182,9.909090909090908,13.636363636363637,100.81818181818181,23.545454545454547,43.18181818181818,11.454545454545455,31.727272727272727,7.363636363636363,4.909090909090909,13.272727272727273,22.09090909090909,81.27272727272727,37.63636363636363,0.46709090909090906,14.909090909090908,5.363636363636363,0.36218181818181816,28.545454545454547,20.181818181818183,0.6828181818181819,0.8181818181818182,38.72727272727273,14.181818181818182,9.909090909090908,17.181818181818183,100.3234567500676,102.23254765915851,49.36906229546714,49.7729909869755,9.120720648820688,50.3562945368171,1.472222222222222,15.325005783021048,4.989247311827956,14.638297872340424,9.839572192513371,12.293402540636524,0.4967391304347826,0.5353527487930229
2003,3625,15,8,7,93.2,21.2,42.0,9.8,32.2,7.733333333333333,4.2,13.0,23.0,74.66666666666667,34.333333333333336,0.4609333333333333,15.4,4.733333333333333,0.30146666666666666,28.2,19.8,0.7180666666666666,8.533333333333333,35.46666666666667,11.2,9.266666666666667,15.733333333333333,84.66666666666667,19.933333333333334,40.666666666666664,10.866666666666667,29.8,6.266666666666667,3.533333333333333,14.6,23.8,75.0,31.333333333333332,0.418,15.866666666666667,5.266666666666667,0.33426666666666666,25.8,16.733333333333334,0.65,-8.533333333333333,35.2,11.333333333333334,11.0,13.866666666666667,96.85857871803692,96.13857871803692,48.29086668329325,43.86938532745525,6.388871418573479,61.74757281553397,1.6307692307692307,17.48097981441576,4.949494949494951,14.953560371517028,10.161290322580646,12.99030057557024,0.4915178571428572,0.5351728784491471
2006,960,4,3,1,102.5,21.75,41.75,12.25,29.5,7.25,3.5,15.5,22.5,84.5,39.0,0.46225,21.5,7.25,0.33075,23.75,17.25,0.71575,-7.5,47.0,14.0,10.0,14.75,110.0,22.25,42.0,13.25,28.75,7.0,5.5,13.75,21.0,86.75,40.75,0.46775,22.75,8.25,0.35925,25.75,20.25,0.7837500000000001,7.5,46.0,13.0,18.0,18.75,102.5742751568963,103.1742751568963,49.81809098711729,53.463317156906356,25.71856878922408,55.769230769230774,1.403225806451613,16.45234493192133,5.975609756097561,13.801169590643275,9.970149253731343,14.03349932095971,0.5044378698224852,0.5397577672459188
2007,4800,20,6,14,104.3,23.15,42.35,10.3,32.05,7.55,5.25,12.8,22.9,79.45,36.75,0.46464999999999995,19.1,7.3,0.3966,29.6,23.5,0.7981499999999999,7.7,42.4,12.1,11.65,14.35,96.6,19.05,40.7,11.15,29.55,6.85,4.1,13.85,24.8,81.45,35.5,0.4375,18.85,6.4,0.34615,26.15,19.2,0.72985,-7.7,41.6,12.55,8.55,15.5,101.75541664669885,100.72041664669884,51.512320410537114,47.70939742720887,5.061895832334942,62.99319727891156,1.8085937499999998,18.026225627608547,5.169385194479298,14.837962962962964,10.19867549668874,12.158747648992154,0.5084959093769666,0.5639422972943746
2008,4610,19,6,13,101.3157894736842,20.894736842105264,42.10526315789474,10.789473684210526,31.31578947368421,7.684210526315789,6.368421052631579,14.842105263157896,22.526315789473685,78.10526315789474,36.89473684210526,0.4753684210526316,18.42105263157895,6.473684210526316,0.35368421052631577,27.894736842105264,21.05263157894737,0.7563157894736842,4.684210526315789,39.89473684210526,13.210526315789474,9.0,4.473684210526316,96.63157894736842,18.68421052631579,39.26315789473684,11.157894736842104,28.105263157894736,8.157894736842104,4.157894736842105,13.947368421052632,24.105263157894736,80.26315789473684,34.526315789473685,0.4328947368421052,20.736842105263158,7.052631578947368,0.34621052631578947,27.36842105263158,20.526315789473685,0.7508947368421053,-4.684210526315789,41.05263157894737,14.789473684210526,10.368421052631579,4.631578947368421,100.65585027323505,100.49795553639294,50.36732418056733,48.03865308858266,5.236107743417648,56.63338088445079,1.4078014184397163,16.56789917369168,5.548037889039242,14.745972738537793,10.349288486416558,14.105642256902764,0.5138140161725067,0.5605054740274866
2009,4800,20,7,13,101.1,19.35,44.7,13.2,31.5,7.2,6.3,12.45,22.1,79.65,36.35,0.457,18.5,5.6,0.29955,29.65,22.8,0.76545,6.4,41.0,12.65,9.0,12.5,94.7,18.9,38.7,11.15,27.55,6.15,4.95,12.6,24.65,80.4,34.75,0.43200000000000005,20.7,6.4,0.30524999999999997,24.45,18.8,0.76165,-6.4,38.7,15.0,10.0,14.7,98.576237890448,97.01623789044801,51.68910490874552,48.41699539919091,4.8898118945224,53.232462173315,1.5542168674698797,15.542668037527312,6.478527607361963,14.77139507620164,10.719424460431656,11.840678675365682,0.4915254237288135,0.545330974367826
