Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,15295,63,16,47,99.55555555555556,23.825396825396826,43.92063492063492,14.015873015873016,29.904761904761905,8.65079365079365,6.571428571428571,16.158730158730158,22.0,81.63492063492063,37.07936507936508,0.45625396825396825,18.142857142857142,6.380952380952381,0.34834920634920635,26.88888888888889,19.015873015873016,0.7102539682539682,2.126984126984127,43.96825396825397,14.587301587301587,14.88888888888889,0.0,97.42857142857143,22.238095238095237,41.492063492063494,13.095238095238095,28.396825396825395,8.444444444444445,5.222222222222222,15.65079365079365,22.984126984126984,81.60317460317461,36.53968253968254,0.4495873015873016,17.142857142857142,6.079365079365079,0.35803174603174603,26.015873015873016,18.26984126984127,0.7011904761904761,-2.126984126984127,45.17460317460318,15.285714285714286,14.698412698412698,0.0,101.1519277165426,100.89002295463784,49.27469529215761,48.22195148330093,1.5851607767598335,64.25513698630137,1.4744597249508842,17.853404635938034,6.609281437125747,13.90919158361019,10.284333766957817,14.740036719777134,0.4932918530040833,0.5325761332527224
1997,16950,70,17,53,103.28571428571429,24.542857142857144,43.785714285714285,13.571428571428571,30.214285714285715,8.32857142857143,6.6571428571428575,15.642857142857142,23.242857142857144,80.51428571428572,37.7,0.47004285714285715,15.742857142857142,5.442857142857143,0.3384,31.8,22.442857142857143,0.7061428571428572,2.9571428571428573,50.25714285714286,15.528571428571428,16.457142857142856,0.0,100.32857142857142,22.65714285714286,42.01428571428571,13.585714285714285,28.428571428571427,8.928571428571429,5.571428571428571,15.314285714285715,25.057142857142857,83.02857142857142,37.5,0.4542,14.957142857142857,5.314285714285714,0.3567,28.7,20.014285714285716,0.7053857142857143,-2.9571428571428573,45.97142857142857,15.17142857142857,14.785714285714286,0.0,104.13331317145253,103.20331317145254,49.81546970620354,48.38921766897198,1.467869921011717,65.10041682455476,1.5689497716894978,18.221466117406486,6.462585034013605,13.796477495107634,10.206460206460205,14.201524167232996,0.5020404542228531,0.5464489134509571
1998,11090,46,18,28,100.56521739130434,23.32608695652174,42.21739130434783,12.73913043478261,29.47826086956522,8.41304347826087,5.086956521739131,14.543478260869565,25.043478260869566,79.54347826086956,37.108695652173914,0.46747826086956523,13.173913043478262,4.695652173913044,0.34710869565217395,30.956521739130434,21.652173913043477,0.7019130434782608,6.130434782608695,42.95652173913044,13.23913043478261,14.304347826086957,0.0,94.43478260869566,19.391304347826086,40.54347826086956,12.5,28.043478260869566,7.760869565217392,4.543478260869565,15.23913043478261,25.67391304347826,78.93478260869566,34.67391304347826,0.440695652173913,13.065217391304348,4.130434782608695,0.29986956521739133,30.02173913043478,20.956521739130434,0.6953478260869566,-6.130434782608695,42.17391304347826,16.043478260869566,10.804347826086957,0.0,101.6703643557561,101.38992957314741,49.52480637426574,46.50578445521192,2.197225903649091,62.85881663737551,1.6038863976083708,17.801564812295524,6.247334754797442,14.044536509580528,10.20225899658524,13.502712652586709,0.4960371686253075,0.5397194298994764
1999,16635,69,12,57,94.78260869565217,20.768115942028984,43.55072463768116,12.333333333333334,31.217391304347824,7.565217391304348,4.72463768115942,14.420289855072463,24.26086956521739,82.76811594202898,35.53623188405797,0.4298985507246377,13.434782608695652,4.666666666666667,0.32502898550724635,26.63768115942029,19.043478260869566,0.717391304347826,-3.579710144927536,40.69565217391305,15.072463768115941,11.869565217391305,0.0,98.3623188405797,22.6231884057971,46.65217391304348,13.608695652173912,33.04347826086956,7.550724637681159,5.956521739130435,14.028985507246377,23.855072463768117,83.5072463768116,37.17391304347826,0.446,12.956521739130435,4.028985507246377,0.30997101449275366,27.840579710144926,19.985507246376812,0.7209420289855072,3.579710144927536,41.21739130434783,13.579710144927537,12.304347826086957,0.0,102.05573311409822,102.4166026793156,46.35473465291395,48.10544099225183,1.4750033240282332,58.442088091353995,1.4402010050251257,16.015253047703773,5.435962951133823,13.928225024248304,9.65616966580977,13.240679626120466,0.45753808439852917,0.501555281515157
2000,15965,66,21,45,97.3030303030303,21.21212121212121,41.74242424242424,11.878787878787879,29.863636363636363,7.106060606060606,4.863636363636363,13.863636363636363,23.106060606060606,80.84848484848484,36.515151515151516,0.453530303030303,14.106060606060606,4.893939393939394,0.34645454545454546,27.333333333333332,19.37878787878788,0.7140151515151515,-2.4696969696969697,41.15151515151515,14.106060606060606,12.212121212121213,14.878787878787879,99.77272727272727,22.333333333333332,44.666666666666664,13.575757575757576,31.09090909090909,7.151515151515151,5.151515151515151,13.43939393939394,23.90909090909091,83.81818181818181,37.86363636363637,0.45301515151515154,14.969696969696969,5.181818181818182,0.3412727272727273,26.575757575757574,18.863636363636363,0.7176666666666667,2.4696969696969697,42.39393939393939,14.318181818181818,10.303030303030303,15.878787878787879,100.92627391808897,100.69900119081625,48.25934161799574,49.48423614987573,1.515504729913475,58.091286307053934,1.530054644808743,16.578327862485136,5.528913963328631,13.749564004185562,9.661581623706821,12.988377176795234,0.4819152923538231,0.5238378011537156
2001,15460,64,17,47,99.9375,22.6875,44.296875,12.90625,31.390625,7.84375,5.515625,13.09375,22.046875,83.859375,37.859375,0.452953125,16.546875,5.25,0.31225,25.765625,18.96875,0.73215625,3.5,41.8125,15.609375,10.625,14.625,96.4375,20.5,43.3125,12.625,30.6875,7.1875,4.765625,13.84375,22.78125,83.09375,36.171875,0.43615625,16.03125,5.59375,0.344671875,25.5625,18.5,0.732703125,-3.5,39.34375,14.734375,11.1875,14.84375,100.65430290173714,100.59336540173715,49.6589604453443,47.91980986064181,1.562077632368494,59.92571192736277,1.7326968973747017,17.321677387337516,5.921146953405018,14.263400780972667,10.112359550561798,12.091375011543079,0.48276504564933853,0.5249025040377115
2002,16495,68,26,42,96.6029411764706,21.0,41.76470588235294,11.926470588235293,29.83823529411765,7.676470588235294,4.176470588235294,14.852941176470589,22.88235294117647,82.23529411764706,35.89705882352941,0.4388970588235294,15.485294117647058,5.220588235294118,0.3462794117647059,25.970588235294116,19.58823529411765,0.757,-5.955882352941177,40.64705882352941,14.661764705882353,11.808823529411764,15.441176470588236,102.55882352941177,24.264705882352942,44.51470588235294,12.882352941176471,31.63235294117647,7.955882352941177,5.264705882352941,14.352941176470589,23.029411764705884,83.86764705882354,38.69117647058823,0.4629558823529412,16.264705882352942,6.455882352941177,0.3902941176470588,25.38235294117647,18.720588235294116,0.7383529411764705,5.955882352941177,38.88235294117647,14.588235294117647,10.147058823529411,16.073529411764707,101.84011268563665,101.66364209740135,47.46985689746223,50.39652641237655,1.480475936584696,58.50061450225317,1.4138613861386138,16.214301286243735,5.476029709655637,13.969018932874357,9.68126810976649,13.687417333420065,0.468258226037196,0.5156978131712158
2003,16660,69,25,44,98.6086956521739,22.942028985507246,43.63768115942029,11.884057971014492,31.753623188405797,7.768115942028985,4.391304347826087,14.246376811594203,22.536231884057973,80.6231884057971,37.0,0.4604927536231884,13.594202898550725,4.840579710144928,0.34852173913043477,27.318840579710145,19.768115942028984,0.7285507246376811,5.579710144927536,42.20289855072464,14.08695652173913,11.971014492753623,14.666666666666666,93.02898550724638,20.92753623188406,41.710144927536234,11.420289855072463,30.28985507246377,8.043478260869565,4.101449275362318,14.81159420289855,23.391304347826086,81.17391304347827,35.0,0.4311014492753623,14.898550724637682,4.6521739130434785,0.3057971014492754,25.26086956521739,18.3768115942029,0.7356231884057971,-5.579710144927536,38.666666666666664,12.710144927536232,10.289855072463768,16.47826086956522,101.22826550834175,100.61087420399392,48.855091134807935,46.09065696565728,1.4538233352629222,62.005483744614175,1.6103763987792472,17.67056617253081,5.63573883161512,14.709634105404497,10.225844795381219,13.328090679827536,0.48894481394930794,0.5321944809461235
2004,16395,68,39,29,102.79411764705883,23.308823529411764,44.75,13.014705882352942,31.735294117647058,6.661764705882353,4.970588235294118,13.397058823529411,21.36764705882353,81.77941176470588,37.5,0.45975000000000005,20.36764705882353,7.323529411764706,0.3473529411764706,26.191176470588236,20.470588235294116,0.7849264705882353,5.544117647058823,39.529411764705884,14.705882352941176,12.661764705882353,15.382352941176471,97.25,21.08823529411765,40.970588235294116,12.088235294117647,28.88235294117647,7.205882352941177,4.264705882352941,12.691176470588236,22.705882352941178,83.61764705882354,35.970588235294116,0.4309558823529412,20.264705882352942,6.985294117647059,0.3433235294117647,23.66176470588235,18.323529411764707,0.7740588235294118,-5.544117647058823,39.411764705882355,13.514705882352942,12.544117647058824,14.779411764705882,99.3803388675936,98.62151533818184,51.91573485985086,49.11570166354702,1.4492358953762152,62.15686274509804,1.7398463227222833,17.928566257646505,6.212706212706213,14.483221476510067,10.44089895350832,12.555749734000033,0.5033267397950009,0.5508586775609018
2005,14740,61,29,32,99.44262295081967,21.278688524590162,41.81967213114754,11.737704918032787,30.081967213114755,7.590163934426229,4.491803278688525,13.721311475409836,22.475409836065573,80.77049180327869,36.83606557377049,0.457327868852459,18.40983606557377,6.475409836065574,0.3534918032786885,26.016393442622952,19.295081967213115,0.7502950819672132,2.80327868852459,39.63934426229508,13.62295081967213,10.049180327868852,14.233333333333333,96.63934426229508,20.459016393442624,40.22950819672131,10.426229508196721,29.80327868852459,7.114754098360656,4.032786885245901,14.62295081967213,23.442622950819672,79.52459016393442,35.77049180327869,0.45121311475409837,17.360655737704917,6.147540983606557,0.35521311475409834,25.278688524590162,18.950819672131146,0.7449180327868852,-2.80327868852459,39.114754098360656,12.78688524590164,9.672131147540984,16.3,99.91712444228057,99.69581296687073,49.817724362719936,48.413367147747124,1.6250714036023175,57.765910102358696,1.5507765830346474,16.72620060100924,5.651144435674822,14.852286523674623,10.193806193806195,12.952085022623596,0.4961436979906637,0.5391731611582001
