Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,14210,59,43,16,96.23728813559322,22.203389830508474,41.69491525423729,12.898305084745763,28.796610169491526,8.542372881355933,4.864406779661017,15.813559322033898,20.949152542372882,78.50847457627118,36.3728813559322,0.4650338983050848,17.135593220338983,6.203389830508475,0.3560847457627119,23.45762711864407,17.28813559322034,0.7387966101694915,3.7966101694915255,39.08474576271186,13.610169491525424,14.423728813559322,18.0,92.44067796610169,20.8135593220339,40.88135593220339,13.05084745762712,27.83050847457627,8.271186440677965,4.220338983050848,16.45762711864407,21.35593220338983,78.83050847457628,34.779661016949156,0.441135593220339,16.847457627118644,5.711864406779661,0.3286610169491525,23.593220338983052,17.16949152542373,0.7286949152542374,-3.7966101694915255,40.30508474576271,13.983050847457626,13.711864406779661,19.0,96.96376495334934,97.00444291945104,49.614980305794894,47.657643992216514,1.6380144225711502,61.04380242311277,1.4040728831725617,17.504102106371494,6.333749479816895,13.762656946132036,10.098522167487683,15.111856895736286,0.5028065630397236,0.5416946513615826
1997,16785,69,51,18,93.6086956521739,19.72463768115942,43.08695652173913,13.565217391304348,29.52173913043478,7.608695652173913,4.739130434782608,15.202898550724637,19.92753623188406,82.6376811594203,36.11594202898551,0.43914492753623185,14.652173913043478,4.840579710144928,0.334304347826087,22.47826086956522,16.536231884057973,0.7355072463768116,-3.028985507246377,38.34782608695652,15.043478260869565,15.217391304347826,0.0,96.6376811594203,22.27536231884058,44.72463768115942,14.043478260869565,30.681159420289855,8.231884057971014,5.478260869565218,14.231884057971014,19.82608695652174,84.0,37.65217391304348,0.4491304347826087,14.115942028985508,5.260869565217392,0.3675217391304348,21.971014492753625,16.07246376811594,0.7226811594202899,3.028985507246377,39.130434782608695,15.405797101449275,13.695652173913043,0.0,98.2458140258312,98.09364011278771,47.676966436956995,49.21969534008814,1.4036779563082675,54.6147672552167,1.2974261201143948,15.475686911275762,6.131673763511301,13.552894211576847,9.813500577653079,14.111905120644007,0.46632760434935105,0.5058391965466039
1998,10585,44,26,18,90.9090909090909,18.522727272727273,42.27272727272727,13.022727272727273,29.25,7.090909090909091,4.75,14.113636363636363,21.65909090909091,80.75,35.29545454545455,0.43734090909090906,12.568181818181818,4.136363636363637,0.3221363636363636,22.477272727272727,16.181818181818183,0.72225,-4.613636363636363,38.68181818181818,13.318181818181818,12.227272727272727,0.0,95.52272727272727,21.136363636363637,42.77272727272727,12.477272727272727,30.295454545454547,7.5227272727272725,5.795454545454546,13.772727272727273,19.795454545454547,79.77272727272727,36.27272727272727,0.45625,13.227272727272727,4.340909090909091,0.33847727272727274,25.25,18.636363636363637,0.7379545454545454,4.613636363636363,37.72727272727273,13.113636363636363,14.772727272727273,0.0,96.42348294647917,97.25530112829736,46.938073957544184,49.32018121088955,2.195697126969597,52.47907276239536,1.3123993558776168,15.025367983245333,6.012591815320041,14.019607843137255,9.941207910208444,13.473170816374349,0.46270757106670424,0.5014843938056648
1999,17785,74,37,37,102.60810810810811,23.675675675675677,45.2027027027027,13.554054054054054,31.64864864864865,7.378378378378378,5.621621621621622,14.972972972972974,21.83783783783784,86.25675675675676,39.78378378378378,0.46241891891891895,15.486486486486486,5.77027027027027,0.37660810810810813,22.716216216216218,17.27027027027027,0.7657972972972973,1.4189189189189189,40.32432432432432,14.445945945945946,15.662162162162161,0.0,101.1891891891892,21.45945945945946,44.63513513513514,13.445945945945946,31.18918918918919,7.472972972972973,4.486486486486487,15.22972972972973,22.12162162162162,85.70270270270271,38.37837837837838,0.4489864864864865,16.054054054054053,5.851351351351352,0.3638918918918919,23.945945945945947,18.58108108108108,0.7781621621621622,-1.4189189189189189,39.351351351351354,15.486486486486486,14.905405405405405,0.0,102.34735465928705,102.71627357820599,50.03720503241717,49.34526422793886,1.3836173960359384,59.5108695652174,1.5812274368231047,17.55046761177404,6.058592570220478,14.03655978423734,10.06317689530686,13.4618936073015,0.4946733510888297,0.5330186560039536
2000,16635,69,24,45,98.76811594202898,21.869565217391305,43.3768115942029,12.028985507246377,31.347826086956523,7.434782608695652,5.782608695652174,14.46376811594203,23.130434782608695,82.66666666666667,37.27536231884058,0.45282608695652177,14.927536231884059,5.3768115942028984,0.3561594202898551,25.26086956521739,18.840579710144926,0.7483768115942029,0.4057971014492754,39.82608695652174,12.173913043478262,14.144927536231885,16.115942028985508,98.3623188405797,21.014492753623188,42.710144927536234,11.043478260869565,31.666666666666668,7.63768115942029,4.855072463768116,15.028985507246377,22.92753623188406,80.6231884057971,36.57971014492754,0.4552753623188406,15.144927536231885,5.420289855072464,0.3528840579710145,25.753623188405797,19.782608695652176,0.7728985507246376,-0.4057971014492754,41.21739130434783,13.18840579710145,14.27536231884058,15.840579710144928,101.54868887003111,101.69651495698764,48.59554571634082,48.39588683445417,1.4661511547485573,58.67029548989113,1.5120240480961924,16.807902053036784,5.50580431177446,14.789743589743592,10.077441077441078,13.362038956100749,0.4834326788218794,0.5265866368306207
2001,17405,72,21,51,103.22222222222223,23.23611111111111,44.27777777777778,12.555555555555555,31.72222222222222,7.083333333333333,4.875,13.125,21.38888888888889,83.90277777777777,38.09722222222222,0.45459722222222226,18.09722222222222,6.736111111111111,0.37977777777777777,26.25,20.291666666666668,0.7741250000000001,1.5,41.611111111111114,13.791666666666666,14.097222222222221,15.194444444444445,101.72222222222223,21.40277777777778,43.291666666666664,12.01388888888889,31.27777777777778,7.111111111111111,4.444444444444445,13.083333333333334,22.541666666666668,84.16666666666667,38.375,0.4568611111111111,17.180555555555557,6.180555555555555,0.3587638888888889,24.34722222222222,18.791666666666668,0.7774861111111111,-1.5,41.611111111111114,14.069444444444445,15.13888888888889,14.916666666666666,101.58436501069897,101.01353167736562,50.94930594523947,50.208923135486266,1.396825487076573,60.991615020051036,1.7703703703703704,17.62796872695088,5.728770595690747,14.506192442045089,10.112609040444092,12.08810888252149,0.4942062572421785,0.5406978436108606
2002,16105,67,16,51,95.83582089552239,20.507462686567163,43.46268656716418,12.373134328358208,31.08955223880597,6.985074626865671,4.776119402985074,14.611940298507463,21.402985074626866,82.97014925373135,35.83582089552239,0.4314328358208955,19.149253731343283,6.582089552238806,0.33870149253731346,22.671641791044777,17.582089552238806,0.7759253731343284,-5.014925373134329,38.83582089552239,14.104477611940299,12.970149253731343,14.865671641791044,100.85074626865672,23.507462686567163,44.134328358208954,11.91044776119403,32.223880597014926,7.955223880597015,4.656716417910448,13.313432835820896,20.80597014925373,83.56716417910448,38.1044776119403,0.456820895522388,18.149253731343283,6.626865671641791,0.3607761194029851,23.507462686567163,18.01492537313433,0.7702686567164179,5.014925373134329,37.940298507462686,14.537313432835822,13.074626865671641,16.28358208955224,99.73538071979638,99.9861269884531,47.98472733117861,50.495686431517505,1.4881453539267269,57.22615576842982,1.4034729315628192,16.013314126679997,5.548862115127175,14.460256855258592,9.923325949906287,13.58522194283938,0.47157762187443786,0.5155475193340355
2003,16900,70,23,47,99.64285714285714,22.4,43.05714285714286,13.1,29.957142857142856,7.414285714285715,4.6571428571428575,13.742857142857142,20.142857142857142,85.37142857142857,38.0,0.4457857142857143,17.771428571428572,5.9,0.3268142857142857,22.942857142857143,17.742857142857144,0.7746142857142857,-7.228571428571429,44.857142857142854,14.428571428571429,15.457142857142857,15.1,106.87142857142857,25.042857142857144,45.91428571428571,13.614285714285714,32.3,7.428571428571429,5.242857142857143,13.342857142857143,19.928571428571427,86.02857142857142,40.98571428571429,0.4781714285714286,17.84285714285714,6.8428571428571425,0.3837428571428571,23.4,18.057142857142857,0.7715142857142857,7.228571428571429,44.91428571428571,14.442857142857143,16.7,15.8,100.75183679796552,100.88897965510837,49.41601551491741,53.000890618938655,1.4317691109094004,58.94736842105262,1.62993762993763,17.020094131541015,5.770925110132159,13.750819672131147,9.678869621066156,12.58398040980347,0.47966867469879526,0.5218745884859876
2004,16130,67,21,46,100.08955223880596,20.91044776119403,43.97014925373134,13.044776119402986,30.925373134328357,7.7164179104477615,5.656716417910448,14.507462686567164,22.17910447761194,81.25373134328358,36.1044776119403,0.44474626865671646,16.37313432835821,5.552238805970149,0.3356119402985075,28.328358208955223,22.328358208955223,0.7901492537313433,1.5522388059701493,38.208955223880594,14.134328358208956,14.402985074626866,16.47761194029851,98.53731343283582,19.71641791044776,42.23880597014925,12.029850746268657,30.208955223880597,7.985074626865671,4.82089552238806,14.626865671641792,23.432835820895523,81.50746268656717,36.23880597014925,0.4451044776119403,16.074626865671643,5.8059701492537314,0.3562089552238806,26.47761194029851,20.253731343283583,0.76,-1.5522388059701493,38.656716417910445,13.940298507462687,13.73134328358209,16.611940298507463,101.54007523354801,100.98485135295098,49.420855953776844,48.654412616587344,1.5066950521004265,57.916494419181475,1.441358024691358,16.19256320994161,6.0317460317460325,14.39888811674774,10.200831024930748,13.404825737265417,0.4785084496693608,0.5339920243601014
2005,16735,69,16,53,93.47826086956522,17.144927536231883,38.81159420289855,11.08695652173913,27.72463768115942,6.3768115942028984,5.144927536231884,14.405797101449275,24.318840579710145,76.71014492753623,34.666666666666664,0.45269565217391305,13.898550724637682,4.797101449275362,0.34192753623188404,25.07246376811594,19.347826086956523,0.7728260869565218,-4.521739130434782,37.36231884057971,13.666666666666666,12.072463768115941,15.014925373134329,98.0,18.28985507246377,41.231884057971016,12.797101449275363,28.434782608695652,7.217391304347826,5.318840579710145,13.101449275362318,21.6231884057971,77.4927536231884,35.46376811594203,0.4574782608695652,12.623188405797102,4.898550724637682,0.3787391304347826,29.043478260869566,22.17391304347826,0.7674927536231884,4.521739130434782,36.95652173913044,13.173913043478262,13.53623188405797,15.119402985074627,95.9888995635895,97.18020391141559,48.39193182964725,50.732750857686,1.3851384772632573,49.45652173913043,1.1901408450704225,14.37214500923316,5.610561056105611,13.683834048640918,9.697628100669926,14.10289151840186,0.483185339127149,0.5326880512701926
