Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1920,8,3,5,107.75,23.0,43.625,12.875,30.75,7.875,5.5,17.875,26.375,81.125,36.875,0.457,23.625,8.0,0.331125,32.625,26.0,0.7989999999999999,1.75,36.75,15.625,12.625,18.75,106.0,21.875,39.25,11.375,27.875,9.5,3.625,17.875,27.0,80.125,36.0,0.448625,23.625,8.125,0.341125,33.0,25.875,0.791625,-1.75,37.25,17.25,12.0,20.125,107.75820015109866,107.87070015109865,49.97011061550268,49.1585310927451,13.476806268887332,62.37288135593221,1.2867132867132867,16.867734956547245,6.319018404907975,14.599406528189911,10.52790346907994,15.769044153323629,0.5038520801232665,0.5642542940930038
2011,480,2,0,2,106.0,24.0,47.5,13.5,34.0,9.0,6.0,20.0,26.5,85.0,38.5,0.447,22.5,7.0,0.311,35.0,22.0,0.6285000000000001,-4.0,47.0,18.0,16.0,14.5,110.0,24.0,49.0,13.5,35.5,11.5,5.0,16.0,29.5,88.0,38.5,0.4375,21.0,5.5,0.264,36.0,27.5,0.7575000000000001,4.0,41.0,18.0,28.0,22.5,115.01938963480129,115.3193896348013,46.019172427727035,47.755744972169566,57.584694817400646,62.33766233766234,1.2,16.620498614958446,5.510204081632653,14.31578947368421,9.844559585492227,16.611295681063122,0.49411764705882355,0.5278884462151394
2012,1680,7,4,3,94.28571428571429,20.571428571428573,43.57142857142857,12.428571428571429,31.142857142857142,9.285714285714286,4.714285714285714,20.571428571428573,22.142857142857142,79.42857142857143,35.57142857142857,0.4481428571428571,17.714285714285715,6.428571428571429,0.352,24.285714285714285,16.714285714285715,0.6861428571428572,-3.7142857142857144,35.714285714285715,11.142857142857142,14.714285714285714,20.0,98.0,23.428571428571427,44.142857142857146,13.714285714285714,30.428571428571427,9.285714285714286,8.142857142857142,17.428571428571427,22.285714285714285,84.28571428571429,36.714285714285715,0.43542857142857144,25.142857142857142,9.142857142857142,0.35300000000000004,22.428571428571427,15.428571428571429,0.6938571428571428,3.7142857142857144,48.285714285714285,15.285714285714286,17.0,21.142857142857142,103.10016847133758,102.54302561419473,45.849178089744335,47.65535783267365,14.688799577538022,57.83132530120483,1.0,15.67261645624728,5.8,13.885350318471337,9.93485342019544,18.585441404233354,0.4883093525179856,0.5231452124286621
2013,1465,6,4,2,95.0,22.0,47.166666666666664,9.5,37.666666666666664,8.0,5.0,22.166666666666668,29.833333333333332,82.0,36.833333333333336,0.4483333333333333,16.5,5.0,0.2885,25.166666666666668,16.333333333333332,0.651,-2.6666666666666665,39.666666666666664,11.333333333333334,11.666666666666666,19.166666666666668,97.66666666666667,22.0,47.5,13.833333333333334,33.666666666666664,9.833333333333334,4.333333333333333,17.333333333333332,23.166666666666668,87.16666666666667,35.0,0.4038333333333333,19.5,5.5,0.2831666666666667,31.666666666666668,22.166666666666668,0.6951666666666667,2.6666666666666665,47.666666666666664,13.0,18.5,18.833333333333332,110.63538037343864,112.58538037343862,42.55876544911784,43.75339746172466,18.28429439564865,59.72850678733032,0.9924812030075187,16.03031186243078,4.401544401544402,14.627831715210355,9.964788732394366,19.23521925257434,0.47967479674796754,0.5103502614425901
2014,1920,8,6,2,98.125,19.5,46.5,14.0,32.5,8.625,4.625,17.875,28.0,81.25,34.75,0.428,18.875,6.125,0.32425,31.25,22.5,0.722875,-3.125,41.25,12.75,16.375,16.0,101.25,23.0,42.625,10.875,31.75,7.625,4.5,16.75,25.0,81.375,36.125,0.446,20.125,7.375,0.37775000000000003,30.25,21.625,0.70225,3.125,41.5,12.125,18.625,17.75,106.81758415221807,106.51758415221808,45.99569812135825,47.460529271719984,13.333448019027259,56.11510791366906,1.0909090909090908,14.73087818696884,6.120218579234972,14.985590778097983,10.434782608695652,15.83610188261351,0.4653846153846154,0.5164473684210527
2015,1680,7,3,4,93.85714285714286,19.857142857142858,47.285714285714285,12.285714285714286,35.0,7.714285714285714,2.7142857142857144,18.285714285714285,24.571428571428573,85.57142857142857,34.714285714285715,0.40499999999999997,23.428571428571427,8.0,0.3445714285714286,23.714285714285715,16.428571428571427,0.6957142857142857,-8.857142857142858,38.0,14.428571428571429,17.285714285714285,20.428571428571427,102.71428571428571,22.142857142857142,45.57142857142857,10.857142857142858,34.714285714285715,9.428571428571429,5.285714285714286,16.0,23.285714285714285,82.57142857142857,36.714285714285715,0.44842857142857145,27.428571428571427,7.571428571428571,0.27999999999999997,29.571428571428573,21.714285714285715,0.741,8.857142857142858,42.857142857142854,13.714285714285714,13.714285714285714,18.714285714285715,106.2648719062093,108.02201476335215,43.79976036605271,47.933071085528,15.30620619068296,57.20164609053497,1.0859375,14.802351337536209,5.227963525835866,15.264797507788161,10.184615384615384,15.999200039998001,0.4524207011686144,0.4888101898696507
2016,1200,5,1,4,101.0,21.6,47.2,12.2,35.0,7.8,4.2,16.4,20.6,83.0,35.0,0.4244,23.8,7.2,0.2998,33.2,23.8,0.7228,-4.0,45.2,13.4,15.0,16.4,105.0,19.8,44.0,9.6,34.4,9.2,3.8,15.2,27.0,85.8,38.6,0.45380000000000004,27.6,10.4,0.3702,24.0,17.4,0.7302,4.0,38.0,8.6,11.4,16.4,109.64150179949576,106.88150179949575,46.6463139348721,48.49369270457,21.65230035989915,61.71428571428572,1.3170731707317076,15.928263819243702,5.236051502145924,15.695067264573991,10.350877192982455,14.384955441723385,0.46506024096385545,0.5173756249487746
2017,1200,5,2,3,107.8,25.8,44.8,9.8,35.0,8.8,3.6,18.8,22.8,87.4,39.6,0.4526,30.4,13.0,0.42780000000000007,22.6,15.6,0.648,3.6,45.2,11.8,10.8,23.0,104.2,23.8,45.2,9.6,35.6,10.4,5.4,17.8,22.8,84.2,38.2,0.4574,28.0,9.0,0.3242,25.6,18.8,0.7534,-3.6,45.2,10.0,10.0,18.8,109.90261727346358,110.8026172734636,48.8434269451272,47.2122920935274,22.070523454692715,65.15151515151516,1.372340425531915,18.176182156343344,4.317180616740088,15.695067264573991,9.955555555555556,16.186802589888412,0.5274599542334096,0.55370644312952
2020,720,3,1,2,98.66666666666667,19.0,41.0,11.0,30.0,9.0,3.0,16.666666666666668,25.666666666666668,93.33333333333333,36.666666666666664,0.393,30.666666666666668,8.666666666666666,0.2826666666666667,21.333333333333332,16.666666666666668,0.7799999999999999,-22.0,49.333333333333336,14.666666666666666,11.0,19.333333333333332,120.66666666666667,31.333333333333332,49.0,11.0,38.0,8.0,8.0,17.333333333333332,25.333333333333332,87.0,41.666666666666664,0.47833333333333333,43.333333333333336,16.0,0.36566666666666664,28.333333333333332,21.333333333333332,0.7533333333333333,22.0,38.666666666666664,11.0,9.0,19.0,110.38722581715612,112.48722581715613,44.270065924180884,54.141094137005,37.145741939052044,51.81818181818182,1.14,13.729646401387418,4.489795918367347,14.634146341463415,9.11111111111111,13.960241232968507,0.43928571428571433,0.48026998961578404
2021,985,4,3,1,107.5,22.25,43.25,8.75,34.5,9.25,6.5,15.25,21.25,88.5,38.75,0.43775,42.0,14.25,0.33575,21.0,15.75,0.773,-1.5,48.5,9.75,10.0,16.75,109.0,25.25,48.75,9.75,39.0,6.5,4.25,17.0,20.0,86.5,39.25,0.45575,37.75,14.25,0.37275,22.25,16.25,0.72475,1.5,34.5,12.5,16.0,18.25,108.32778263377408,108.70278263377408,49.532193710815584,50.22334059980371,26.440271910767287,57.41935483870968,1.459016393442623,16.452233067139897,3.6649214659685865,15.59322033898305,9.402173913043478,13.496769625630588,0.518361581920904,0.5499283814200941
