Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1997,3145,13,5,8,94.3076923076923,20.076923076923077,36.61538461538461,10.846153846153847,25.76923076923077,9.23076923076923,5.230769230769231,12.538461538461538,24.153846153846153,72.0,32.92307692307692,0.45684615384615385,12.076923076923077,4.3076923076923075,0.3410769230769231,32.0,24.153846153846153,0.7612307692307693,6.846153846153846,31.846153846153847,11.153846153846153,8.0,,87.46153846153847,18.23076923076923,37.07692307692308,10.23076923076923,26.846153846153847,6.923076923076923,3.6923076923076925,16.46153846153846,27.076923076923077,69.92307692307692,30.76923076923077,0.44046153846153846,13.307692307692308,4.384615384615385,0.307,28.384615384615383,21.53846153846154,0.7543846153846154,-6.846153846153846,36.46153846153846,13.923076923076923,10.461538461538462,,95.36963491057172,94.28501952595633,49.726009935207976,46.11620986650202,7.236425606481198,60.98130841121496,1.6012269938650308,16.914661965989215,5.755102040816326,14.316239316239317,9.937369519832984,12.71411188418458,0.4871794871794871,0.547790963683157
1998,2400,10,3,7,90.4,18.9,41.1,13.2,27.9,7.0,4.6,12.1,24.6,77.9,33.2,0.4279,13.3,4.2,0.3027,26.4,19.8,0.7434000000000001,-0.7,34.4,12.9,12.5,0.0,91.1,18.3,40.3,10.9,29.4,6.8,4.9,13.8,26.4,75.5,33.2,0.4408,15.1,4.9,0.3269,25.7,19.8,0.7827,0.7,37.6,12.6,7.7,0.0,94.42233586830261,94.2123358683026,47.92332139566979,48.29440906134422,9.43173358683026,56.92771084337348,1.56198347107438,15.682564970626306,6.19718309859155,14.381443298969073,10.098280098280098,11.907573610455046,0.45314505776636715,0.5049376647750123
2000,240,1,1,0,87.0,20.0,42.0,13.0,29.0,7.0,2.0,12.0,27.0,86.0,32.0,0.372,23.0,6.0,0.261,19.0,17.0,0.895,-5.0,32.0,14.0,11.0,,92.0,17.0,53.0,19.0,34.0,6.0,4.0,12.0,22.0,83.0,34.0,0.41,7.0,1.0,0.143,31.0,23.0,0.742,5.0,40.0,15.0,13.0,,94.03237810283689,97.63237810283688,45.39175679572569,48.00047845065246,95.83237810283688,62.5,1.6666666666666667,15.827793605571383,5.531914893617022,12.083333333333334,8.842105263157896,11.282437006393382,0.4069767441860465,0.46100042390843576
2002,1465,6,4,2,99.16666666666667,22.166666666666668,44.0,10.333333333333334,33.666666666666664,7.5,5.166666666666667,12.833333333333334,24.666666666666668,77.16666666666667,33.833333333333336,0.43883333333333335,21.5,8.166666666666666,0.37599999999999995,29.333333333333332,23.333333333333332,0.7998333333333333,10.333333333333334,30.333333333333332,14.333333333333334,11.833333333333334,14.166666666666666,88.83333333333333,17.833333333333332,43.333333333333336,11.666666666666666,31.666666666666668,7.166666666666667,4.666666666666667,12.0,24.166666666666668,79.0,30.166666666666668,0.38483333333333336,21.0,6.5,0.3046666666666667,27.666666666666668,22.0,0.7958333333333334,-10.333333333333334,33.0,10.333333333333334,9.833333333333334,13.333333333333334,98.47260397214441,97.97260397214441,50.48057303326534,45.220412481899864,16.091075053457107,65.51724137931035,1.7272727272727273,17.722935877618465,4.920634920634921,14.852941176470589,10.076335877862595,12.47084736978492,0.49136069114470843,0.5504773887943157
2003,3360,14,6,8,83.57142857142857,17.928571428571427,44.214285714285715,11.785714285714286,32.42857142857143,6.714285714285714,6.071428571428571,15.142857142857142,23.071428571428573,75.42857142857143,30.428571428571427,0.40685714285714286,15.0,4.5,0.30814285714285716,24.714285714285715,18.214285714285715,0.7394999999999999,0.14285714285714285,32.0,10.214285714285714,11.142857142857142,13.0,83.42857142857143,16.785714285714285,39.92857142857143,9.0,30.928571428571427,8.714285714285714,6.5,15.214285714285714,23.857142857142858,71.5,29.071428571428573,0.40464285714285714,14.928571428571429,5.214285714285714,0.34850000000000003,26.285714285714285,20.071428571428573,0.7664285714285715,-0.14285714285714285,30.714285714285715,12.214285714285714,9.857142857142858,14.214285714285714,94.8831511606834,95.35457973211197,43.92999652551763,43.8549025143629,6.794204674742691,58.920187793427225,1.1839622641509433,15.018788444508267,5.518394648829433,15.655172413793103,10.509337860780985,14.927054582324113,0.43323863636363635,0.484175329404754
2004,2905,12,7,5,85.66666666666667,17.166666666666668,40.25,10.666666666666666,29.583333333333332,8.416666666666666,5.833333333333333,15.333333333333334,23.333333333333332,73.16666666666667,30.75,0.4195,14.416666666666666,4.916666666666667,0.3385,23.666666666666668,19.25,0.8125,0.75,31.166666666666668,11.833333333333334,9.5,16.583333333333332,84.91666666666667,18.5,40.666666666666664,11.25,29.416666666666668,7.666666666666667,6.416666666666667,14.5,22.333333333333332,72.75,29.833333333333332,0.41100000000000003,17.25,5.0,0.2931666666666667,27.5,20.25,0.7048333333333333,-0.75,32.333333333333336,10.25,7.666666666666667,17.166666666666668,93.04364077283721,94.1936407728372,45.75299639018165,45.352435137738425,7.73441438398655,55.82655826558266,1.1195652173913044,14.788651504709394,5.322245322245321,14.489795918367347,9.948506694129765,15.501786075352161,0.453872437357631,0.5124830501714923
2010,960,4,3,1,87.75,18.75,39.75,11.75,28.0,7.75,6.5,17.25,23.25,76.25,30.0,0.39375,18.25,6.25,0.34775,26.0,21.5,0.827,-8.5,32.0,15.0,10.75,20.5,96.25,16.25,45.5,14.5,31.0,9.25,6.25,15.25,21.75,83.0,34.0,0.40975,17.75,6.25,0.3055,28.25,22.0,0.8,8.5,34.5,14.0,11.25,20.0,98.98014508083935,99.65514508083936,44.17644011221576,48.45563943932498,24.82941127020984,62.5,1.0869565217391304,15.158864904195974,5.497076023391813,13.176470588235293,9.325513196480939,16.437964551172097,0.4344262295081967,0.5003421142661649
2011,1945,8,3,5,93.625,15.875,42.0,10.625,31.375,7.5,5.125,13.875,20.75,77.875,34.5,0.445125,17.625,5.25,0.277,26.0,19.375,0.733625,4.75,32.75,15.125,6.0,16.25,88.875,16.5,42.125,12.25,29.875,7.25,5.125,14.625,22.875,79.375,32.75,0.412625,20.125,6.375,0.313875,23.0,17.0,0.743125,-4.75,44.25,15.375,15.875,14.125,97.58266687338605,96.68266687338604,48.194393819147194,45.74928438640008,11.985521876407532,46.01449275362319,1.1441441441441442,13.333053374207365,5.246913580246914,14.383954154727794,9.985141158989599,13.446070355654618,0.4767255216693419,0.524128085987796
2012,4320,18,7,11,95.83333333333333,17.61111111111111,43.666666666666664,12.11111111111111,31.555555555555557,6.555555555555555,4.5,12.722222222222221,22.0,76.72222222222223,34.0,0.4441111111111111,19.77777777777778,6.944444444444445,0.3561666666666667,28.0,20.88888888888889,0.7387222222222223,9.444444444444445,35.44444444444444,12.88888888888889,7.888888888888889,15.222222222222221,86.38888888888889,16.444444444444443,38.55555555555556,10.0,28.555555555555557,5.944444444444445,4.555555555555555,14.38888888888889,24.61111111111111,75.27777777777777,31.11111111111111,0.4146666666666667,19.61111111111111,6.611111111111111,0.33844444444444444,23.333333333333332,17.555555555555557,0.7477222222222222,-9.444444444444445,37.55555555555556,14.222222222222221,7.833333333333333,13.666666666666666,95.92910177392699,94.52910177392698,50.317251527185874,45.35844992740524,5.290505654107054,51.79738562091502,1.3842794759825328,14.752694577337627,5.9562841530054635,15.18716577540107,10.621621621621621,12.50163776914006,0.4884141926140477,0.5381342184731338
2013,4320,18,8,10,91.94444444444444,18.77777777777778,39.611111111111114,8.666666666666666,30.944444444444443,7.277777777777778,4.611111111111111,13.11111111111111,20.27777777777778,75.94444444444444,32.888888888888886,0.4350555555555556,21.555555555555557,7.611111111111111,0.35188888888888886,24.11111111111111,18.555555555555557,0.7622777777777778,-0.16666666666666666,33.666666666666664,9.666666666666666,9.666666666666666,15.38888888888889,92.11111111111111,18.72222222222222,41.0,9.166666666666666,31.833333333333332,6.5,4.222222222222222,13.666666666666666,21.833333333333332,76.5,34.166666666666664,0.44988888888888895,23.055555555555557,8.555555555555555,0.372,20.944444444444443,15.222222222222221,0.7166111111111111,0.16666666666666666,35.0,11.88888888888889,10.055555555555555,15.11111111111111,95.9504489352216,95.00044893522161,48.150831166464116,48.23811363987765,5.304191607512311,57.094594594594604,1.4322033898305087,15.853955984164806,4.279835390946501,15.42936288088643,9.827705031013094,13.155254297754688,0.48317483540599854,0.5311432899432592
