Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1440,6,4,2,88.0,16.166666666666668,41.333333333333336,11.666666666666666,29.666666666666668,9.333333333333334,5.0,18.833333333333332,28.166666666666668,81.66666666666667,30.5,0.375,22.666666666666668,7.0,0.3,29.0,20.0,0.6951666666666667,-12.0,34.333333333333336,12.333333333333334,14.333333333333334,18.333333333333332,100.0,20.333333333333332,46.5,10.166666666666666,36.333333333333336,8.5,6.5,19.333333333333332,24.166666666666668,77.0,34.833333333333336,0.45049999999999996,19.333333333333332,6.333333333333333,0.32983333333333337,33.333333333333336,24.0,0.7275,12.0,29.333333333333332,13.166666666666666,11.166666666666666,20.833333333333332,107.37211110626842,108.67211110626842,40.73240149575888,46.28681988154418,18.00368518437807,53.00546448087432,0.8584070796460178,12.490985886473679,4.861111111111111,14.895397489539748,9.411764705882351,16.628406616045677,0.4163265306122449,0.46597006495340293
2011,480,2,2,0,89.5,20.5,45.5,15.0,30.5,6.5,7.0,13.5,24.0,81.5,34.0,0.4215,13.5,3.5,0.2665,26.5,18.0,0.716,-0.5,34.0,17.5,6.0,19.0,90.0,16.5,46.0,11.5,34.5,5.5,3.5,17.0,23.0,78.0,33.0,0.4305,10.5,3.5,0.3575,25.5,20.5,0.798,0.5,38.0,12.5,13.5,14.5,99.25727813852814,98.95727813852814,45.1530915191216,45.40534342704965,49.553639069264065,60.29411764705882,1.5185185185185186,16.12142183076439,6.0606060606060606,14.523809523809524,9.94535519125683,12.657041065066567,0.4386503067484663,0.4803563761270932
2012,1680,7,3,4,89.28571428571429,19.428571428571427,40.0,10.428571428571429,29.571428571428573,7.714285714285714,5.857142857142857,15.285714285714286,23.571428571428573,80.42857142857143,33.42857142857143,0.4152857142857143,17.142857142857142,4.571428571428571,0.24842857142857144,23.857142857142858,17.857142857142858,0.7538571428571429,-4.428571428571429,38.57142857142857,15.285714285714286,12.285714285714286,16.0,93.71428571428571,18.571428571428573,44.714285714285715,11.142857142857142,33.57142857142857,7.714285714285714,5.428571428571429,16.571428571428573,23.142857142857142,79.85714285714286,34.57142857142857,0.4318571428571429,12.857142857142858,4.285714285714286,0.3418571428571429,26.571428571428573,20.285714285714285,0.7564285714285715,4.428571428571429,39.714285714285715,11.714285714285714,10.571428571428571,15.0,100.92381220095695,101.73809791524266,44.05648512565624,46.24168678788878,14.475850722585687,58.11965811965811,1.2710280373831775,15.463683085459586,4.740259740259741,14.526315789473685,9.443507588532883,14.391779200516488,0.44404973357015987,0.49098164906988434
2013,1920,8,5,3,89.0,19.625,42.0,11.125,30.875,7.25,5.125,18.25,25.25,77.375,30.0,0.388125,21.0,7.125,0.32725,30.0,21.875,0.742375,-10.125,37.0,9.625,15.5,17.125,99.125,21.75,44.0,10.0,34.0,6.5,6.5,16.125,25.625,79.0,35.5,0.45,18.875,6.375,0.348125,29.0,21.75,0.763125,10.125,33.25,13.875,11.5,17.375,104.43277762776691,104.13277762776691,42.67243452110657,47.52702327982796,13.035347203470863,65.41666666666667,1.0753424657534247,15.2783184118334,4.930747922437673,15.107033639143731,9.767441860465116,16.77004364805881,0.43376413570274636,0.4913055478884902
2014,1200,5,2,3,96.0,19.8,41.0,6.4,34.6,7.8,7.2,14.0,21.4,77.8,33.8,0.4332,18.6,5.6,0.32120000000000004,28.0,22.8,0.818,4.8,36.0,9.4,12.0,14.4,91.2,19.8,43.6,9.0,34.6,7.4,5.6,16.2,23.8,80.6,34.8,0.4338,15.6,5.4,0.3344,24.2,16.2,0.6696,-4.8,34.8,9.0,11.0,18.4,104.60750469903782,103.46750469903782,46.13720805670566,43.830347653870376,20.80750093980756,58.579881656804744,1.4142857142857144,15.978050355067785,3.1219512195121952,15.871559633027523,9.692671394799055,13.446023818670763,0.47043701799485854,0.5326231691078561
2015,1680,7,2,5,100.14285714285714,21.142857142857142,46.714285714285715,9.714285714285714,37.0,6.285714285714286,7.142857142857143,15.714285714285714,22.571428571428573,82.28571428571429,36.57142857142857,0.4452857142857143,26.428571428571427,8.857142857142858,0.3335714285714286,24.428571428571427,18.142857142857142,0.7482857142857142,0.0,35.142857142857146,13.857142857142858,12.428571428571429,13.571428571428571,100.14285714285714,17.142857142857142,49.42857142857143,14.428571428571429,35.0,7.714285714285714,3.7142857142857144,12.571428571428571,20.571428571428573,88.28571428571429,35.714285714285715,0.40714285714285714,24.142857142857142,8.142857142857142,0.3367142857142857,27.571428571428573,20.571428571428573,0.7338571428571428,0.0,39.142857142857146,11.714285714285714,13.428571428571429,18.714285714285715,104.15294457122573,105.09580171408287,47.858282986466904,47.858282986466904,14.946339020379185,57.8125,1.3454545454545455,16.27733051779508,4.345047923322683,14.38888888888889,9.717682020802377,14.450107718984814,0.49826388888888884,0.538204041520791
2016,1200,5,2,3,102.4,21.8,43.4,9.4,34.0,9.2,5.2,13.6,22.6,89.8,38.2,0.42519999999999997,26.6,7.4,0.279,24.8,18.6,0.7512000000000001,-6.4,46.0,12.2,16.8,16.0,108.8,23.8,49.0,10.0,39.0,7.4,4.4,17.4,22.2,82.0,38.0,0.46319999999999995,21.4,8.8,0.414,31.2,24.0,0.763,6.4,40.8,7.2,15.8,18.2,109.5285041322314,111.4485041322314,46.339662575868,49.23589148685974,22.09770082644628,57.06806282722513,1.6029411764705883,16.016221934877162,3.884297520661157,15.454545454545455,9.393939393939394,11.897263629365247,0.4665924276169266,0.5083803320359044
2017,720,3,0,3,99.66666666666667,21.666666666666668,39.666666666666664,6.333333333333333,33.333333333333336,12.333333333333334,6.333333333333333,17.666666666666668,19.333333333333332,83.66666666666667,37.333333333333336,0.44733333333333336,28.333333333333332,9.666666666666666,0.3416666666666666,21.333333333333332,15.333333333333334,0.721,1.0,39.333333333333336,8.0,7.0,20.0,98.66666666666667,23.666666666666668,45.333333333333336,9.333333333333334,36.0,9.0,4.666666666666667,20.666666666666668,19.0,81.0,35.666666666666664,0.4406666666666667,27.0,9.0,0.3396666666666666,25.333333333333332,18.333333333333332,0.7343333333333333,-1.0,40.666666666666664,7.666666666666667,3.0,20.333333333333332,108.41942585301837,109.61942585301838,45.71050796077333,45.25187410163513,36.339808617672794,58.03571428571429,1.2264150943396226,16.366200020143015,2.9921259842519685,15.624999999999998,9.333333333333334,15.956165703275529,0.5039840637450199,0.5355351769594497
2020,480,2,2,0,108.5,24.5,43.0,8.5,34.5,8.5,6.0,25.5,30.5,77.5,37.0,0.479,37.5,13.0,0.348,32.5,21.5,0.6645,1.5,46.0,13.0,14.0,21.0,107.0,19.5,46.5,15.5,31.0,11.0,1.0,20.5,26.0,92.0,39.0,0.4325,35.5,10.0,0.28600000000000003,29.0,19.0,0.6585,-1.5,50.0,13.0,13.0,28.5,116.54732341772151,115.49732341772153,46.75824307075868,46.111815747199806,58.01116170886077,66.21621621621621,0.9607843137254902,17.277856135401972,4.30379746835443,13.8,9.608938547486034,21.73913043478261,0.5612903225806452,0.590958605664488
2021,960,4,2,2,107.5,24.0,50.0,10.5,39.5,7.0,7.0,18.5,19.75,87.75,41.0,0.46925,39.75,14.0,0.35475,15.75,11.5,0.7535,0.5,40.0,13.5,10.5,17.5,107.0,23.75,40.25,7.5,32.75,11.25,3.75,13.0,15.75,90.5,39.5,0.43525,35.0,11.0,0.30674999999999997,22.25,17.0,0.75675,-0.5,50.5,11.0,14.0,13.0,106.97391526257533,108.92391526257532,49.792070507849296,49.56047948223139,26.98722881564383,58.536585365853654,1.2972972972972974,17.49526169995626,4.855491329479769,16.80851063829787,11.0803324099723,16.34564410673264,0.5470085470085471,0.5677017321504013
