Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,15560,64,33,31,94.46875,20.859375,40.359375,12.03125,28.328125,8.171875,4.328125,16.09375,24.46875,76.78125,34.328125,0.448625,16.015625,5.84375,0.369765625,26.984375,19.96875,0.732453125,-1.640625,38.34375,13.265625,13.109375,,96.109375,21.859375,41.3125,13.046875,28.265625,7.515625,5.484375,16.0,23.125,77.90625,35.125,0.452890625,16.71875,5.53125,0.336234375,27.859375,20.328125,0.7236875,1.640625,36.875,14.421875,12.9375,,98.65622921526166,98.91872921526166,47.814131279809764,48.64451232254546,1.5237143323690745,60.76467910787437,1.296116504854369,16.606790995760605,5.971306708026367,13.693353474320242,9.883298259039602,15.364236830014857,0.48514448514448516,0.5327923748827963
1997,16925,70,19,51,91.84285714285714,20.285714285714285,38.24285714285714,11.228571428571428,27.014285714285716,7.9714285714285715,4.714285714285714,14.657142857142857,22.571428571428573,76.21428571428571,34.15714285714286,0.45039999999999997,11.414285714285715,4.171428571428572,0.363,26.5,19.357142857142858,0.7252857142857143,-3.1857142857142855,37.34285714285714,12.814285714285715,13.871428571428572,0.0,95.02857142857142,22.1,41.82857142857143,12.971428571428572,28.857142857142858,7.914285714285715,4.142857142857143,14.728571428571428,22.571428571428573,78.45714285714286,35.614285714285714,0.45734285714285716,12.242857142857142,4.328571428571428,0.3527,25.428571428571427,19.47142857142857,0.7666428571428572,3.1857142857142855,36.8,13.657142857142857,12.542857142857143,0.0,96.8259744589277,96.50454588749913,47.505617311888955,49.15342453860403,1.3707333791179452,59.38937682977833,1.3840155945419104,16.517005536686362,5.602280826799714,13.51196856020007,9.552185548617304,14.295268349774284,0.47553889409559524,0.5225809598127196
1998,8740,36,8,28,93.69444444444444,20.13888888888889,43.083333333333336,13.583333333333334,29.5,6.861111111111111,4.611111111111111,12.694444444444445,21.944444444444443,79.72222222222223,34.75,0.4379166666666667,14.166666666666666,4.75,0.3292777777777778,24.97222222222222,19.444444444444443,0.7819722222222222,2.8055555555555554,31.72222222222222,11.36111111111111,11.527777777777779,0.0,90.88888888888889,19.13888888888889,39.611111111111114,10.88888888888889,28.72222222222222,6.583333333333333,4.611111111111111,13.63888888888889,22.916666666666668,76.5,33.30555555555556,0.43480555555555556,15.5,5.388888888888889,0.3388611111111111,24.36111111111111,18.88888888888889,0.7777777777777778,-2.8055555555555554,34.388888888888886,12.083333333333334,10.555555555555555,0.0,94.88073885994757,94.69740552661423,49.42259813103537,47.9427041460859,2.602903584254853,57.95363709032774,1.5864332603938731,16.30107294786355,6.421536441234407,14.607977991746905,10.419885791064829,12.276497893922462,0.46567944250871074,0.5164504709758816
1999,16370,68,23,45,96.29411764705883,20.279411764705884,42.80882352941177,11.852941176470589,30.955882352941178,7.073529411764706,4.176470588235294,14.411764705882353,23.529411764705884,84.11764705882354,36.85294117647059,0.4399705882352941,15.558823529411764,5.397058823529412,0.3322058823529412,22.13235294117647,17.191176470588236,0.7765441176470588,-5.3088235294117645,38.44117647058823,11.632352941176471,14.838235294117647,0.0,101.6029411764706,22.926470588235293,43.411764705882355,11.117647058823529,32.294117647058826,7.235294117647059,5.029411764705882,13.617647058823529,21.66176470588235,82.1029411764706,38.05882352941177,0.4636176470588235,14.970588235294118,5.617647058823529,0.3672352941176471,25.25,19.86764705882353,0.7950147058823529,5.3088235294117645,39.294117647058826,13.485294117647058,12.691176470588236,0.0,100.42550776139578,101.36080187904284,47.72083785993437,50.351751492713284,1.4791910297405395,55.027932960893864,1.4071428571428573,15.775866013819611,5.3697534976682215,14.715134568332749,9.930069930069932,13.311238488495288,0.47019230769230763,0.512989251355332
2000,16305,67,34,33,90.0,19.64179104477612,42.507462686567166,12.104477611940299,30.402985074626866,6.507462686567164,4.552238805970149,15.134328358208956,23.29850746268657,79.85074626865672,33.6865671641791,0.4227313432835821,14.388059701492537,4.611940298507463,0.3107910447761194,24.044776119402986,18.01492537313433,0.7555522388059701,-4.044776119402985,33.97014925373134,12.671641791044776,12.104477611940299,15.328358208955224,94.04477611940298,22.492537313432837,43.80597014925373,12.223880597014926,31.582089552238806,7.313432835820896,6.134328358208955,13.805970149253731,22.865671641791046,79.85074626865672,34.95522388059702,0.43922388059701495,13.91044776119403,5.104477611940299,0.3564477611940299,25.16417910447761,19.029850746268657,0.761044776119403,4.044776119402985,33.07462686567164,12.492537313432836,11.522388059701493,14.791044776119403,97.84512266587639,98.18094356139878,45.91226143142251,47.97564830504034,1.4426941396671586,58.307487815684546,1.2978303747534516,15.687508642434471,5.54151007857875,14.264705882352938,9.849559052394952,14.336532425447205,0.45074766355140183,0.4976200064698853
2001,16710,69,37,32,94.82608695652173,21.115942028985508,42.79710144927536,11.927536231884059,30.869565217391305,7.927536231884058,5.144927536231884,14.956521739130435,22.36231884057971,80.66666666666667,35.04347826086956,0.43685507246376815,14.492753623188406,4.927536231884058,0.3389130434782609,26.217391304347824,19.81159420289855,0.7502028985507246,-2.5942028985507246,37.42028985507246,14.36231884057971,14.53623188405797,15.072463768115941,97.42028985507247,23.405797101449274,43.42028985507246,12.246376811594203,31.17391304347826,7.63768115942029,5.768115942028985,14.521739130434783,23.07246376811594,82.26086956521739,36.6231884057971,0.44728985507246377,14.26086956521739,4.884057971014493,0.34602898550724637,25.057971014492754,19.28985507246377,0.7681739130434783,2.5942028985507246,38.17391304347826,14.376811594202898,14.46376811594203,15.768115942028986,100.83359941078271,100.48577332382618,47.10231592144244,48.390916647399685,1.4457405582377658,60.25641025641026,1.4118217054263567,16.46149118287734,5.534633490248823,14.319327731092438,9.927718944360398,13.95733815168056,0.4649658641753503,0.5142283195744707
2002,15750,65,28,37,92.18461538461538,20.2,41.8,12.384615384615385,29.415384615384614,7.615384615384615,5.323076923076923,15.015384615384615,22.93846153846154,81.47692307692307,34.04615384615385,0.4179538461538462,14.953846153846154,4.769230769230769,0.3051076923076923,25.369230769230768,19.323076923076922,0.7654923076923077,-5.6923076923076925,37.69230769230769,13.415384615384616,14.23076923076923,16.076923076923077,97.87692307692308,23.70769230769231,44.12307692307692,11.923076923076923,32.2,8.015384615384615,6.338461538461538,14.907692307692308,22.49230769230769,80.43076923076923,36.2,0.45153846153846156,14.03076923076923,4.953846153846154,0.3552,26.29230769230769,20.523076923076925,0.7812923076923077,5.6923076923076925,37.784615384615385,14.676923076923076,13.307692307692308,17.26153846153846,100.1845704945305,100.46149357145357,45.9438941968479,48.78088365826875,1.528731916693212,59.33122458201535,1.3452868852459017,15.799175988140389,5.5555555555555545,14.231484927428358,9.729632945389437,13.947718919166109,0.447129909365559,0.4975454865516577
2003,14475,60,13,47,90.46666666666667,21.8,41.2,11.2,30.0,8.416666666666666,5.616666666666666,13.966666666666667,20.933333333333334,76.61666666666666,33.3,0.4348,13.583333333333334,4.7,0.3465666666666667,25.0,19.166666666666668,0.7624833333333334,4.466666666666667,36.4,11.7,11.666666666666666,16.3,86.0,19.85,40.6,10.883333333333333,29.716666666666665,7.45,5.866666666666666,16.033333333333335,22.066666666666666,75.28333333333333,32.266666666666666,0.42876666666666663,14.233333333333333,4.5,0.30661666666666665,22.65,16.966666666666665,0.7522833333333333,-4.466666666666667,34.5,13.266666666666667,10.666666666666666,15.35,95.71012284868632,95.00512284868633,47.43546659621505,45.09340597576818,1.5810590316880635,65.46546546546548,1.5608591885441527,17.668512765095233,5.474541751527494,14.675907052588666,10.073349633251834,13.748974569319115,0.4653034587774636,0.5162640289138293
2004,14525,60,25,35,91.35,17.416666666666668,39.766666666666666,11.083333333333334,28.683333333333334,7.216666666666667,4.083333333333333,13.95,23.516666666666666,76.2,32.81666666666667,0.4316333333333333,16.05,5.633333333333334,0.3569833333333333,25.916666666666668,20.083333333333332,0.7723,-2.2666666666666666,33.233333333333334,12.416666666666666,10.2,14.916666666666666,93.61666666666666,19.183333333333334,41.016666666666666,11.233333333333333,29.783333333333335,7.033333333333333,4.95,13.966666666666667,22.2,75.15,33.266666666666666,0.44393333333333335,16.116666666666667,5.866666666666666,0.36715,27.816666666666666,21.216666666666665,0.7607166666666667,2.2666666666666666,33.56666666666667,13.316666666666666,8.866666666666667,13.966666666666667,95.75432512105779,96.32432512105778,47.55864323538983,48.738715390108496,1.5868804150811613,53.07262569832402,1.2485065710872163,14.63954498332913,5.424143556280587,14.37160751565762,9.845265112440684,13.736624433795049,0.46762904636920394,0.5213842700049465
2005,15385,64,33,31,90.390625,18.125,39.390625,10.546875,28.84375,7.375,4.484375,14.703125,23.5625,77.34375,33.484375,0.4341875,15.5625,5.3125,0.33975,24.625,18.109375,0.7361875,-5.484375,36.71875,12.796875,10.078125,14.419354838709678,95.875,20.15625,43.09375,11.859375,31.234375,7.65625,5.25,14.125,21.0625,77.671875,34.9375,0.450734375,16.078125,5.734375,0.351359375,27.578125,20.265625,0.737234375,5.484375,36.84375,13.125,9.421875,15.274193548387096,97.36537507984356,98.25131257984356,46.20803372218014,49.01166722891916,1.525772019445073,54.129724685020996,1.2327311370882041,14.978487792532448,5.048616305160808,14.17274472168906,9.551051335480205,14.291268505749919,0.4672727272727273,0.5125419956622201
2006,16420,68,40,28,93.88235294117646,18.676470588235293,40.970588235294116,11.382352941176471,29.58823529411765,7.073529411764706,4.852941176470588,16.41176470588235,24.13235294117647,78.52941176470588,34.11764705882353,0.4355735294117647,15.647058823529411,5.426470588235294,0.3415735294117647,26.779411764705884,20.220588235294116,0.7540588235294117,-5.279411764705882,36.3235294117647,11.617647058823529,11.676470588235293,17.253731343283583,99.16176470588235,21.602941176470587,42.411764705882355,11.411764705882353,31.0,7.9411764705882355,5.25,15.470588235294118,23.0,79.25,36.44117647058823,0.46139705882352944,15.544117647058824,5.588235294117647,0.3443529411764706,27.058823529411764,20.691176470588236,0.7617941176470588,5.279411764705882,38.8235294117647,13.5,12.0,18.17910447761194,101.07655992090268,101.16038345031444,46.42195999217126,49.032468080703445,1.4779800977190047,54.741379310344826,1.1379928315412187,14.893447352249966,5.371269951422623,14.433285509325684,9.82716049382716,15.377746912049208,0.4690074906367041,0.519764738065928
2007,16875,70,40,30,105.78571428571429,22.857142857142858,45.4,11.571428571428571,33.82857142857143,7.9,5.242857142857143,15.314285714285715,22.0,84.67142857142858,38.07142857142857,0.4511142857142857,22.314285714285713,8.7,0.39175714285714286,27.32857142857143,20.942857142857143,0.7644142857142857,3.4571428571428573,35.8,13.728571428571428,11.771428571428572,16.67142857142857,102.32857142857142,21.15714285714286,43.642857142857146,11.0,32.642857142857146,8.271428571428572,5.1,15.842857142857143,22.814285714285713,83.94285714285714,37.128571428571426,0.44308571428571425,21.65714285714286,8.014285714285714,0.37017142857142854,26.65714285714286,20.057142857142857,0.7498428571428571,-3.4571428571428573,36.97142857142857,13.242857142857142,13.642857142857142,17.142857142857142,106.41099537462583,106.20956680319725,49.75328500789188,48.12731674699926,1.5119684421534085,60.0375234521576,1.4925373134328357,16.947859908989994,5.234248788368335,15.092415551306566,10.197336755976256,13.67221377628585,0.5010123165176311,0.5470015010223498
2008,15245,63,39,24,102.0,20.428571428571427,43.38095238095238,11.317460317460318,32.06349206349206,7.380952380952381,4.587301587301587,14.412698412698413,22.047619047619047,85.22222222222223,37.77777777777778,0.445031746031746,19.61904761904762,6.857142857142857,0.34609523809523807,25.11111111111111,19.58730158730159,0.7817619047619048,-5.190476190476191,38.95238095238095,13.26984126984127,12.476190476190476,15.952380952380953,107.19047619047619,22.46031746031746,44.36507936507937,10.698412698412698,33.666666666666664,7.317460317460317,6.158730158730159,13.936507936507937,21.317460317460316,83.87301587301587,39.23809523809524,0.4691746031746032,19.428571428571427,7.650793650793651,0.3961587301587302,27.063492063492063,21.063492063492063,0.777952380952381,5.190476190476191,39.17460317460318,12.936507936507937,13.317460317460318,15.46031746031746,104.53012475860625,105.11583904432054,48.653452778076336,51.1292820744397,1.6502142116334022,54.07563025210084,1.4174008810572687,15.580962896243133,5.031757233592097,14.996288047512994,9.887843704775689,13.021505561387507,0.4835164835164835,0.5297539356447071
2009,17520,73,45,28,99.21917808219177,19.78082191780822,43.15068493150685,10.534246575342467,32.61643835616438,7.232876712328767,4.958904109589041,15.547945205479452,22.041095890410958,83.42465753424658,36.054794520547944,0.43317808219178083,20.19178082191781,7.068493150684931,0.34665753424657536,26.465753424657535,20.041095890410958,0.7606712328767122,-5.8493150684931505,38.32876712328767,12.945205479452055,12.342465753424657,16.410958904109588,105.06849315068493,22.095890410958905,45.36986301369863,10.753424657534246,34.61643835616438,7.808219178082192,5.575342465753424,14.479452054794521,21.561643835616437,83.8082191780822,38.50684931506849,0.4603287671232877,20.232876712328768,7.287671232876712,0.36041095890410957,26.84931506849315,20.767123287671232,0.7753972602739726,5.8493150684931505,38.3013698630137,11.821917808219178,14.493150684931507,16.589041095890412,105.5107517246843,105.62582021783498,46.992890511267575,49.7632845811711,1.4461409037158854,54.86322188449848,1.272246696035242,15.169533190182241,4.666262135922331,15.041061276058118,9.749303621169917,14.055588303769127,0.4745484400656814,0.5218239559198165
2010,16660,69,38,31,97.95652173913044,18.840579710144926,42.492753623188406,11.18840579710145,31.304347826086957,7.057971014492754,5.36231884057971,14.956521739130435,22.652173913043477,83.44927536231884,36.44927536231884,0.4386086956521739,18.463768115942027,6.463768115942029,0.3482028985507246,24.507246376811594,18.594202898550726,0.7535507246376811,-5.304347826086956,40.43478260869565,13.695652173913043,14.231884057971014,16.536231884057973,103.26086956521739,21.405797101449274,44.53623188405797,11.44927536231884,33.08695652173913,7.565217391304348,5.927536231884058,14.246376811594203,20.92753623188406,83.14492753623189,37.84057971014493,0.45607246376811594,18.91304347826087,6.811594202898551,0.3516376811594203,26.956521739130434,20.768115942028984,0.7656376811594203,5.304347826086956,38.31884057971015,12.91304347826087,13.956521739130435,16.144927536231883,102.8985167507511,103.63329935944674,47.42926469346709,49.99756042919855,1.487624125643682,51.68986083499006,1.25968992248062,14.715803867766049,5.054009819967267,14.64406779661017,9.765195670274771,13.697830115051154,0.4755123306703717,0.5197599522611365
2011,13060,54,17,37,98.22222222222223,20.01851851851852,44.2962962962963,12.833333333333334,31.462962962962962,7.62962962962963,5.87037037037037,13.62962962962963,21.444444444444443,82.38888888888889,36.55555555555556,0.44549999999999995,17.203703703703702,6.2592592592592595,0.36392592592592593,24.90740740740741,18.85185185185185,0.7563148148148149,4.166666666666667,40.666666666666664,13.481481481481481,12.277777777777779,15.814814814814815,94.05555555555556,18.48148148148148,42.407407407407405,11.777777777777779,30.62962962962963,6.703703703703703,5.814814814814815,15.11111111111111,21.5,79.77777777777777,34.148148148148145,0.4283888888888889,17.796296296296298,6.555555555555555,0.37044444444444447,25.24074074074074,19.203703703703702,0.7647592592592592,-4.166666666666667,38.925925925925924,14.055555555555555,12.88888888888889,15.444444444444445,99.26605152299051,99.3660515229905,49.449318975133096,47.351638588744535,1.8251035501927813,54.76190476190476,1.46875,15.763072705532387,5.905411163187048,14.552462526766595,10.217855617257584,12.740617642985738,0.4816812766913914,0.5261069671480718
2013,17595,73,23,50,97.43835616438356,20.438356164383563,44.49315068493151,10.41095890410959,34.082191780821915,6.712328767123288,5.109589041095891,14.164383561643836,20.684931506849313,81.42465753424658,36.32876712328767,0.4477123287671233,18.904109589041095,6.534246575342466,0.347,23.068493150684933,18.246575342465754,0.797068493150685,6.424657534246576,37.04109589041096,12.616438356164384,11.219178082191782,15.04109589041096,91.01369863013699,17.904109589041095,41.58904109589041,10.232876712328768,31.356164383561644,7.054794520547945,5.123287671232877,14.534246575342467,21.47945205479452,81.53424657534246,34.136986301369866,0.42056164383561645,18.80821917808219,6.616438356164384,0.3549452054794521,21.63013698630137,16.123287671232877,0.7447671232876713,-6.424657534246576,36.273972602739725,12.082191780821917,10.273972602739725,15.643835616438356,100.01991324232625,99.58840639301118,48.81477703053299,45.596144888353884,1.361352563582864,56.259426847662155,1.4429400386847195,16.19809444401018,4.985241062643491,15.38176197836167,10.337364735837047,13.395586970265423,0.4862886944818304,0.5320151504272277
2014,16925,70,38,32,98.77142857142857,21.414285714285715,44.01428571428571,10.114285714285714,33.9,7.0285714285714285,4.814285714285714,13.257142857142858,20.685714285714287,82.64285714285714,37.042857142857144,0.45021428571428573,21.014285714285716,7.4714285714285715,0.35212857142857146,23.67142857142857,17.214285714285715,0.7339571428571429,2.9,37.857142857142854,13.057142857142857,11.757142857142858,14.7,95.87142857142857,20.242857142857144,43.42857142857143,9.942857142857143,33.48571428571429,6.871428571428571,4.4,14.0,21.985714285714284,82.98571428571428,35.857142857142854,0.43352857142857143,21.285714285714285,7.314285714285714,0.34252857142857146,21.757142857142856,16.84285714285714,0.7721,-2.9,38.4,12.257142857142858,11.142857142857142,15.528571428571428,101.45255718987534,100.8782714755896,48.81679634433657,47.38350018322862,1.4345464957078753,57.80948708060162,1.615301724137931,16.76531246784505,4.639580602883355,15.464320625610949,10.066982519196207,12.469632145851698,0.49343128781331036,0.5306965834008793
2015,15990,66,28,38,100.5909090909091,20.439393939393938,43.78787878787879,10.590909090909092,33.196969696969695,8.227272727272727,4.863636363636363,15.469696969696969,20.863636363636363,84.86363636363636,37.63636363636363,0.44477272727272726,24.136363636363637,8.43939393939394,0.3506666666666666,22.272727272727273,16.87878787878788,0.7560909090909091,-2.0303030303030303,41.84848484848485,13.090909090909092,12.651515151515152,17.71212121212121,102.62121212121212,21.242424242424242,44.59090909090909,10.575757575757576,34.015151515151516,8.712121212121213,4.409090909090909,15.257575757575758,19.484848484848484,84.5909090909091,38.09090909090909,0.45127272727272727,23.318181818181817,7.984848484848484,0.33722727272727276,24.560606060606062,18.454545454545453,0.7549848484848485,2.0303030303030303,40.27272727272727,13.530303030303031,12.787878787878787,17.78787878787879,104.32973952328997,105.0161031596536,48.05011066938409,49.01994269675229,1.5710757424611148,54.307568438003216,1.3212536728697355,15.65364710250876,4.748641304347825,15.167878158532364,9.909137665009428,14.046335020911293,0.493215497232637,0.5313070200710651
2016,16230,67,30,37,108.23880597014926,23.432835820895523,43.985074626865675,9.686567164179104,34.298507462686565,8.492537313432836,5.268656716417911,13.746268656716419,18.880597014925375,85.44776119402985,40.23880597014925,0.47125373134328363,26.19402985074627,10.08955223880597,0.3845970149253731,22.119402985074625,17.671641791044777,0.8019253731343283,6.417910447761194,40.35820895522388,11.656716417910447,10.552238805970148,15.82089552238806,101.82089552238806,21.47761194029851,43.11940298507463,10.059701492537313,33.059701492537314,7.462686567164179,4.91044776119403,14.805970149253731,19.44776119402985,84.34328358208955,37.35820895522388,0.4435970149253731,26.253731343283583,9.164179104477611,0.3488358208955224,22.64179104477612,17.940298507462686,0.784,-6.417910447761194,41.73134328358209,12.522388059701493,10.507462686567164,16.83582089552239,103.7781705369168,103.93488695482725,52.1097745501394,49.01997821029384,1.5357712199019893,58.23442136498517,1.7046688382193267,17.70394493509306,4.532122905027933,15.464333781965008,10.099383139136396,12.61975752526692,0.5299563318777292,0.5685987944325617
2017,17595,73,32,41,106.16438356164383,23.671232876712327,43.726027397260275,10.219178082191782,33.50684931506849,7.589041095890411,5.054794520547945,14.657534246575343,18.45205479452055,85.63013698630137,40.45205479452055,0.472945205479452,28.438356164383563,10.287671232876713,0.361013698630137,19.78082191780822,14.972602739726028,0.7531643835616438,1.4931506849315068,46.32876712328767,11.986301369863014,13.767123287671232,16.34246575342466,104.67123287671232,22.136986301369863,41.917808219178085,9.835616438356164,32.082191780821915,8.123287671232877,4.410958904109589,14.04109589041096,19.027397260273972,86.38356164383562,40.178082191780824,0.46645205479452057,26.80821917808219,9.452054794520548,0.3497260273972603,18.945205479452056,14.863013698630137,0.7834109589041096,-1.4931506849315068,44.41095890410959,13.0,12.904109589041095,16.794520547945204,102.78691102106538,102.53622608955854,51.70600111396341,50.97878122732831,1.4003283008397198,58.51676261429055,1.6149532710280372,17.84320285491246,4.8316062176165815,15.461441213653604,10.21113243761996,13.448360808208783,0.532474804031355,0.5627065677658444
2018,16825,70,30,40,108.4,25.9,43.714285714285715,9.5,34.214285714285715,7.942857142857143,5.3428571428571425,14.585714285714285,19.7,85.92857142857143,40.957142857142856,0.4772428571428572,29.285714285714285,11.0,0.3777142857142857,20.4,15.485714285714286,0.7577,4.757142857142857,47.371428571428574,13.414285714285715,14.128571428571428,16.857142857142858,103.64285714285714,24.414285714285715,42.77142857142857,10.228571428571428,32.542857142857144,7.9,4.485714285714286,14.414285714285715,19.214285714285715,87.11428571428571,39.2,0.45054285714285713,28.257142857142856,9.614285714285714,0.34021428571428575,20.728571428571428,15.628571428571428,0.7637142857142857,-4.757142857142857,46.114285714285714,13.071428571428571,14.4,17.057142857142857,104.23088652417235,104.32945795274378,51.97536486232546,49.69442172854127,1.4875031998353603,63.236832926403906,1.7757100881488737,19.129880599156724,4.519198097179748,15.396978463516554,10.10901883052527,13.321468832199072,0.5406483790523691,0.5710999921725884
2019,14500,60,18,42,110.48333333333333,25.65,43.88333333333333,9.283333333333333,34.6,7.2,5.7,13.9,18.7,88.2,41.766666666666666,0.47475,30.083333333333332,10.733333333333333,0.35350000000000004,20.65,16.216666666666665,0.7916833333333333,3.5833333333333335,48.6,12.283333333333333,13.766666666666667,16.783333333333335,106.9,23.95,43.4,9.866666666666667,33.53333333333333,7.116666666666666,4.316666666666666,14.433333333333334,20.116666666666667,88.85,40.583333333333336,0.4579666666666667,30.483333333333334,10.566666666666666,0.34913333333333335,19.283333333333335,15.166666666666666,0.7788833333333333,-3.5833333333333335,49.6,13.066666666666666,12.266666666666667,16.616666666666667,105.95746222052462,105.54746222052462,52.23676641350604,50.54255842151573,1.7503855815810971,61.412609736632085,1.845323741007194,18.745067087608522,4.336317633320359,15.562218890554721,10.055375214817646,12.501573939165002,0.5343915343915344,0.5678275051566173
2020,15725,65,34,31,113.55384615384615,26.123076923076923,44.07692307692308,10.461538461538462,33.61538461538461,7.8307692307692305,5.7846153846153845,14.292307692307693,19.307692307692307,91.43076923076923,42.09230769230769,0.462,33.43076923076923,12.03076923076923,0.35875384615384615,22.16923076923077,17.338461538461537,0.7812461538461538,-3.246153846153846,54.09230769230769,14.169230769230769,16.246153846153845,16.50769230769231,116.8,27.630769230769232,45.353846153846156,10.123076923076923,35.23076923076923,8.015384615384615,5.7384615384615385,14.015384615384615,18.815384615384616,91.03076923076924,43.723076923076924,0.4812461538461538,32.56923076923077,12.138461538461538,0.3744153846153846,21.784615384615385,17.215384615384615,0.7914769230769231,3.246153846153846,53.13846153846154,14.338461538461539,13.661538461538461,17.353846153846153,109.12480707887883,109.00942246349422,52.05686718314334,53.54501228213307,1.6646173319608755,62.06140350877193,1.8277717976318621,18.448420476225657,4.579124579124579,15.371086880056279,9.857216583519698,12.376699298165212,0.5261652364125862,0.5611186795275687
2021,15485,64,45,19,112.234375,24.515625,42.78125,10.453125,32.328125,7.46875,5.1875,14.0625,19.78125,88.4375,41.296875,0.467359375,33.71875,12.296875,0.361125,21.96875,17.34375,0.788328125,-3.109375,51.09375,13.84375,13.34375,15.296875,115.34375,26.546875,43.78125,10.4375,33.34375,7.65625,5.09375,13.65625,19.625,88.640625,42.9375,0.485609375,34.125,12.4375,0.363578125,21.734375,17.03125,0.781171875,3.109375,49.21875,13.296875,13.09375,16.515625,105.94267976004338,105.87236726004338,52.98696980170471,54.45493680581709,1.6414469255673496,59.364358683314414,1.7433333333333334,17.936266238665514,4.773457010346058,15.118743149433687,9.884476534296029,12.537193674567884,0.5364840989399293,0.5720187811373163
2022,18530,77,45,32,119.0,27.324675324675326,43.4025974025974,11.194805194805195,32.20779220779221,8.233766233766234,5.545454545454546,14.805194805194805,20.493506493506494,89.84415584415585,42.90909090909091,0.4792597402597402,35.61038961038961,13.12987012987013,0.3685584415584416,25.09090909090909,20.051948051948052,0.7983636363636363,2.4935064935064934,52.51948051948052,15.090909090909092,15.727272727272727,16.662337662337663,116.50649350649351,26.12987012987013,43.20779220779221,11.012987012987013,32.1948051948052,7.545454545454546,5.5064935064935066,15.428571428571429,21.25974025974026,88.63636363636364,42.298701298701296,0.47794805194805196,34.36363636363637,12.714285714285714,0.3683636363636364,24.376623376623378,19.194805194805195,0.7877402597402597,-2.4935064935064934,50.8051948051948,13.948051948051948,17.025974025974026,19.532467532467532,109.18246156567169,108.96817585138598,54.54946243063103,53.40644193661367,1.412740231518992,63.680387409200975,1.8456140350877193,19.10629054638179,5.160131697096676,14.903846153846155,10.022492127755287,12.797370477139854,0.5506649320612893,0.5897853781114509
