Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,960,4,3,1,84.75,15.5,40.0,11.25,28.75,5.5,2.5,12.5,21.0,74.0,32.0,0.435,22.5,5.75,0.2525,20.0,15.0,0.7402500000000001,-3.75,32.5,8.0,7.5,,88.5,15.0,35.0,7.25,27.75,4.25,4.5,10.25,17.75,70.75,32.0,0.452,16.5,5.5,0.34625,24.0,19.0,0.7945,3.75,31.5,13.5,11.5,,88.09322582799146,89.29322582799145,47.77704227623944,49.891070695542076,22.173306456997864,48.4375,1.24,13.989169675090253,5.769230769230769,15.972222222222221,10.666666666666666,13.11647429171039,0.47128378378378377,0.5117753623188406
1998,960,4,3,1,69.25,16.25,32.75,9.75,23.0,7.25,3.5,13.0,21.75,71.0,27.75,0.3905,10.0,2.75,0.26175,15.25,11.0,0.72575,-17.0,23.5,9.5,11.75,0.0,86.25,16.0,40.0,12.25,27.75,8.5,3.75,11.25,17.25,74.25,33.75,0.45525,12.25,4.5,0.36475,18.5,14.25,0.78375,17.0,33.0,12.5,8.25,0.0,82.72908457446809,83.70408457446808,41.60829259823215,51.82260269454907,20.80414614361702,58.55855855855856,1.25,15.192595362752431,5.2,13.049645390070921,9.003436426116838,14.331385734759124,0.4102112676056338,0.4455668511131129
2002,3145,13,7,6,95.0,19.153846153846153,41.69230769230769,11.0,30.692307692307693,7.846153846153846,5.153846153846154,13.23076923076923,24.46153846153846,73.92307692307692,33.92307692307692,0.45992307692307693,15.076923076923077,5.230769230769231,0.3526153846153846,30.0,21.923076923076923,0.7403076923076923,10.076923076923077,30.615384615384617,14.23076923076923,10.0,16.076923076923077,84.92307692307692,17.076923076923077,38.38461538461539,11.615384615384615,26.76923076923077,7.0,4.3076923076923075,14.76923076923077,26.153846153846153,74.6923076923077,30.23076923076923,0.40438461538461534,16.153846153846153,5.384615384615385,0.3269230769230769,25.23076923076923,19.076923076923077,0.7703846153846154,-10.076923076923077,33.23076923076923,12.846153846153847,9.923076923076923,18.153846153846153,95.79066798740973,94.3598987566405,49.96040854712442,44.660964401639966,7.255347538723699,56.462585034013614,1.4476744186046513,16.027291452111225,5.824847250509165,14.50909090909091,10.413064361191163,13.184117737237468,0.4942767950052029,0.5452057213491083
2003,4875,20,5,15,85.6,19.65,44.25,13.1,31.15,8.7,5.75,15.3,24.0,78.4,31.1,0.39825,16.35,4.35,0.26945,26.05,19.05,0.732,3.75,34.9,11.9,12.95,15.4,81.85,17.65,40.95,9.9,31.05,7.3,6.65,17.35,25.45,71.85,29.05,0.40354999999999996,15.15,4.75,0.31829999999999997,26.1,19.0,0.7253499999999999,-3.75,32.2,11.1,10.95,15.3,96.8641650336647,96.87916503366472,44.18216615263731,42.24661564945518,4.769066586272725,63.183279742765265,1.284313725490196,15.743678492452647,5.93431483578709,15.176613885505482,10.387323943661972,14.548981571290009,0.42442602040816324,0.47628586054171945
2004,5305,22,7,15,92.04545454545455,19.863636363636363,41.81818181818182,11.181818181818182,30.636363636363637,7.590909090909091,6.2272727272727275,12.454545454545455,21.181818181818183,77.18181818181819,35.04545454545455,0.4545,15.454545454545455,4.954545454545454,0.3174090909090909,23.954545454545453,17.0,0.693409090909091,7.863636363636363,34.54545454545455,9.772727272727273,10.590909090909092,16.714285714285715,84.18181818181819,17.863636363636363,39.27272727272727,10.681818181818182,28.59090909090909,5.954545454545454,5.045454545454546,14.181818181818182,21.818181818181817,74.72727272727273,31.318181818181817,0.4196363636363636,14.772727272727273,4.818181818181818,0.30804545454545457,22.681818181818183,16.727272727272727,0.7362727272727273,-7.863636363636363,36.18181818181818,15.681818181818182,10.954545454545455,12.619047619047619,93.64460384009831,93.26278565828012,49.246557234834796,45.03932049329089,4.2278768595297676,56.679636835278856,1.594890510948905,16.547514464875345,5.622857142857142,14.82948294829483,10.313901345291479,12.432618835871283,0.4861601884570082,0.5246440193172632
2006,2880,12,4,8,91.91666666666667,20.083333333333332,42.083333333333336,12.416666666666666,29.666666666666668,5.833333333333333,2.75,13.833333333333334,23.083333333333332,75.33333333333333,33.25,0.4429166666666667,14.583333333333334,5.25,0.35274999999999995,27.666666666666668,20.166666666666668,0.7279166666666667,2.9166666666666665,28.833333333333332,12.583333333333334,9.25,14.833333333333334,89.0,18.333333333333332,38.833333333333336,10.583333333333334,28.25,7.083333333333333,4.75,13.75,23.0,72.91666666666667,31.666666666666668,0.43625,15.833333333333334,5.25,0.3518333333333334,28.833333333333332,20.416666666666668,0.7079166666666666,-2.9166666666666665,29.333333333333332,13.583333333333334,9.583333333333334,16.166666666666668,95.03958070821878,95.38958070821877,48.26816753430946,46.7365393713894,7.934548392351564,60.401002506265655,1.4518072289156625,16.539929173415324,6.10655737704918,14.74120082815735,10.401647785787848,13.650417735675287,0.47621681415929207,0.5251980801462747
2007,3840,16,7,9,92.75,20.8125,38.25,11.1875,27.0625,7.75,6.25,12.4375,22.25,75.0,34.6875,0.4634375,13.125,4.125,0.30112500000000003,24.625,19.25,0.772125,4.875,30.375,13.1875,10.625,19.0,87.875,17.0625,37.4375,11.125,26.3125,6.25,3.6875,15.4375,23.0,71.5625,31.25,0.437625,13.8125,4.75,0.3153125,27.625,20.625,0.7436875,-4.875,34.0,13.9375,9.75,14.875,92.53896316233633,93.43896316233634,49.87150993289431,47.25023110892817,5.811810197646021,60.0,1.6733668341708543,17.477012218163495,5.966666666666667,14.173486088379706,10.107349298100743,12.656134727416113,0.49,0.5402807712471602
2008,720,3,3,0,88.33333333333333,17.0,35.333333333333336,9.333333333333334,26.0,5.666666666666667,2.6666666666666665,10.0,21.0,77.66666666666667,34.333333333333336,0.44333333333333336,13.333333333333334,4.333333333333333,0.3206666666666667,17.333333333333332,15.333333333333334,0.868,-3.0,30.0,11.0,9.666666666666666,11.333333333333334,91.33333333333333,20.666666666666668,35.666666666666664,8.666666666666666,27.0,4.333333333333333,3.3333333333333335,9.666666666666666,17.666666666666668,71.33333333333333,32.0,0.45,14.333333333333334,4.0,0.25533333333333336,29.333333333333332,23.333333333333332,0.8096666666666666,3.0,24.666666666666668,8.666666666666666,9.0,13.0,87.85048165137616,91.45048165137615,49.265398080534126,50.938562543646604,29.88349388379205,49.51456310679611,1.7,15.13892187128948,5.137614678899083,15.0,9.953051643192488,10.493913530152511,0.4699570815450643,0.5178208535250899
2015,960,4,4,0,98.0,20.75,41.0,9.5,31.5,5.0,2.75,10.25,19.5,79.25,36.5,0.4625,27.75,11.0,0.38175,20.0,14.0,0.732,-2.5,35.5,12.75,8.5,9.5,100.5,23.0,37.75,7.5,30.25,6.0,3.0,8.75,19.75,79.5,38.0,0.479,30.0,12.0,0.38675000000000004,18.75,12.5,0.65325,2.5,37.0,9.25,9.5,16.0,93.08920355587809,92.71420355587809,52.743919782404966,54.08942794011938,23.22542588896952,56.849315068493155,2.024390243902439,17.42965140697186,4.779874213836478,16.153846153846153,10.412698412698413,10.427263479145473,0.5299684542586751,0.5565019875070982
2018,720,3,3,0,104.0,24.0,47.666666666666664,9.333333333333334,38.333333333333336,6.0,6.333333333333333,13.666666666666666,21.0,90.0,38.333333333333336,0.4326666666666667,30.333333333333332,10.0,0.32866666666666666,23.666666666666668,17.333333333333332,0.7120000000000001,-11.0,44.0,11.333333333333334,15.666666666666666,14.666666666666666,115.0,29.666666666666668,48.0,8.666666666666666,39.333333333333336,6.666666666666667,6.666666666666667,11.333333333333334,22.666666666666668,93.33333333333333,44.0,0.4736666666666667,34.333333333333336,13.0,0.38466666666666666,19.666666666666668,14.0,0.7186666666666666,11.0,53.333333333333336,10.333333333333334,19.0,17.333333333333332,109.96533598885975,108.76533598885975,47.54705824274782,52.57607401842308,36.45511199628658,62.60869565217391,1.7560975609756098,17.38122827346466,3.835616438356164,16.31205673758865,9.965156794425088,11.979897148200092,0.4814814814814815,0.5178595140087638
