Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1705,7,4,3,94.14285714285714,19.428571428571427,39.142857142857146,10.714285714285714,28.428571428571427,8.428571428571429,4.142857142857143,18.0,24.428571428571427,75.85714285714286,32.142857142857146,0.424,17.571428571428573,7.0,0.4047142857142857,31.428571428571427,22.857142857142858,0.7114285714285714,-6.428571428571429,36.57142857142857,11.857142857142858,13.857142857142858,18.428571428571427,100.57142857142857,23.857142857142858,39.714285714285715,8.0,31.714285714285715,8.142857142857142,5.857142857142857,17.714285714285715,24.714285714285715,76.42857142857143,37.42857142857143,0.48914285714285716,16.714285714285715,6.285714285714286,0.3642857142857143,25.857142857142858,19.428571428571427,0.7534285714285714,6.428571428571429,35.42857142857143,11.714285714285714,11.714285714285714,21.0,104.59775248281132,102.92632391138274,45.364787921779175,48.462535200201124,14.605800098125094,60.444444444444436,1.0793650793650793,15.284333558102944,5.05050505050505,15.6078431372549,9.927536231884059,16.715309100557178,0.4698681732580038,0.5248486779229053
2011,240,1,1,0,87.0,15.0,45.0,11.0,34.0,9.0,10.0,21.0,39.0,77.0,29.0,0.377,19.0,6.0,0.316,35.0,23.0,0.657,-4.0,30.0,19.0,12.0,25.0,91.0,17.0,49.0,14.0,35.0,12.0,8.0,21.0,28.0,71.0,25.0,0.352,19.0,3.0,0.158,56.0,38.0,0.679,4.0,28.0,17.0,18.0,21.0,110.58121376811594,116.88121376811594,38.24807505236969,40.00660723868555,113.73121376811594,51.724137931034484,0.7142857142857143,11.682242990654204,4.782608695652174,14.166666666666666,9.574468085106384,18.51851851851852,0.4155844155844156,0.47077922077922074
2012,1200,5,3,2,79.4,15.8,39.8,9.4,30.4,7.8,4.2,18.4,24.2,77.6,27.8,0.35819999999999996,17.8,5.2,0.2818,26.6,18.6,0.6994,-14.8,39.2,12.8,13.2,24.0,94.2,20.4,47.8,10.2,37.6,9.0,5.0,18.2,25.4,77.4,34.4,0.4426,22.6,6.8,0.29779999999999995,23.4,18.6,0.8013999999999999,14.8,36.8,10.8,15.8,15.0,102.87181871921182,101.91181871921182,38.77262900160897,45.99976891626656,20.478363743842362,56.83453237410072,0.8586956521739132,12.793107915533101,4.0,14.975369458128082,9.08675799086758,17.08385946668647,0.3917525773195877,0.4445489563737347
2013,1200,5,3,2,97.8,22.2,48.0,12.0,36.0,8.2,6.2,17.6,23.4,77.0,34.6,0.4502,20.6,6.8,0.3412,30.2,21.8,0.7178,9.4,37.6,12.2,17.0,21.4,88.4,21.2,38.8,8.4,30.4,9.4,3.2,16.8,24.4,77.2,31.6,0.4088,20.4,7.4,0.357,27.2,17.8,0.6342,-9.4,38.0,13.2,17.0,17.0,104.00454054054055,103.10454054054054,47.221492891329234,42.682821795434606,20.710908108108107,64.16184971098265,1.2613636363636362,17.06537113338663,5.660377358490566,16.216216216216218,11.059907834101383,16.31321370309951,0.4935064935064935,0.5416002126528442
2014,1465,6,1,5,99.5,24.0,42.666666666666664,10.333333333333334,32.333333333333336,8.0,3.1666666666666665,15.166666666666666,24.833333333333332,84.0,35.166666666666664,0.41933333333333334,25.833333333333332,9.0,0.3441666666666667,27.333333333333332,20.166666666666668,0.7738333333333333,1.6666666666666667,33.0,10.333333333333334,11.166666666666666,18.833333333333332,97.83333333333333,22.0,46.333333333333336,9.833333333333334,36.5,8.833333333333334,4.833333333333333,18.833333333333332,24.0,77.66666666666667,34.0,0.4375,22.166666666666668,7.833333333333333,0.3585,31.333333333333332,22.0,0.6986666666666667,-1.6666666666666667,43.0,13.166666666666666,11.666666666666666,17.333333333333332,106.75427032197263,107.95427032197263,46.34189199068821,45.56564589369175,17.587047697797562,68.24644549763033,1.5824175824175826,17.75235465259628,4.412811387900356,15.33596837944664,9.588014981273407,13.63990646921278,0.4722222222222222,0.5180852540960844
2015,1920,8,5,3,97.5,20.5,41.875,10.625,31.25,7.625,4.625,16.875,23.625,82.5,36.875,0.447625,24.5,8.375,0.33425,19.375,15.375,0.799375,-4.25,38.25,12.75,14.75,17.0,101.75,19.625,42.5,10.5,32.0,8.375,3.75,15.75,18.125,81.125,35.5,0.439,22.75,9.125,0.403625,26.125,21.625,0.8405,4.25,34.75,11.25,9.75,20.5,101.01416695567809,103.0391669556781,47.78162558341509,49.864414390897295,12.75333336945976,55.59322033898305,1.2148148148148148,15.965732087227414,4.9853372434017595,14.970059880239521,9.925925925925926,15.639481000926784,0.49772727272727274,0.5355671518813513
2016,1440,6,3,3,92.83333333333333,19.833333333333332,45.666666666666664,11.833333333333334,33.833333333333336,9.0,3.1666666666666665,17.166666666666668,18.333333333333332,82.5,35.0,0.4243333333333333,18.666666666666668,6.333333333333333,0.33949999999999997,21.833333333333332,16.5,0.7563333333333334,1.8333333333333333,40.0,10.166666666666666,8.333333333333334,21.0,91.0,20.833333333333332,40.166666666666664,7.166666666666667,33.0,8.166666666666666,3.6666666666666665,16.833333333333332,20.333333333333332,78.0,33.833333333333336,0.43333333333333335,25.333333333333332,8.333333333333334,0.30883333333333335,20.166666666666668,15.0,0.7306666666666667,-1.8333333333333333,37.0,9.333333333333334,13.833333333333334,16.333333333333332,101.56231003364866,101.06231003364867,45.81542623127475,44.910633253637364,16.88538500560811,56.666666666666664,1.1553398058252426,15.36197459465042,5.278810408921933,16.504065040650406,10.640776699029127,15.709840766274175,0.4626262626262626,0.5039447017950203
2017,720,3,2,1,110.66666666666667,27.666666666666668,47.333333333333336,9.333333333333334,38.0,6.0,6.333333333333333,14.666666666666666,19.0,83.33333333333333,41.0,0.492,31.666666666666668,13.333333333333334,0.42533333333333334,18.666666666666668,15.333333333333334,0.8056666666666666,16.0,42.666666666666664,16.333333333333332,1.3333333333333333,12.666666666666666,94.66666666666667,22.333333333333332,40.333333333333336,11.0,29.333333333333332,5.333333333333333,2.6666666666666665,14.333333333333334,16.333333333333332,86.66666666666667,35.333333333333336,0.4076666666666666,25.333333333333332,9.333333333333334,0.35800000000000004,19.0,14.666666666666666,0.7783333333333333,-16.0,38.666666666666664,9.333333333333334,6.333333333333333,17.666666666666668,101.20125615763547,101.30125615763546,54.64952775221504,46.74839120972612,33.75041871921182,67.47967479674797,1.8863636363636365,20.665272383228764,4.827586206896552,15.510204081632653,10.798479087452472,13.80868691940748,0.572,0.6044276143314885
2020,960,4,2,2,92.0,20.5,42.5,7.25,35.25,12.5,3.5,20.75,18.5,80.75,31.75,0.3925,38.0,11.0,0.28975,24.25,17.5,0.71575,-1.5,32.5,6.0,5.75,21.25,93.5,20.0,48.75,9.5,39.25,10.75,2.75,22.75,24.0,83.25,36.25,0.43675,33.0,10.0,0.29625,18.5,11.0,0.5895,1.5,43.5,12.75,9.25,20.5,110.34967036102603,108.62467036102602,42.014055024272096,42.69906679097218,27.371792590256504,64.56692913385827,0.9879518072289156,15.451873068515864,3.118279569892473,15.754189944134078,9.315068493150685,18.498707319247572,0.4613003095975232,0.5031721723911616
2021,960,4,2,2,115.5,25.75,47.25,10.5,36.75,9.0,5.75,13.25,19.5,88.5,42.25,0.47825,33.5,12.25,0.36375,22.25,18.75,0.842,14.25,51.5,16.25,16.0,13.25,101.25,20.75,45.0,12.25,32.75,6.0,5.5,17.0,20.25,90.25,38.25,0.424,32.0,10.5,0.32975,19.25,14.25,0.72175,-14.25,48.5,12.25,8.25,18.25,106.71284682080926,105.81284682080926,54.34637008867612,47.64129845435893,26.565711705202315,60.946745562130175,1.9433962264150944,18.75591812950688,4.855491329479769,15.0,10.24390243902439,11.87914649453111,0.5466101694915254,0.5875470546342456
