Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2000,2640,11,6,5,89.0909090909091,20.09090909090909,37.54545454545455,10.545454545454545,27.0,7.7272727272727275,5.181818181818182,15.454545454545455,21.545454545454547,76.9090909090909,34.45454545454545,0.4501818181818182,12.818181818181818,4.363636363636363,0.34254545454545454,21.545454545454547,15.818181818181818,0.7284545454545455,-4.7272727272727275,31.454545454545453,11.818181818181818,12.0,,93.81818181818181,20.454545454545453,40.63636363636363,12.272727272727273,28.363636363636363,7.181818181818182,5.909090909090909,14.636363636363637,20.90909090909091,77.45454545454545,34.81818181818182,0.4491818181818182,13.545454545454545,5.636363636363637,0.4052727272727273,23.0,18.545454545454547,0.8145454545454545,4.7272727272727275,30.0,14.727272727272727,15.181818181818182,,94.51582386363637,94.95218750000001,47.02160984838829,49.51663404442522,8.612182334710745,58.31134564643799,1.2999999999999998,16.476798282237862,5.420560747663552,13.75,9.604651162790697,15.174777734137894,0.4763593380614657,0.515637496316875
2006,720,3,3,0,98.33333333333333,26.333333333333332,39.666666666666664,9.0,30.666666666666668,7.666666666666667,3.3333333333333335,16.333333333333332,21.333333333333332,78.0,36.666666666666664,0.47100000000000003,23.666666666666668,9.0,0.37566666666666665,20.666666666666668,16.0,0.7933333333333333,9.666666666666666,32.666666666666664,8.333333333333334,12.0,15.0,88.66666666666667,19.666666666666668,40.333333333333336,9.333333333333334,31.0,8.666666666666666,4.666666666666667,18.0,20.666666666666668,75.66666666666667,32.333333333333336,0.42733333333333334,17.666666666666668,4.666666666666667,0.26066666666666666,25.0,19.333333333333332,0.7783333333333333,-9.666666666666666,34.666666666666664,5.333333333333333,14.333333333333334,16.0,99.14838888888889,100.44838888888889,49.265992381306525,44.42289482517809,33.26612962962963,71.81818181818181,1.6122448979591837,20.293875873407316,4.5,15.333333333333334,9.916666666666666,15.792187701430965,0.5277777777777778,0.5645284751990202
2007,1200,5,4,1,99.0,20.4,38.8,9.4,29.4,6.2,2.8,12.2,20.4,79.8,35.0,0.4408,25.4,9.0,0.3588,24.6,20.0,0.8211999999999999,-5.4,39.2,14.2,11.0,16.8,104.4,23.2,45.8,13.2,32.6,6.4,4.8,11.6,20.4,84.2,39.2,0.46740000000000004,28.2,9.0,0.301,21.0,17.0,0.8071999999999999,5.4,34.0,12.8,9.2,13.2,97.77587417840377,96.69587417840376,50.907137327916395,53.68389027307548,19.447174835680755,58.285714285714285,1.6721311475409837,16.555216516263062,4.476190476190476,13.802816901408452,9.1725768321513,11.864934256593791,0.4949874686716792,0.5462129237288136
2013,1440,6,4,2,100.66666666666667,18.833333333333332,41.0,9.666666666666666,31.333333333333332,5.5,3.1666666666666665,14.333333333333334,23.666666666666668,73.83333333333333,34.333333333333336,0.4648333333333334,19.833333333333332,6.5,0.31316666666666665,30.833333333333332,25.5,0.8295,2.8333333333333335,43.333333333333336,11.666666666666666,9.833333333333334,14.833333333333334,97.83333333333333,17.833333333333332,36.666666666666664,10.0,26.666666666666668,8.333333333333334,3.5,12.5,25.666666666666668,76.33333333333333,34.333333333333336,0.45083333333333336,23.333333333333332,7.333333333333333,0.31583333333333335,28.666666666666668,21.833333333333332,0.7631666666666667,-2.8333333333333335,40.666666666666664,11.833333333333334,9.5,11.666666666666666,98.79130142053862,98.14130142053861,51.11731892758445,49.67858644121203,16.411050236756434,54.85436893203883,1.313953488372093,15.620680121647776,5.321100917431193,15.161290322580648,10.557939914163091,14.089121887287028,0.5090293453724606,0.5758962623951183
2014,720,3,3,0,112.33333333333333,25.333333333333332,38.333333333333336,6.666666666666667,31.666666666666668,7.333333333333333,6.0,14.0,22.333333333333332,76.66666666666667,38.666666666666664,0.5053333333333333,24.333333333333332,11.333333333333334,0.45999999999999996,32.333333333333336,23.666666666666668,0.73,9.0,41.333333333333336,9.0,20.0,17.0,103.33333333333333,21.333333333333332,41.0,10.0,31.0,7.666666666666667,3.3333333333333335,13.666666666666666,25.333333333333332,86.66666666666667,38.333333333333336,0.4483333333333333,24.666666666666668,9.0,0.371,24.333333333333332,17.666666666666668,0.7383333333333333,-9.0,45.333333333333336,16.333333333333332,10.0,14.666666666666666,106.92910324483776,104.52910324483776,53.12318457539647,48.86702438686322,35.24303441494592,65.51724137931035,1.8095238095238095,19.45326098085389,3.5398230088495577,15.199999999999998,9.663865546218487,13.34689208084403,0.5782608695652173,0.6179404430101216
2015,3650,15,8,7,101.46666666666667,16.6,42.93333333333333,10.933333333333334,32.0,7.933333333333334,4.066666666666666,11.866666666666667,20.333333333333332,80.26666666666667,37.06666666666667,0.46313333333333334,21.066666666666666,6.733333333333333,0.31306666666666666,27.066666666666666,20.6,0.7707333333333334,9.866666666666667,39.333333333333336,11.933333333333334,11.333333333333334,14.4,91.6,16.666666666666668,37.266666666666666,8.0,29.266666666666666,6.533333333333333,4.066666666666666,14.2,22.333333333333332,77.2,33.13333333333333,0.4298666666666667,25.333333333333332,8.666666666666666,0.3374666666666667,22.133333333333333,16.666666666666668,0.7655333333333334,-9.866666666666667,37.6,13.133333333333333,9.266666666666667,14.866666666666667,98.92568258706468,97.44568258706468,51.670805759634355,46.64631216408515,6.45604488243713,44.7841726618705,1.398876404494382,13.759642801883247,5.439469320066335,16.0,10.706566916043226,11.405577199097808,0.5037375415282392,0.5503963432274489
2016,2400,10,6,4,101.3,22.9,39.8,6.8,33.0,7.7,4.6,13.6,21.2,78.5,36.4,0.46559999999999996,25.5,9.9,0.3706,24.4,18.6,0.7665,3.5,39.0,7.7,9.2,16.1,97.8,18.7,39.5,7.5,32.0,7.3,4.8,12.8,19.6,79.7,35.6,0.44699999999999995,24.1,9.4,0.3867,21.3,17.2,0.8188000000000001,-3.5,38.2,10.2,13.5,14.7,100.64341580756013,99.71341580756014,50.559793336418096,48.81291005233652,10.017841580756013,62.91208791208791,1.6838235294117647,18.212763249984096,3.5051546391752577,16.296296296296298,10.03783102143758,13.224940682251352,0.5267515923566879,0.5675960374736653
2017,2185,9,5,4,113.0,23.666666666666668,40.55555555555556,8.222222222222221,32.333333333333336,6.777777777777778,6.222222222222222,13.11111111111111,20.88888888888889,83.22222222222223,41.0,0.4926666666666667,25.666666666666668,10.555555555555555,0.41088888888888886,25.444444444444443,20.444444444444443,0.8114444444444444,9.11111111111111,49.333333333333336,12.11111111111111,12.222222222222221,15.11111111111111,103.88888888888889,21.22222222222222,39.888888888888886,10.11111111111111,29.77777777777778,6.888888888888889,5.333333333333333,13.444444444444445,22.555555555555557,85.44444444444444,38.22222222222222,0.4484444444444444,24.77777777777778,8.88888888888889,0.35411111111111115,22.77777777777778,18.555555555555557,0.8166666666666667,-9.11111111111111,45.55555555555556,12.555555555555555,16.0,15.11111111111111,104.18287360222351,103.38287360222353,54.44058160940102,50.05107552093408,11.39949183731517,57.72357723577236,1.805084745762712,18.039228971171113,4.327485380116959,15.23560209424084,10.082872928176796,12.193105728693062,0.5560747663551402,0.5984042553191489
2018,4560,19,6,13,106.21052631578948,23.63157894736842,43.63157894736842,9.31578947368421,34.31578947368421,7.105263157894737,4.157894736842105,12.789473684210526,22.105263157894736,84.63157894736842,37.8421052631579,0.448578947368421,33.63157894736842,11.0,0.32910526315789473,23.789473684210527,19.526315789473685,0.8210526315789474,6.052631578947368,39.36842105263158,10.210526315789474,15.894736842105264,15.0,100.15789473684211,22.894736842105264,41.578947368421055,8.210526315789474,33.36842105263158,6.7368421052631575,5.052631578947368,14.421052631578947,21.94736842105263,80.78947368421052,34.78947368421053,0.43105263157894735,32.94736842105263,11.31578947368421,0.3390526315789474,24.105263157894736,19.263157894736842,0.8024736842105263,-6.052631578947368,39.68421052631579,12.842105263157896,14.842105263157896,16.05263157894737,103.01685204544856,103.11158888755382,51.52638123834203,48.590041375899354,5.424432656131641,62.447844228094574,1.8477366255144034,17.96804968625944,4.364981504315659,16.138613861386137,10.240889437924645,11.854352449899507,0.5121268656716418,0.5584211458425574
2019,1970,8,3,5,100.375,21.875,44.125,9.125,35.0,6.25,4.375,14.0,21.0,86.75,34.875,0.40225,40.625,12.5,0.3,23.625,18.125,0.7797499999999999,-12.875,40.75,9.25,14.5,12.0,113.25,26.375,48.125,7.75,40.375,7.375,5.5,14.625,22.0,88.75,40.625,0.456125,41.0,15.875,0.38375000000000004,21.875,16.125,0.73,12.875,36.75,10.625,12.0,16.375,108.66633148923445,108.14133148923446,46.2967953351207,52.23523857237778,13.206558150972723,62.72401433691756,1.5625,16.444895504435426,3.686868686868687,16.374269005847953,9.566395663956639,12.596158171757615,0.47406340057636887,0.5166246332801483
2021,1225,5,3,2,107.6,22.8,41.8,8.2,33.6,5.6,4.4,14.2,22.6,81.2,39.8,0.49160000000000004,33.0,12.2,0.368,18.6,15.8,0.8452,6.0,47.2,12.8,17.8,10.6,101.6,19.6,38.6,10.4,28.2,7.2,4.8,12.8,19.6,82.6,35.4,0.43200000000000005,34.2,10.4,0.30860000000000004,25.6,20.4,0.7868,-6.0,38.0,12.4,11.4,20.6,99.06173556443557,101.16173556443556,53.739953359786035,50.74330168544852,19.61372778405268,57.286432160804026,1.6056338028169015,18.040258260539307,4.505494505494505,15.272727272727273,10.398009950248756,13.708680877355576,0.5652709359605911,0.6018974313076165
