Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1680,7,4,3,105.14285714285714,21.571428571428573,37.285714285714285,10.142857142857142,27.142857142857142,9.571428571428571,5.714285714285714,18.571428571428573,25.714285714285715,76.57142857142857,36.57142857142857,0.47928571428571426,15.714285714285714,6.428571428571429,0.4347142857142857,35.57142857142857,25.571428571428573,0.7114285714285714,2.0,39.714285714285715,11.428571428571429,20.571428571428573,24.0,103.14285714285714,23.857142857142858,44.714285714285715,15.428571428571429,29.285714285714285,8.857142857142858,4.428571428571429,20.0,28.571428571428573,82.28571428571429,38.42857142857143,0.4682857142857143,15.142857142857142,4.857142857142857,0.32857142857142857,30.428571428571427,21.428571428571427,0.7114285714285714,-2.0,43.142857142857146,15.285714285714286,22.714285714285715,17.0,108.77706559951088,107.23420845665375,48.67470811524364,47.74883051522542,15.42937671829747,58.984375000000014,1.1615384615384616,16.29683992402003,5.144927536231884,12.751677852348994,9.094076655052264,16.762081592655633,0.519589552238806,0.5700477105149018
2011,240,1,1,0,73.0,11.0,48.0,17.0,31.0,10.0,4.0,20.0,30.0,74.0,24.0,0.324,17.0,1.0,0.059,36.0,24.0,0.667,-8.0,34.0,15.0,7.0,16.0,81.0,16.0,38.0,11.0,27.0,9.0,9.0,21.0,30.0,69.0,27.0,0.391,7.0,2.0,0.286,34.0,25.0,0.735,8.0,24.0,9.0,9.0,21.0,100.77977272727273,100.17977272727273,36.32571910674016,40.30661983076648,100.47977272727272,45.83333333333333,0.55,9.102946044356173,7.7272727272727275,14.761904761904763,11.162790697674419,18.20830298616169,0.3310810810810811,0.40627782724844164
2012,1440,6,0,6,100.83333333333333,20.5,45.0,12.333333333333334,32.666666666666664,7.833333333333333,5.666666666666667,17.666666666666668,24.0,80.5,36.166666666666664,0.4483333333333333,18.833333333333332,7.166666666666667,0.37116666666666664,28.666666666666668,21.333333333333332,0.7466666666666667,5.166666666666667,38.666666666666664,14.833333333333334,13.166666666666666,18.666666666666668,95.66666666666667,23.666666666666668,39.5,10.333333333333334,29.166666666666668,7.333333333333333,5.5,18.0,27.0,80.5,33.833333333333336,0.41983333333333334,24.666666666666668,7.0,0.2803333333333333,28.166666666666668,21.0,0.7655,-5.166666666666667,38.666666666666664,11.5,9.166666666666666,17.833333333333332,105.45143644344822,105.30143644344821,47.84434582177534,45.392817358180245,17.562739407241367,56.68202764976959,1.160377358490566,15.615478366849482,5.943775100401607,15.193798449612403,10.650887573964496,15.94752362038876,0.4937888198757764,0.5414548578792869
2013,1490,6,1,5,101.66666666666667,19.333333333333332,44.5,13.333333333333334,31.166666666666668,7.833333333333333,5.166666666666667,18.833333333333332,27.833333333333332,83.0,37.166666666666664,0.45316666666666666,22.166666666666668,7.166666666666667,0.323,27.166666666666668,20.166666666666668,0.751,2.1666666666666665,39.333333333333336,15.333333333333334,11.166666666666666,21.5,99.5,19.0,39.0,10.333333333333334,28.666666666666668,8.833333333333334,4.0,17.666666666666668,26.666666666666668,78.0,32.833333333333336,0.4231666666666667,23.5,6.5,0.2713333333333333,35.0,27.333333333333332,0.7908333333333334,-2.1666666666666665,43.333333333333336,17.5,13.0,20.333333333333332,105.73216134378785,108.08216134378785,47.54904413733847,46.53570385244437,17.21994545134838,52.01793721973094,1.0265486725663717,14.523237179487179,6.34920634920635,15.020080321285143,10.658682634730539,16.551441293648935,0.49096385542168675,0.5353506985887805
2014,1920,8,1,7,94.75,20.25,41.75,10.375,31.375,8.5,5.0,18.5,25.375,76.5,34.0,0.447,19.875,5.375,0.26975,30.25,21.375,0.699125,0.25,38.25,11.25,13.125,20.125,94.5,18.625,39.0,8.875,30.125,9.625,3.0,18.625,25.0,75.625,33.375,0.442625,22.0,7.5,0.337375,28.5,20.25,0.709875,-0.25,36.5,13.625,11.25,20.125,104.84121338470976,104.31621338470976,45.30080593526082,45.1812787428195,13.072339173088722,59.55882352941176,1.0945945945945945,15.751400124455508,5.1234567901234565,15.590062111801242,10.340557275541796,17.080601975810175,0.4795751633986928,0.5275025052889433
2015,1440,6,2,4,96.33333333333333,19.0,41.666666666666664,9.666666666666666,32.0,6.666666666666667,5.666666666666667,16.333333333333332,24.0,75.0,33.333333333333336,0.4495,21.166666666666668,7.333333333333333,0.33616666666666667,28.833333333333332,22.333333333333332,0.7786666666666666,6.5,37.666666666666664,13.5,10.833333333333334,18.0,89.83333333333333,18.666666666666668,39.0,9.666666666666666,29.333333333333332,8.333333333333334,3.6666666666666665,17.166666666666668,24.5,76.83333333333333,32.5,0.42366666666666664,20.0,6.833333333333333,0.345,24.666666666666668,18.0,0.7308333333333333,-6.5,39.0,8.5,11.0,17.666666666666668,101.18872843304842,99.93872843304842,47.89665957814425,44.664878049515146,16.760621405508072,56.99999999999999,1.1632653061224492,15.444643147455698,4.957264957264957,15.36,10.330578512396695,15.702108568864961,0.49333333333333335,0.5493043412149319
2016,1680,7,3,4,104.85714285714286,22.285714285714285,42.857142857142854,10.0,32.857142857142854,8.428571428571429,4.857142857142857,17.714285714285715,23.142857142857142,80.28571428571429,39.285714285714285,0.4908571428571428,23.285714285714285,8.571428571428571,0.3694285714285714,24.142857142857142,17.714285714285715,0.732,3.7142857142857144,43.42857142857143,14.285714285714286,18.142857142857142,14.428571428571429,101.14285714285714,20.428571428571427,39.142857142857146,10.142857142857142,29.0,10.714285714285714,5.0,16.142857142857142,21.0,79.57142857142857,35.285714285714285,0.4452857142857143,24.428571428571427,9.142857142857142,0.368,28.571428571428573,21.428571428571427,0.7591428571428571,-3.7142857142857144,35.42857142857143,11.714285714285714,10.142857142857142,24.142857142857142,103.6298175799837,104.95838900855512,50.269928761592986,48.48925008611421,14.899157613467057,56.72727272727273,1.258064516129032,17.023877078877295,5.128205128205129,15.28239202657807,10.452961672473865,16.308064600978483,0.5427046263345195,0.5767175812433214
2017,1200,5,2,3,109.0,24.6,43.8,7.6,36.2,9.2,5.6,21.0,25.8,79.0,38.0,0.4824,32.2,11.6,0.3706,27.2,21.4,0.7876000000000001,5.6,39.6,9.2,3.6,24.4,103.4,21.6,38.4,7.4,31.0,10.4,3.6,19.2,23.8,82.6,36.2,0.4368,34.4,10.2,0.28959999999999997,27.0,20.8,0.7614,-5.6,45.6,12.8,5.6,17.4,111.56794400342255,111.50794400342255,48.86229568506988,46.35193920950666,22.307588800684513,64.73684210526316,1.1714285714285715,18.013004510573484,3.937823834196891,16.605504587155963,10.656934306569344,18.75535867390683,0.5544303797468354,0.599111775569431
2020,480,2,1,1,114.5,26.5,44.0,5.5,38.5,10.0,2.5,25.0,28.5,78.5,39.5,0.505,40.5,17.0,0.4275,25.0,18.5,0.74,7.5,39.0,10.5,8.5,33.0,107.0,30.0,37.5,8.0,29.5,9.5,4.0,20.5,26.5,86.5,36.0,0.4185,47.5,16.5,0.34450000000000003,25.5,18.5,0.728,-7.5,32.0,12.5,13.5,28.5,115.12304224270353,115.27304224270353,49.697025127721844,46.44176147306757,57.59902112135177,67.08860759493672,1.06,18.79432624113475,3.142857142857143,16.559139784946236,10.797546012269938,21.83406113537118,0.6114649681528662,0.6396648044692738
2021,1200,5,2,3,115.2,27.8,47.6,10.4,37.2,10.8,6.8,21.2,23.4,88.8,42.6,0.47940000000000005,39.2,16.8,0.43079999999999996,17.8,13.2,0.7328,8.0,45.2,13.0,15.2,25.4,107.2,22.8,44.0,12.8,31.2,10.8,7.0,19.0,17.2,91.4,39.2,0.4306,36.4,11.8,0.3218,23.0,17.0,0.7405999999999999,-8.0,46.0,16.4,16.6,21.2,110.571438,112.131438,51.72811508729686,48.135884872901244,22.2702876,65.25821596244131,1.3113207547169812,19.089211162381893,5.0,14.88,10.393013100436681,17.991717020843232,0.5743243243243243,0.5960758340922262
