Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,2880,12,5,7,104.0,24.666666666666668,44.333333333333336,13.666666666666666,30.666666666666668,7.916666666666667,4.166666666666667,14.25,22.166666666666668,78.83333333333333,37.0,0.4698333333333333,21.166666666666668,7.583333333333333,0.35358333333333336,28.583333333333332,22.416666666666668,0.7851666666666667,6.583333333333333,40.5,15.5,11.833333333333334,0.0,97.41666666666667,21.916666666666668,37.666666666666664,11.833333333333334,25.833333333333332,8.083333333333334,4.083333333333333,12.416666666666666,23.5,80.0,35.25,0.4419166666666667,19.583333333333332,7.166666666666667,0.35450000000000004,25.583333333333332,19.75,0.76175,-6.583333333333333,40.5,14.166666666666666,11.75,0.0,97.94875876975263,97.04875876975262,53.334012305531154,49.95790094965218,8.124896564146052,66.66666666666667,1.7309941520467838,18.92679932477365,6.919831223628692,14.431372549019608,10.8130081300813,13.486655309483249,0.5174418604651163,0.5688655508150093
1997,720,3,2,1,87.66666666666667,17.0,43.0,12.0,31.0,7.333333333333333,6.0,14.0,27.0,73.33333333333333,29.333333333333332,0.40066666666666667,18.666666666666668,5.333333333333333,0.25666666666666665,32.666666666666664,23.666666666666668,0.6793333333333332,-5.333333333333333,31.333333333333332,14.666666666666666,12.0,,93.0,22.666666666666668,41.666666666666664,10.0,31.666666666666668,8.333333333333334,7.0,12.333333333333334,25.0,74.66666666666667,34.333333333333336,0.4603333333333333,9.0,3.0,0.3333333333333333,33.0,21.333333333333332,0.648,5.333333333333333,34.0,10.0,13.0,,98.56798423633091,98.66798423633091,44.44760625839796,47.151643141038136,32.872661412110304,57.95454545454546,1.2142857142857142,14.321015388071437,5.49618320610687,15.121951219512194,10.157480314960631,13.765076035658103,0.4363636363636364,0.49977196716327155
1998,720,3,2,1,94.66666666666667,20.333333333333332,43.333333333333336,12.333333333333334,31.0,6.0,7.0,13.333333333333334,22.333333333333332,79.66666666666667,33.333333333333336,0.4186666666666667,20.333333333333332,6.333333333333333,0.30433333333333334,31.666666666666668,21.666666666666668,0.6826666666666666,-5.333333333333333,44.0,12.666666666666666,9.333333333333334,0.0,100.0,22.666666666666668,48.333333333333336,13.333333333333334,35.0,7.0,5.666666666666667,12.0,24.666666666666668,85.66666666666667,37.0,0.43333333333333335,21.0,8.0,0.4186666666666667,25.333333333333332,18.0,0.691,5.333333333333333,36.0,17.666666666666668,12.666666666666666,0.0,102.14382496734797,100.24382496734796,46.774922628536174,49.4101295371861,33.73127498911599,60.999999999999986,1.525,15.976951283394447,5.211267605633803,13.984962406015038,9.454545454545455,12.468827930174564,0.45815899581589953,0.5056980056980057
2003,985,4,3,1,86.25,19.0,39.75,10.25,29.5,7.25,3.5,13.0,22.0,76.0,32.5,0.4275,12.25,4.0,0.32575,27.5,17.25,0.637,-10.0,39.5,8.75,13.25,13.5,96.25,24.5,43.25,8.0,35.25,7.0,3.75,12.75,23.0,77.5,36.0,0.46475,16.75,5.5,0.33875,25.0,18.75,0.757,10.0,34.0,9.5,8.75,16.0,98.59576062271063,97.84576062271063,43.90619633424894,48.9967698222778,23.931961979137615,58.46153846153847,1.4615384615384615,15.82014987510408,4.5054945054945055,15.733333333333333,9.578313253012048,12.858555885262117,0.45394736842105265,0.4895005675368899
2004,1680,7,4,3,96.14285714285714,17.142857142857142,35.714285714285715,10.285714285714286,25.428571428571427,8.428571428571429,4.714285714285714,13.142857142857142,24.857142857142858,75.14285714285714,33.714285714285715,0.4531428571428572,18.285714285714285,6.714285714285714,0.37385714285714283,26.571428571428573,22.0,0.8358571428571429,-5.571428571428571,35.142857142857146,12.0,12.714285714285714,16.714285714285715,101.71428571428571,18.0,43.285714285714285,13.857142857142858,29.428571428571427,5.857142857142857,6.0,14.428571428571429,22.714285714285715,76.42857142857143,35.57142857142857,0.46314285714285713,16.857142857142858,8.0,0.4707142857142857,29.428571428571427,22.571428571428573,0.7672857142857143,5.571428571428571,31.428571428571427,16.714285714285715,10.428571428571429,16.0,95.49235231243577,96.34949516957863,50.11568560497247,53.019863522645466,13.702989105858173,50.847457627118644,1.3043478260869565,14.637002341920375,5.179856115107914,12.945454545454545,9.041591320072333,13.145861911294011,0.49334600760456276,0.5535996314819689
2006,1440,6,3,3,92.66666666666667,20.333333333333332,42.166666666666664,11.333333333333334,30.833333333333332,8.666666666666666,4.833333333333333,12.0,18.666666666666668,76.83333333333333,32.333333333333336,0.4223333333333334,19.833333333333332,6.0,0.286,27.666666666666668,22.0,0.7863333333333333,7.333333333333333,30.666666666666668,11.333333333333334,7.5,13.833333333333334,85.33333333333333,21.0,42.0,10.666666666666666,31.333333333333332,5.666666666666667,4.333333333333333,14.0,23.333333333333332,78.0,33.166666666666664,0.42300000000000004,14.666666666666666,4.5,0.3056666666666667,20.333333333333332,14.5,0.7078333333333333,-7.333333333333333,37.0,12.833333333333334,6.666666666666667,10.833333333333334,96.02776601196453,93.82776601196451,48.809042158954384,44.9464560888213,15.82129433532742,62.88659793814432,1.6944444444444444,16.757321026317236,5.3125,14.859437751004016,10.019801980198022,11.880403933733747,0.45986984815618226,0.5205602576586024
2007,1200,5,3,2,94.0,17.8,44.6,12.0,32.6,6.0,6.4,10.4,21.6,77.2,34.6,0.4476,18.0,5.6,0.294,26.8,19.2,0.7248,8.8,36.8,13.0,8.2,12.2,85.2,15.6,41.6,12.8,28.8,6.4,5.8,11.8,21.8,77.6,31.2,0.4016,17.4,5.6,0.3176,25.4,17.2,0.6759999999999999,-8.8,36.4,15.6,8.0,15.0,93.47792770147707,93.05792770147707,50.39245661213042,45.67486492929268,18.653585540295413,51.445086705202314,1.7115384615384615,15.188750085330057,5.882352941176471,14.36123348017621,10.348027842227378,10.463618802318093,0.48445595854922274,0.5281373606616325
2008,3120,13,6,7,88.92307692307692,15.538461538461538,38.76923076923077,9.076923076923077,29.692307692307693,6.384615384615385,5.0,14.0,22.53846153846154,75.61538461538461,32.92307692307692,0.43946153846153846,19.76923076923077,6.6923076923076925,0.3448461538461538,20.923076923076923,16.384615384615383,0.7908461538461539,-6.538461538461538,37.69230769230769,15.153846153846153,9.0,6.6923076923076925,95.46153846153847,17.384615384615383,42.23076923076923,11.615384615384615,30.615384615384617,7.538461538461538,5.230769230769231,11.846153846153847,18.923076923076923,78.92307692307692,36.38461538461539,0.4622307692307693,16.46153846153846,5.769230769230769,0.35038461538461535,23.153846153846153,16.923076923076923,0.7286923076923078,6.538461538461538,36.76923076923077,12.692307692307692,6.230769230769231,7.846153846153846,93.86204189611004,94.53127266534081,47.20076035079879,50.67140449423988,7.2458967139019546,47.196261682243,1.10989010989011,13.587322086797428,4.573643410852713,14.376163873370578,9.572649572649572,14.16695208145219,0.47965412004069174,0.5241774585555192
2012,1440,6,4,2,101.66666666666667,16.833333333333332,44.0,11.0,33.0,6.5,4.166666666666667,14.833333333333334,24.166666666666668,82.66666666666667,34.833333333333336,0.42566666666666664,30.666666666666668,10.666666666666666,0.3566666666666667,26.166666666666668,21.333333333333332,0.8328333333333333,-2.5,40.0,12.666666666666666,17.0,15.833333333333334,104.16666666666667,21.333333333333332,42.0,9.5,32.5,7.166666666666667,8.666666666666666,13.833333333333334,23.666666666666668,81.0,36.666666666666664,0.4526666666666667,31.333333333333332,11.166666666666666,0.36316666666666664,26.666666666666668,19.666666666666668,0.7416666666666667,2.5,37.0,16.0,12.166666666666666,18.166666666666668,103.01034302456615,103.16034302456615,49.311892303854776,50.524479819523336,17.18089050409436,48.32535885167463,1.1348314606741572,13.376066112200032,5.057471264367816,15.529411764705882,10.232558139534884,13.606898238747554,0.48588709677419356,0.5397465845543994
2013,745,3,2,1,112.0,21.333333333333332,44.666666666666664,13.0,31.666666666666668,8.0,6.666666666666667,13.0,24.0,90.66666666666667,42.333333333333336,0.467,23.0,7.333333333333333,0.30033333333333334,26.0,20.0,0.7703333333333333,2.0,50.666666666666664,17.333333333333332,12.333333333333334,20.0,110.0,17.666666666666668,42.0,11.333333333333334,30.666666666666668,6.0,9.666666666666666,13.666666666666666,25.333333333333332,83.66666666666667,39.0,0.46599999999999997,25.333333333333332,9.333333333333334,0.367,29.333333333333332,22.666666666666668,0.7796666666666666,-2.0,44.666666666666664,14.666666666666666,9.0,13.0,105.57003797068862,106.57003797068862,52.795304943206524,51.85253164064926,34.170213574450024,50.39370078740157,1.641025641025641,15.635688458907454,5.954198473282442,14.728682170542637,10.307692307692308,11.293872350283795,0.5073529411764706,0.5484460694698354
