Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1200,5,1,4,96.0,20.0,42.4,9.4,33.0,8.0,4.4,16.0,20.8,78.2,35.4,0.4488,14.4,5.0,0.3464,25.4,20.2,0.8098000000000001,5.6,34.0,13.8,9.6,16.8,90.4,17.8,40.8,10.2,30.6,8.0,4.2,15.8,21.6,82.0,34.2,0.41879999999999995,18.8,6.0,0.30579999999999996,20.8,16.0,0.7798,-5.6,39.6,9.4,15.2,13.8,101.64090055555555,100.26090055555555,47.54786706789656,44.77424148893593,20.19018011111111,56.49717514124294,1.25,15.952016334864727,4.7,15.277777777777779,10.192307692307693,15.183723048891588,0.48465473145780047,0.5370569280343717
2011,480,2,1,1,99.0,24.5,46.0,10.5,35.5,7.5,3.0,20.5,29.0,75.0,37.0,0.4955,17.0,5.0,0.325,29.0,20.0,0.6930000000000001,8.0,46.0,19.0,17.5,23.0,91.0,18.0,36.5,11.0,25.5,9.0,3.0,15.0,25.5,79.5,31.5,0.398,19.5,4.0,0.21050000000000002,33.5,24.0,0.7495,-8.0,40.0,8.0,14.5,23.0,104.39557795698926,105.74557795698925,47.111190366025085,43.30422548796245,52.53528897849463,66.21621621621621,1.1951219512195121,18.454353721000302,5.833333333333333,15.268817204301076,11.151515151515152,18.93589506743026,0.5266666666666666,0.5640382862351868
2012,1680,7,2,5,103.28571428571429,24.571428571428573,46.285714285714285,13.0,33.285714285714285,9.0,5.142857142857143,17.142857142857142,20.571428571428573,84.28571428571429,38.857142857142854,0.4625714285714286,22.142857142857142,8.0,0.3678571428571429,25.857142857142858,17.571428571428573,0.6745714285714285,2.2857142857142856,47.142857142857146,14.571428571428571,18.428571428571427,18.428571428571427,101.0,24.142857142857142,42.57142857142857,12.142857142857142,30.428571428571427,8.857142857142858,4.428571428571429,16.857142857142858,21.428571428571427,87.71428571428571,38.57142857142857,0.44057142857142856,25.857142857142858,9.285714285714286,0.3608571428571428,21.142857142857142,14.571428571428571,0.696,-2.2857142857142856,44.285714285714285,18.142857142857142,12.571428571428571,20.142857142857142,106.0542636957961,104.63997798151038,49.02161229631698,47.93676333816889,15.049588691236176,63.235294117647065,1.4333333333333336,17.886111226654464,5.9868421052631575,14.654088050314465,10.418006430868168,15.19679854110734,0.5084745762711864,0.5398423033271609
2013,1200,5,1,4,102.0,22.6,43.0,10.4,32.6,9.0,5.8,19.4,25.0,81.2,36.0,0.4486,24.2,9.6,0.3844,27.6,20.4,0.7538,-4.8,48.4,15.4,14.8,18.4,106.8,22.4,41.2,9.2,32.0,9.4,7.0,16.0,25.0,83.4,38.4,0.462,23.6,8.8,0.38160000000000005,28.0,21.2,0.7684,4.8,39.2,12.2,12.8,24.0,108.36976220998466,108.48976220998466,47.035056575364976,49.24847100244097,21.685952441996932,62.77777777777778,1.1649484536082475,16.698191275564486,4.90566037735849,15.598086124401913,10.21377672209026,17.207124104165185,0.5024630541871921,0.5463661295851903
2014,960,4,0,4,94.25,21.25,41.75,10.75,31.0,10.0,5.75,20.0,31.0,80.25,32.75,0.40925,25.0,7.25,0.295,31.25,21.5,0.6915,-5.75,41.5,13.25,14.25,22.5,100.0,18.0,46.25,13.5,32.75,8.5,7.0,21.75,26.25,76.0,31.5,0.41400000000000003,24.5,8.75,0.34375,39.0,28.25,0.72125,5.75,34.5,16.25,13.25,22.75,109.12239942528734,111.44739942528736,42.73023799774592,45.337122544027494,27.57122485632184,64.8854961832061,1.0625,15.711645101663587,4.942528735632184,13.932584269662922,9.488636363636363,17.54385964912281,0.4532710280373832,0.5013297872340425
2015,1705,7,4,3,99.71428571428571,20.142857142857142,46.857142857142854,13.0,33.857142857142854,10.285714285714286,3.857142857142857,17.857142857142858,25.571428571428573,87.28571428571429,35.857142857142854,0.41171428571428575,28.142857142857142,7.857142857142857,0.2822857142857143,29.571428571428573,20.142857142857142,0.6957142857142857,-12.285714285714286,44.285714285714285,17.428571428571427,13.428571428571429,20.714285714285715,112.0,23.571428571428573,48.285714285714285,11.142857142857142,37.142857142857146,9.571428571428571,5.857142857142857,17.857142857142858,25.857142857142858,87.57142857142857,40.0,0.4602857142857143,30.571428571428573,10.285714285714286,0.3392857142857143,30.714285714285715,21.714285714285715,0.7098571428571429,12.285714285714286,46.857142857142854,10.857142857142858,22.714285714285715,17.142857142857142,112.97887074829933,113.32172789115647,44.06275825772402,49.49169408890492,15.927314860254954,56.17529880478088,1.128,14.564911990744566,5.185185185185185,15.047619047619047,9.84984984984985,15.113411036417276,0.45581014729950897,0.49709434822242476
2016,1490,6,2,4,115.83333333333333,27.666666666666668,49.166666666666664,9.666666666666666,39.5,7.5,6.0,16.5,22.666666666666668,88.5,41.333333333333336,0.467,32.0,10.5,0.3283333333333333,27.666666666666668,22.666666666666668,0.8304999999999999,7.166666666666667,45.0,11.0,16.666666666666668,23.5,108.66666666666667,21.833333333333332,45.5,12.333333333333334,33.166666666666664,8.666666666666666,4.333333333333333,14.666666666666666,22.0,93.16666666666667,39.0,0.419,34.666666666666664,10.333333333333334,0.28833333333333333,27.333333333333332,20.333333333333332,0.7476666666666666,-7.166666666666667,45.0,15.5,15.333333333333334,16.833333333333332,113.32643195249,113.22643195248997,51.128611369890145,47.96525843621349,18.24586823395812,66.93548387096774,1.676767676767677,19.101537328546442,4.5136186770428015,15.241157556270096,10.387323943661972,14.081702321347292,0.5263653483992468,0.5752930269518575
2017,1200,5,1,4,102.0,23.2,40.4,6.2,34.2,8.6,4.0,22.0,22.2,78.4,36.0,0.4588,40.4,15.8,0.38079999999999997,18.4,14.2,0.75,-2.4,38.8,9.8,10.8,13.8,104.4,24.4,43.2,9.2,34.0,10.4,3.6,17.4,19.2,84.2,37.8,0.4452,37.0,12.4,0.32839999999999997,21.8,16.4,0.7516,2.4,38.8,10.4,9.2,25.8,105.99924222206938,107.01924222206938,47.88316857392163,49.00983136389626,21.301848444413878,64.44444444444444,1.0545454545454545,17.616328514153807,3.084577114427861,15.760368663594468,9.665071770334928,20.277245244064297,0.5599489795918366,0.5896226415094339
2020,960,4,1,3,105.0,20.0,44.5,9.75,34.75,10.0,5.75,14.5,22.25,89.5,36.25,0.40425,40.75,13.25,0.313,25.5,19.25,0.7537499999999999,-7.0,41.0,12.0,10.0,13.75,112.0,23.75,51.5,11.25,40.25,8.0,5.25,16.75,20.5,89.5,39.75,0.4435,40.5,14.25,0.35050000000000003,25.0,18.25,0.75225,7.0,37.5,18.0,8.0,21.75,111.0102847826087,110.8602847826087,47.32488865276741,50.47988122961858,27.733821195652176,55.172413793103445,1.3793103448275863,14.790711433219938,3.9,15.108695652173912,9.270833333333334,12.584620725568477,0.4790502793296089,0.5212470214455918
2021,720,3,2,1,112.66666666666667,22.666666666666668,46.666666666666664,11.0,35.666666666666664,12.333333333333334,3.3333333333333335,19.333333333333332,28.666666666666668,88.0,40.333333333333336,0.459,39.0,13.666666666666666,0.3496666666666666,28.666666666666668,18.333333333333332,0.6389999999999999,4.666666666666667,48.0,16.666666666666668,11.333333333333334,21.333333333333332,108.0,23.333333333333332,46.0,11.0,35.0,8.666666666666666,5.666666666666667,22.333333333333332,25.0,84.0,38.0,0.45199999999999996,37.333333333333336,11.333333333333334,0.3033333333333333,29.0,20.666666666666668,0.703,-4.666666666666667,44.0,17.0,17.0,15.0,115.26751345755693,115.36751345755692,48.85063130854538,46.82723237860563,38.43917115251897,56.19834710743802,1.1724137931034484,15.893792071802544,4.782608695652174,15.285714285714286,10.071942446043165,16.11827478879502,0.5359848484848485,0.5598992843890803
2022,960,4,1,3,120.5,27.75,48.5,14.5,34.0,10.0,4.5,15.5,21.5,93.25,42.75,0.45725000000000005,39.5,15.0,0.38225,27.25,20.0,0.7245,13.5,45.5,18.75,17.25,21.0,107.0,21.5,46.0,13.75,32.25,8.5,6.75,20.5,23.75,88.5,38.0,0.43074999999999997,39.5,12.75,0.318,26.5,18.25,0.71225,-13.5,48.5,16.75,15.25,22.25,111.84033226474787,111.61533226474788,53.92568599848325,47.88421910238762,27.93195806618697,64.91228070175438,1.7903225806451613,18.688127146609197,6.2032085561497325,14.24083769633508,10.264550264550264,12.83750207056485,0.5388739946380697,0.572500950209046
