Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,1225,5,3,2,100.2,23.2,42.4,11.4,31.0,8.2,4.8,16.6,22.6,81.8,32.8,0.4002,29.8,11.6,0.3798,29.2,23.0,0.7708,-12.6,33.2,11.4,13.2,,112.8,25.0,44.6,12.6,32.0,9.8,5.2,13.4,23.8,87.6,41.0,0.4686,25.6,9.4,0.3786,27.0,21.4,0.7976,12.6,43.6,16.8,10.0,,105.80920198283516,105.14920198283515,47.49751520508553,53.47025663806035,20.66531304153505,70.73170731707317,1.397590361445783,17.255741996905865,5.253456221198157,14.220183486238533,9.74712643678161,14.92161656838775,0.471882640586797,0.5293297269884203
1997,960,4,3,1,100.75,22.5,43.25,11.5,31.75,7.25,6.5,11.25,22.0,81.0,38.5,0.47425,13.5,5.75,0.43100000000000005,27.0,18.0,0.65075,8.0,38.0,11.0,12.0,,92.75,17.25,41.5,10.75,30.75,7.5,4.75,13.5,22.75,78.75,35.25,0.454,14.75,4.0,0.26075000000000004,27.25,18.25,0.673,-8.0,46.5,11.75,12.0,,99.32452114514446,99.39952114514446,50.69844536114459,46.672762354800604,24.840505286286117,58.44155844155844,2.0,17.768301350390903,5.443786982248521,14.941176470588236,10.206489675516224,10.8038029386344,0.5108024691358025,0.5423664944013782
1998,720,3,3,0,95.66666666666667,21.0,35.333333333333336,9.666666666666666,25.666666666666668,10.0,3.0,15.666666666666666,26.666666666666668,74.33333333333333,33.666666666666664,0.4586666666666667,16.0,5.666666666666667,0.357,29.333333333333332,22.666666666666668,0.7846666666666667,-3.6666666666666665,36.666666666666664,8.333333333333334,12.0,0.0,99.33333333333333,25.0,38.0,8.333333333333334,29.666666666666668,9.333333333333334,5.0,15.333333333333334,24.666666666666668,72.66666666666667,36.0,0.49866666666666665,12.666666666666666,5.333333333333333,0.41500000000000004,30.333333333333332,22.0,0.7176666666666667,3.6666666666666665,40.0,7.666666666666667,13.0,0.0,99.77834939625569,100.07834939625567,47.86763077978516,49.70227864939364,33.30944979875189,62.37623762376238,1.3404255319148937,16.94824061121274,4.915254237288136,15.098039215686274,9.636363636363635,15.224151334542626,0.4910313901345292,0.5482958887360538
2000,960,4,3,1,92.25,19.0,46.5,14.25,32.25,9.5,6.75,19.5,22.25,86.0,32.25,0.3765,15.75,5.0,0.3225,29.0,22.75,0.7565,-2.0,36.5,15.0,12.25,0.0,94.25,20.0,49.0,15.25,33.75,7.75,4.25,19.5,22.5,88.75,36.0,0.4065,15.5,4.75,0.315,23.75,17.5,0.735,2.0,31.0,15.0,15.5,0.0,108.72748170230264,107.15248170230262,42.73208061792366,43.65852139012796,26.98499542557566,58.91472868217055,0.9743589743589743,13.84234299868862,5.9375,13.578947368421053,9.738219895287958,16.489091831557584,0.40406976744186046,0.46704131227217494
2002,960,4,4,0,86.0,20.25,47.25,13.0,34.25,9.0,6.0,16.75,25.0,80.25,31.5,0.39325,17.0,5.5,0.3295,26.75,17.5,0.66575,-1.25,34.0,10.75,9.25,14.25,87.25,19.0,47.0,14.25,32.75,8.75,6.75,15.0,23.5,82.75,31.5,0.382,17.0,4.5,0.24325,26.75,19.75,0.74225,1.25,34.5,15.75,10.75,15.0,100.83290994169343,100.83290994169343,42.644807161535574,43.26464447492999,25.208227485423357,64.28571428571429,1.208955223880597,15.695241047899552,5.683060109289618,14.123711340206185,10.026525198938993,15.399466764732923,0.42679127725856697,0.4672897196261682
2004,3385,14,5,9,109.42857142857143,20.357142857142858,44.714285714285715,14.428571428571429,30.285714285714285,7.142857142857143,5.857142857142857,12.357142857142858,19.857142857142858,87.85714285714286,40.857142857142854,0.46742857142857147,19.571428571428573,7.285714285714286,0.3613571428571429,26.285714285714285,20.428571428571427,0.7742857142857142,0.14285714285714285,48.57142857142857,14.857142857142858,16.214285714285715,16.357142857142858,109.28571428571429,19.785714285714285,42.07142857142857,12.0,30.071428571428573,6.214285714285714,5.571428571428571,13.0,21.714285714285715,86.42857142857143,42.5,0.49557142857142855,19.642857142857142,8.5,0.4302142857142857,21.928571428571427,15.785714285714286,0.7241428571428571,-0.14285714285714285,49.142857142857146,15.357142857142858,14.642857142857142,12.928571428571429,102.72762087328098,101.42047801613813,53.602542479636604,53.53256527013316,7.2371556474831005,49.82517482517483,1.6473988439306357,15.406071613907628,6.484751203852327,14.324324324324326,10.304526748971194,11.05487820463666,0.5065040650406504,0.5503189838496465
2006,1920,8,5,3,106.625,20.75,41.875,12.125,29.75,6.625,5.5,12.625,21.5,84.75,39.0,0.45825,20.625,7.5,0.365375,26.625,21.125,0.799625,4.625,42.75,13.125,17.125,17.625,102.0,20.25,42.125,10.875,31.25,6.25,5.5,15.5,22.875,81.625,38.0,0.465125,19.75,7.375,0.376625,25.875,18.625,0.7166250000000001,-4.625,41.5,13.0,9.25,14.625,102.84766472511637,102.62266472511638,51.893137216108755,49.6422039488215,12.841895590639547,53.205128205128204,1.6435643564356435,15.981207640172519,5.590778097982709,14.646153846153846,9.970238095238095,11.57301310844257,0.504424778761062,0.552661587104131
2007,1250,5,4,1,99.8,17.4,41.6,8.8,32.8,4.8,6.0,14.2,25.2,81.2,38.0,0.4666,14.8,4.8,0.3296,27.8,19.0,0.708,-3.2,48.0,13.0,13.6,12.6,103.0,17.2,43.6,10.6,33.0,6.4,6.0,11.2,25.0,86.4,39.8,0.46020000000000005,12.0,4.6,0.3666,26.8,18.8,0.6998,3.2,43.6,12.4,6.2,14.6,105.00517754062577,104.70517754062577,47.589447817840394,49.115361976328266,20.132194087800144,45.78947368421053,1.2253521126760563,13.916437392027639,4.2105263157894735,15.11520737327189,9.765258215962442,13.193102423071204,0.49753694581280783,0.5340782601250107
2009,3120,13,4,9,107.76923076923077,21.23076923076923,42.84615384615385,12.538461538461538,30.307692307692307,5.923076923076923,4.076923076923077,11.307692307692308,21.307692307692307,82.15384615384616,38.30769230769231,0.46638461538461534,21.923076923076923,8.307692307692308,0.3850769230769231,28.76923076923077,22.846153846153847,0.7949999999999999,4.923076923076923,40.46153846153846,14.076923076923077,11.076923076923077,13.23076923076923,102.84615384615384,20.076923076923077,37.53846153846154,9.615384615384615,27.923076923076923,6.3076923076923075,5.923076923076923,12.461538461538462,23.923076923076923,79.92307692307692,37.84615384615385,0.47315384615384615,22.307692307692307,8.23076923076923,0.3669230769230769,25.692307692307693,18.923076923076923,0.7239230769230769,-4.923076923076923,38.0,14.076923076923077,10.384615384615385,14.538461538461538,99.95518348952162,99.0321065664447,54.158851421575754,51.684785403745025,7.653357309844857,55.42168674698795,1.8775510204081631,16.671096184976683,6.197718631178708,15.183044315992294,10.660287081339712,10.655571341587175,0.5168539325842696,0.5683293308236516
2020,4320,18,8,10,108.94444444444444,23.11111111111111,43.388888888888886,10.055555555555555,33.333333333333336,6.833333333333333,3.5,11.444444444444445,18.444444444444443,86.94444444444444,40.05555555555556,0.4609444444444445,32.94444444444444,11.555555555555555,0.35405555555555557,21.166666666666668,17.27777777777778,0.8203888888888888,2.1666666666666665,43.22222222222222,10.222222222222221,10.5,15.666666666666666,106.77777777777777,21.833333333333332,41.166666666666664,8.555555555555555,32.611111111111114,7.166666666666667,4.388888888888889,12.722222222222221,19.666666666666668,84.5,40.05555555555556,0.47411111111111115,31.055555555555557,11.333333333333334,0.3618888888888889,19.333333333333332,15.333333333333334,0.7902222222222223,-2.1666666666666665,45.77777777777778,13.666666666666666,12.5,14.166666666666666,101.68699578712913,101.13699578712914,53.71378582920626,52.645536136529536,5.633999765951619,57.69764216366158,2.0194174757281553,17.66724424965175,4.713541666666666,15.915119363395226,10.262812089356112,10.62600585977799,0.5271565495207668,0.565899436697756
