Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1920,8,6,2,105.875,20.5,42.0,11.5,30.5,8.625,5.0,18.625,25.375,80.0,36.625,0.462,19.125,5.875,0.3205,35.625,26.75,0.747375,4.375,40.5,16.625,15.375,23.625,101.5,21.25,46.75,15.375,31.375,8.875,4.25,19.25,28.5,86.25,38.125,0.440125,19.5,5.25,0.271125,28.0,20.0,0.726375,-4.375,42.75,14.25,19.375,16.375,110.82168908036161,108.53418908036161,48.266315399318735,46.27183955637168,13.7097423850452,55.972696245733786,1.1006711409395973,15.207715133531156,5.364431486880466,13.29700272479564,9.464788732394366,16.294838145231846,0.49453125,0.5533054611967598
2011,480,2,2,0,110.0,24.0,49.0,13.5,35.5,11.5,5.0,16.0,29.5,88.0,38.5,0.4375,21.0,5.5,0.264,36.0,27.5,0.7575000000000001,4.0,41.0,18.0,28.0,22.5,106.0,24.0,47.5,13.5,34.0,9.0,6.0,20.0,26.5,85.0,38.5,0.447,22.5,7.0,0.311,35.0,22.0,0.6285000000000001,-4.0,47.0,18.0,16.0,14.5,115.3193896348013,115.01938963480129,47.755744972169566,46.019172427727035,57.584694817400646,62.33766233766234,1.5,16.685205784204673,5.684210526315789,14.489795918367347,10.155440414507773,13.35113484646195,0.46875,0.5296610169491526
2012,1440,6,3,3,90.83333333333333,22.166666666666668,44.833333333333336,14.0,30.833333333333332,9.333333333333334,5.166666666666667,18.833333333333332,21.166666666666668,85.5,36.166666666666664,0.4246666666666667,16.5,5.333333333333333,0.32783333333333337,18.333333333333332,13.166666666666666,0.7076666666666668,-9.333333333333334,39.333333333333336,13.5,20.333333333333332,21.0,100.16666666666667,24.666666666666668,44.166666666666664,11.666666666666666,32.5,9.0,6.666666666666667,18.666666666666668,20.333333333333332,82.5,38.0,0.46366666666666667,20.5,7.833333333333333,0.38966666666666666,23.333333333333332,16.333333333333332,0.6881666666666667,9.333333333333334,39.333333333333336,12.333333333333334,14.5,23.5,102.30156124815517,103.80156124815517,44.071789031221215,48.600266436264135,17.17526020802586,61.290322580645174,1.176991150442478,16.472628189249445,6.021505376344086,14.509803921568627,10.074906367041198,16.755634638196916,0.4541910331384015,0.48539365871036694
2013,1680,7,2,5,99.57142857142857,21.857142857142858,41.142857142857146,10.0,31.142857142857142,9.571428571428571,5.0,17.0,21.428571428571427,83.85714285714286,37.857142857142854,0.452,19.714285714285715,6.857142857142857,0.3512857142857143,24.285714285714285,17.0,0.6968571428571428,4.571428571428571,44.857142857142854,16.0,22.142857142857142,20.285714285714285,95.0,19.142857142857142,43.57142857142857,10.571428571428571,33.0,7.0,5.0,21.428571428571427,25.142857142857142,81.71428571428571,37.0,0.45271428571428574,20.857142857142858,7.0,0.331,23.571428571428573,14.0,0.5888571428571429,-4.571428571428571,39.42857142857143,11.285714285714286,10.285714285714286,24.142857142857142,107.27142618213261,107.05714046784692,46.45737622742511,44.32446942788766,15.309183332141394,57.73584905660378,1.2857142857142858,16.384664810451916,4.651162790697675,14.931506849315069,9.713322091062397,15.240778688524589,0.4923339011925042,0.5265941372015714
2014,1200,5,1,4,105.2,18.8,40.0,8.6,31.4,10.8,3.0,17.2,26.2,81.6,38.6,0.47220000000000006,24.2,9.4,0.392,26.0,18.6,0.7078,9.8,42.0,11.8,17.4,16.0,95.4,19.0,42.6,8.8,33.8,9.0,2.4,21.8,25.2,74.4,31.8,0.4272,24.6,6.6,0.2682,34.4,25.2,0.7264,-9.8,38.8,9.4,19.4,17.6,107.9248168825683,110.44481688256829,48.17519642550022,43.68739295620457,21.83696337651366,48.704663212435236,1.0930232558139537,14.569125852448854,4.056603773584905,15.621890547263682,9.685230024213075,15.602322206095792,0.5306372549019609,0.5653482373172829
2015,1465,6,2,4,101.5,21.166666666666668,48.333333333333336,13.833333333333334,34.5,11.0,4.833333333333333,19.166666666666668,23.833333333333332,88.83333333333333,37.333333333333336,0.41966666666666663,24.333333333333332,7.0,0.27699999999999997,26.833333333333332,19.833333333333332,0.7373333333333333,1.1666666666666667,40.0,13.0,13.5,24.333333333333332,100.33333333333333,20.666666666666668,45.333333333333336,11.333333333333334,34.0,11.0,4.666666666666667,19.5,24.666666666666668,84.5,36.333333333333336,0.42850000000000005,26.833333333333332,9.166666666666666,0.3475,27.333333333333332,18.5,0.6925,-1.1666666666666667,46.333333333333336,16.666666666666668,15.833333333333334,18.0,110.74317661281808,110.89317661281808,45.795736359489844,45.26934858524283,18.154513574796134,56.69642857142857,1.1043478260869566,15.014659982975505,5.78397212543554,15.054545454545453,10.320284697508896,15.997996772578043,0.45966228893058164,0.5042726550079492
2016,960,4,2,2,104.25,17.25,49.25,15.25,34.0,9.5,6.75,18.0,23.5,89.0,35.25,0.3955,21.5,7.0,0.31,32.25,26.75,0.81775,2.5,43.5,15.25,15.5,21.75,101.75,18.5,47.25,11.75,35.5,10.25,7.25,21.5,29.75,85.25,38.0,0.4465,18.75,7.5,0.3965,27.0,18.25,0.6725,-2.5,42.5,15.25,16.75,19.0,113.46660280222886,111.89160280222887,46.25968675974311,45.15034175351426,28.169775700557217,48.93617021276596,0.9583333333333334,12.460271597804104,6.009852216748769,14.863387978142077,10.207253886010363,14.852710619688093,0.4353932584269663,0.5051361566043221
2017,1200,5,3,2,108.2,19.6,46.6,10.2,36.4,8.8,6.0,17.4,25.8,88.0,38.8,0.4418,26.0,10.8,0.4182,26.2,19.8,0.7384000000000001,-0.6,37.2,11.6,16.4,16.6,108.8,20.0,47.0,11.8,35.2,8.4,5.4,17.0,21.2,89.6,37.6,0.42219999999999996,30.0,10.4,0.3482,30.2,23.2,0.7758,0.6,42.0,16.4,11.8,23.6,112.61554130184437,113.81554130184438,47.78495900643516,48.04994029482574,22.643108260368876,50.515463917525786,1.1264367816091956,14.356029532403609,4.493392070484581,15.103734439834025,9.957264957264957,14.88095238095238,0.5022727272727272,0.5435656297725263
2020,480,2,2,0,98.5,19.0,42.5,6.5,36.0,8.0,2.5,15.0,27.0,89.0,38.0,0.4265,28.5,9.0,0.3155,18.0,13.5,0.7385,-16.5,35.0,9.0,11.5,18.0,115.0,19.5,49.5,8.0,41.5,7.0,2.5,18.0,21.0,78.5,36.5,0.4635,40.0,14.5,0.3615,34.0,27.5,0.7975,16.5,39.0,14.5,13.0,18.5,108.46970170454546,113.26970170454547,44.421513941875105,51.8626812519354,55.43485085227273,50.0,1.2666666666666666,14.512679498930643,2.7083333333333335,16.363636363636363,9.23913043478261,13.402430307362401,0.47752808988764045,0.5081510524143623
2021,720,3,1,2,101.0,20.666666666666668,46.333333333333336,10.0,36.333333333333336,9.666666666666666,4.666666666666667,19.333333333333332,19.666666666666668,88.0,38.0,0.429,34.333333333333336,8.666666666666666,0.25933333333333336,20.0,16.333333333333332,0.8250000000000001,-9.0,54.666666666666664,12.0,13.0,16.666666666666668,110.0,25.0,47.333333333333336,8.666666666666666,38.666666666666664,11.333333333333334,3.3333333333333335,18.666666666666668,18.333333333333332,89.66666666666667,40.333333333333336,0.44799999999999995,43.333333333333336,15.666666666666666,0.36233333333333334,18.666666666666668,13.666666666666666,0.7443333333333334,9.0,36.666666666666664,12.333333333333334,16.666666666666668,28.666666666666668,111.18693083037377,110.78693083037376,45.500852778045896,49.55538421371335,36.99564361012459,54.385964912280706,1.0689655172413794,15.10721247563353,4.109589041095891,16.14814814814815,9.8932384341637,16.647531572904708,0.4810606060606061,0.5216942148760331
