Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,2425,10,4,6,106.6,24.4,42.6,12.9,29.7,9.9,4.1,14.4,22.6,82.1,38.2,0.466,24.6,8.6,0.35300000000000004,28.1,21.6,0.7713,7.0,43.4,17.8,12.9,0.0,99.6,22.6,41.1,12.6,28.5,8.8,4.1,15.8,23.3,80.5,33.8,0.4199,25.7,9.6,0.367,27.9,22.4,0.791,-7.0,36.2,12.3,12.9,0.0,101.46955126426148,101.4095512642615,52.54360782920606,49.093277108714105,10.039378269452683,63.87434554973821,1.6944444444444442,18.309520950894463,6.231884057971015,14.042553191489361,10.17921146953405,13.227513227513226,0.5176613885505481,0.564236111111111
1997,1680,7,5,2,95.57142857142857,22.571428571428573,37.57142857142857,12.142857142857142,25.428571428571427,7.285714285714286,5.571428571428571,11.142857142857142,22.714285714285715,78.42857142857143,35.42857142857143,0.45185714285714285,20.0,6.714285714285714,0.334,25.142857142857142,18.0,0.7247142857142858,0.14285714285714285,44.0,16.0,14.428571428571429,,95.42857142857143,23.285714285714285,44.714285714285715,14.857142857142858,29.857142857142858,6.857142857142857,5.142857142857143,12.142857142857142,23.571428571428573,79.28571428571429,35.57142857142857,0.455,19.0,6.428571428571429,0.329,23.857142857142858,17.857142857142858,0.7538571428571429,-0.14285714285714285,40.857142857142854,16.714285714285715,12.857142857142858,,92.7667061079751,92.38099182226082,51.61902072767877,51.54186225125474,13.224835566445421,63.70967741935484,2.025641025641026,18.32011502249432,5.782312925170068,12.624113475177305,9.131944444444445,11.07262506388053,0.49453551912568305,0.533969733733478
2004,2640,11,5,6,103.18181818181819,17.0,41.0,12.636363636363637,28.363636363636363,6.636363636363637,4.454545454545454,12.545454545454545,25.09090909090909,77.72727272727273,36.54545454545455,0.47263636363636363,15.181818181818182,5.0,0.33336363636363636,32.0,25.09090909090909,0.7791818181818182,7.545454545454546,43.63636363636363,13.545454545454545,10.636363636363637,13.454545454545455,95.63636363636364,18.181818181818183,36.81818181818182,12.272727272727273,24.545454545454547,5.363636363636363,5.181818181818182,14.454545454545455,25.90909090909091,78.54545454545455,34.90909090909091,0.44527272727272726,18.636363636363637,5.545454545454546,0.29045454545454547,26.09090909090909,20.272727272727273,0.7738181818181818,-7.545454545454546,40.72727272727273,15.636363636363637,7.909090909090909,14.818181818181818,98.51616421098798,96.74343693826071,52.843403128202695,48.979083780501526,8.87543641587494,46.517412935323385,1.355072463768116,14.008749850173798,6.797066014669926,13.959731543624159,10.537383177570094,12.022162595393246,0.5023391812865496,0.5619479542123816
2009,1200,5,3,2,88.6,17.2,39.4,9.4,30.0,5.8,6.2,13.6,26.4,79.2,32.2,0.4062,21.6,5.6,0.2486,24.2,18.6,0.7722,-12.2,31.6,14.0,12.6,12.8,100.8,18.4,47.6,13.6,34.0,7.2,6.2,12.4,22.8,80.0,34.2,0.4288,19.0,6.6,0.3496,33.4,25.8,0.756,12.2,40.8,16.4,9.0,12.0,98.49071031158839,101.25071031158839,44.357349478928946,50.465246359774696,19.97414206231768,53.41614906832297,1.2647058823529411,14.256349048471588,4.331797235023042,13.761467889908257,9.057471264367816,13.146701724537932,0.4419191919191919,0.49305493722731725
2010,3725,15,8,7,103.6,18.666666666666668,44.6,13.6,31.0,7.266666666666667,6.333333333333333,14.466666666666667,24.066666666666666,81.8,35.333333333333336,0.43520000000000003,19.2,6.466666666666667,0.33686666666666665,32.93333333333333,26.466666666666665,0.8086666666666668,3.2,42.8,15.133333333333333,13.2,13.666666666666666,100.4,17.533333333333335,41.333333333333336,10.666666666666666,30.666666666666668,7.8,5.933333333333334,13.4,24.733333333333334,80.0,34.93333333333333,0.4376,17.666666666666668,5.333333333333333,0.3121333333333334,31.8,25.2,0.7871333333333334,-3.2,37.333333333333336,14.333333333333334,11.4,16.2,104.05006089959839,103.7100608995984,49.86519987706347,48.32496204302291,6.692943521047949,52.83018867924528,1.2903225806451613,14.422878806609798,6.144578313253012,14.880000000000003,10.380139643134212,13.061588096499253,0.4714751426242869,0.5379545265723227
2011,4080,17,7,10,103.23529411764706,19.941176470588236,42.05882352941177,10.058823529411764,32.0,7.235294117647059,5.411764705882353,13.0,19.941176470588236,77.6470588235294,36.0,0.46282352941176474,19.88235294117647,7.588235294117647,0.3780588235294118,29.11764705882353,23.647058823529413,0.806,5.0,39.88235294117647,12.411764705882353,11.823529411764707,15.058823529411764,98.23529411764706,16.823529411764707,38.05882352941177,9.882352941176471,28.176470588235293,7.470588235294118,5.352941176470588,12.470588235294118,23.529411764705884,80.76470588235294,36.1764705882353,0.4488235294117647,20.88235294117647,7.823529411764706,0.3699411764705882,22.176470588235293,18.058823529411764,0.806,-5.0,39.05882352941177,11.705882352941176,12.470588235294118,14.470588235294118,99.64499230260816,97.56263936143169,52.348528931941765,49.81313009478219,5.800224460707055,55.392156862745104,1.5339366515837105,16.159786442940224,5.2615384615384615,15.280898876404494,10.499265785609397,12.565385490106891,0.5125000000000001,0.5706203667577059
2012,2425,10,5,5,99.2,19.4,42.4,9.5,32.9,6.1,7.7,12.5,23.1,81.4,35.0,0.4303,25.9,8.8,0.3391,26.3,20.4,0.7775000000000001,2.5,36.8,12.9,12.7,16.3,96.7,16.1,44.6,10.4,34.2,6.3,4.5,14.0,23.7,82.6,34.0,0.4145,25.5,8.8,0.34500000000000003,25.1,19.9,0.7983,-2.5,38.4,12.0,12.3,15.2,101.97843438096194,101.61843438096194,48.723735587505324,47.495818864029886,10.074896598528191,55.42857142857143,1.5519999999999998,15.535908770581072,4.3478260869565215,15.196304849884527,9.74712643678161,11.851486650485436,0.484029484029484,0.5334939551692982
2013,3435,14,6,8,105.85714285714286,22.714285714285715,44.57142857142857,12.714285714285714,31.857142857142858,7.642857142857143,4.714285714285714,12.071428571428571,21.857142857142858,85.78571428571429,39.285714285714285,0.46235714285714286,22.071428571428573,7.785714285714286,0.35407142857142854,25.214285714285715,19.5,0.7686428571428571,6.0,41.714285714285715,13.285714285714286,12.142857142857142,16.428571428571427,99.85714285714286,20.571428571428573,41.714285714285715,10.571428571428571,31.142857142857142,6.642857142857143,4.571428571428571,14.0,22.214285714285715,82.5,36.42857142857143,0.44342857142857145,22.285714285714285,7.214285714285714,0.3236428571428571,24.142857142857142,19.785714285714285,0.8056428571428571,-6.0,44.142857142857146,12.071428571428571,13.071428571428571,14.0,101.46093582403843,101.13950725260986,52.24921587022134,49.28772185328572,7.077744736302123,57.81818181818183,1.8816568047337279,17.25148102337087,5.798045602605862,15.016835016835017,10.33112582781457,11.079642304565597,0.5033305578684429,0.5463312492627108
2015,3600,15,6,9,106.93333333333334,22.066666666666666,43.6,11.4,32.2,8.0,5.266666666666667,12.666666666666666,20.466666666666665,84.6,39.06666666666667,0.46353333333333335,25.933333333333334,9.266666666666667,0.36333333333333334,24.533333333333335,19.533333333333335,0.7911333333333334,8.666666666666666,38.8,10.733333333333333,13.733333333333333,16.266666666666666,98.26666666666667,19.666666666666668,41.06666666666667,10.266666666666667,30.8,7.4,3.8,13.4,20.8,82.8,36.53333333333333,0.44253333333333333,21.6,7.4,0.33520000000000005,24.066666666666666,17.8,0.7474000000000001,-8.666666666666666,42.8,14.533333333333333,15.133333333333333,12.666666666666666,101.4484186066698,101.30841860666979,52.73969292627044,48.46527891104902,6.758561240444654,56.484641638225256,1.7421052631578948,16.957662199270462,5.402843601895735,15.164835164835168,10.299212598425196,11.72173827209239,0.516548463356974,0.5604785732256171
2016,1200,5,4,1,104.6,16.8,45.0,13.2,31.8,8.2,6.2,14.4,24.0,87.4,36.0,0.41200000000000003,33.4,9.4,0.2812,29.2,23.2,0.7922,-7.8,46.4,13.2,11.6,15.6,112.4,19.6,44.0,9.6,34.4,7.6,6.8,13.2,20.8,83.8,40.8,0.4864,27.4,8.6,0.3372,31.4,22.2,0.6933999999999999,7.8,50.4,18.6,10.0,16.4,107.51973413713313,108.17973413713312,48.49339724240719,52.10953967539741,21.569946827426627,46.666666666666664,1.1666666666666667,12.780719371918932,5.546218487394959,15.36231884057971,10.112359550561798,12.560184216035168,0.465675057208238,0.5217061687016199
