Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1680,7,3,4,101.42857142857143,18.714285714285715,38.142857142857146,12.428571428571429,25.714285714285715,9.857142857142858,5.428571428571429,17.428571428571427,25.285714285714285,77.57142857142857,35.42857142857143,0.46014285714285713,17.428571428571427,6.0,0.3557142857142857,32.714285714285715,24.571428571428573,0.7597142857142857,-1.7142857142857142,41.42857142857143,12.571428571428571,18.428571428571427,17.571428571428573,103.14285714285714,23.571428571428573,39.0,9.714285714285714,29.285714285714285,9.428571428571429,5.142857142857143,18.857142857142858,26.0,75.42857142857143,36.142857142857146,0.48342857142857143,17.714285714285715,7.0,0.42242857142857143,31.0,23.857142857142858,0.7679999999999999,1.7142857142857142,41.42857142857143,17.714285714285715,12.857142857142858,19.142857142857142,104.91943887696485,104.40515316267913,48.455162597121834,49.27412309172107,14.951756574260283,52.82258064516129,1.0737704918032789,14.608144877113165,5.958904109589041,14.516129032258064,9.888888888888891,15.93188466360217,0.4953959484346225,0.5514477445010563
2011,480,2,0,2,94.5,19.5,42.0,7.0,35.0,6.0,3.5,21.5,24.5,67.0,32.0,0.491,21.0,8.0,0.381,27.0,22.5,0.8374999999999999,5.0,42.0,17.0,17.0,16.0,89.5,19.5,42.0,14.5,27.5,13.5,7.0,15.5,23.5,82.5,33.5,0.405,24.0,7.0,0.307,21.5,15.5,0.6930000000000001,-5.0,29.0,4.0,15.5,25.5,99.77158322353975,98.12158322353974,47.753038519028976,45.22642272437136,49.47329161176988,60.9375,0.9069767441860465,16.266266266266268,4.057971014492754,14.141414141414142,10.0,21.418609284718073,0.5373134328358209,0.5990111561866126
2012,1440,6,2,4,94.33333333333333,21.0,39.0,12.5,26.5,9.0,3.6666666666666665,14.666666666666666,19.166666666666668,83.16666666666667,36.5,0.43850000000000006,18.666666666666668,6.5,0.3591666666666667,19.5,14.833333333333334,0.7638333333333334,-9.666666666666666,43.0,13.0,11.833333333333334,19.5,104.0,26.166666666666668,45.833333333333336,14.5,31.333333333333332,8.166666666666666,6.166666666666667,16.0,18.166666666666668,82.5,39.333333333333336,0.47933333333333333,20.833333333333332,8.166666666666666,0.4026666666666667,22.166666666666668,17.166666666666668,0.7891666666666667,9.666666666666666,44.0,12.666666666666666,16.666666666666668,12.833333333333334,97.26277894989026,98.06277894989026,48.295437805294675,53.24444026590791,16.277129824981706,57.534246575342465,1.4318181818181819,16.48179154457932,5.7034220532319395,12.926829268292684,9.194499017681729,13.782733993233927,0.4779559118236473,0.5140967882575207
2013,1440,6,2,4,90.16666666666667,19.833333333333332,43.666666666666664,12.0,31.666666666666668,7.833333333333333,5.833333333333333,19.5,24.833333333333332,78.5,33.333333333333336,0.4251666666666667,20.5,5.333333333333333,0.2578333333333333,25.666666666666668,18.166666666666668,0.7148333333333333,-3.3333333333333335,33.666666666666664,7.666666666666667,12.333333333333334,21.166666666666668,93.5,20.166666666666668,42.5,12.333333333333334,30.166666666666668,10.166666666666666,5.166666666666667,17.666666666666668,22.833333333333332,79.5,32.666666666666664,0.4106666666666667,22.333333333333332,6.833333333333333,0.2945,29.666666666666668,21.333333333333332,0.7086666666666667,3.3333333333333335,41.333333333333336,16.333333333333332,13.166666666666666,18.333333333333332,102.65001509661838,103.85001509661836,43.66423897482791,45.27844374284373,17.208335849436395,59.5,1.017094017094017,15.359595229490422,5.691699604743082,14.393939393939394,10.135396518375243,17.84189337562523,0.4585987261146497,0.5020788477244041
2014,1680,7,5,2,105.42857142857143,19.285714285714285,42.42857142857143,12.857142857142858,29.571428571428573,10.571428571428571,4.571428571428571,14.857142857142858,28.0,84.14285714285714,37.142857142857146,0.444,22.714285714285715,7.285714285714286,0.3177142857142857,32.42857142857143,23.857142857142858,0.7268571428571429,0.42857142857142855,43.42857142857143,15.571428571428571,16.285714285714285,18.714285714285715,105.0,23.142857142857142,44.0,11.0,33.0,6.0,4.857142857142857,18.857142857142858,27.0,79.0,37.0,0.47028571428571425,21.571428571428573,7.142857142857143,0.3485714285714286,32.285714285714285,23.857142857142858,0.7391428571428571,-0.42857142857142855,40.285714285714285,13.142857142857142,13.571428571428571,21.142857142857142,108.15778169014085,108.1149245472837,48.747978079504755,48.54981556698644,15.448050445530324,51.92307692307692,1.298076923076923,14.549295167478551,5.607476635514018,14.577464788732394,9.818181818181818,13.116738976894359,0.48471986417657054,0.5356520729299733
2015,1440,6,1,5,96.66666666666667,21.666666666666668,40.0,10.666666666666666,29.333333333333332,8.333333333333334,6.333333333333333,18.166666666666668,24.0,83.0,37.5,0.45116666666666666,25.0,7.833333333333333,0.3225,20.333333333333332,13.833333333333334,0.6831666666666667,-6.166666666666667,44.666666666666664,15.833333333333334,17.0,17.0,102.83333333333333,19.166666666666668,42.0,10.166666666666666,31.833333333333332,9.833333333333334,3.6666666666666665,17.166666666666668,19.666666666666668,80.5,37.666666666666664,0.46849999999999997,20.333333333333332,6.666666666666667,0.3265,28.166666666666668,20.833333333333332,0.7241666666666666,6.166666666666667,42.0,13.833333333333334,11.0,21.666666666666668,103.40900839745181,105.75900839745182,46.21484113484311,49.163029276203794,17.430668066241967,57.777777777777786,1.1926605504587156,16.44154398745384,5.019607843137255,14.852320675105485,9.75609756097561,16.498153417690865,0.49899598393574296,0.5256670533642692
2016,985,4,3,1,112.5,19.75,40.75,11.5,29.25,9.75,3.5,15.5,27.75,89.75,39.5,0.43775000000000003,29.0,11.25,0.39,30.25,22.25,0.73275,-3.0,46.5,17.25,15.5,16.25,115.5,23.75,46.25,10.25,36.0,7.25,4.75,21.5,27.0,80.75,40.0,0.49224999999999997,26.75,12.5,0.4655,30.75,23.0,0.7555000000000001,3.0,36.5,14.0,14.5,28.0,113.05901623917389,113.20901623917388,49.719794160832436,51.04565533845464,27.565648626803792,50.0,1.2741935483870968,14.279517026968405,4.842105263157895,14.810126582278482,9.367816091954023,13.073549257759783,0.5027855153203342,0.5457985639433339
2017,960,4,1,3,92.75,17.75,45.5,10.0,35.5,6.75,6.75,18.0,21.75,79.25,31.0,0.394,29.75,9.75,0.328,29.5,21.0,0.70875,-1.25,32.0,8.5,8.0,20.25,94.0,20.0,46.75,10.0,36.75,7.5,6.0,17.75,25.75,83.0,33.0,0.397,39.5,15.0,0.36925,19.0,13.0,0.63925,1.25,31.0,9.5,7.25,18.0,106.34922136686842,103.19922136686843,44.261841696362765,44.85836247394178,26.193555341717108,57.25806451612904,0.9861111111111112,13.869354586654165,4.278074866310161,15.604395604395604,9.86449864498645,16.329492878526715,0.4526813880126183,0.5028190393581264
2020,720,3,2,1,116.66666666666667,24.666666666666668,58.333333333333336,9.666666666666666,48.666666666666664,7.0,4.666666666666667,19.333333333333332,19.333333333333332,94.33333333333333,45.666666666666664,0.48500000000000004,35.0,13.0,0.383,17.0,12.333333333333334,0.7103333333333334,12.0,45.333333333333336,10.0,8.0,21.0,104.66666666666667,22.0,47.333333333333336,10.333333333333334,37.0,9.666666666666666,5.0,13.666666666666666,18.333333333333332,96.0,37.333333333333336,0.3893333333333333,37.666666666666664,14.0,0.37133333333333335,23.0,16.0,0.699,-12.0,44.666666666666664,14.666666666666666,11.666666666666666,17.0,114.07625733118107,115.87625733118105,50.73511235046402,45.51664365155915,38.32541911039369,54.01459854014598,1.2758620689655173,16.916605705925384,4.142857142857143,16.497175141242938,11.041009463722398,15.958617653532908,0.5530035335689046,0.5729439497118911
2021,985,4,3,1,110.5,25.25,49.75,9.0,40.75,8.25,4.5,16.75,20.0,89.0,41.0,0.4605,41.25,15.75,0.39025,19.0,12.75,0.6645,1.75,41.5,11.5,8.75,17.0,108.75,22.75,43.5,9.0,34.5,8.5,4.75,15.25,19.25,91.0,39.75,0.43725,44.75,15.0,0.32825,19.25,14.25,0.74075,-1.75,44.0,10.5,9.0,16.0,109.27672067232716,109.35172067232716,50.542371944098306,49.741927139553766,26.634937016607633,61.58536585365854,1.507462686567164,18.118541905855338,4.137931034482759,16.381909547738694,10.67024128686327,14.678818683726229,0.5491573033707865,0.567481511914544
