Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1440,6,1,5,108.33333333333333,22.333333333333332,49.333333333333336,11.5,37.833333333333336,9.666666666666666,6.833333333333333,21.5,27.333333333333332,80.5,36.833333333333336,0.45916666666666667,18.833333333333332,8.166666666666666,0.4653333333333333,35.666666666666664,26.5,0.7435,11.166666666666666,29.333333333333332,14.333333333333334,9.166666666666666,21.833333333333332,97.16666666666667,19.0,40.166666666666664,9.5,30.666666666666668,11.0,4.666666666666667,19.5,30.166666666666668,80.33333333333333,31.5,0.3958333333333333,20.833333333333332,6.5,0.3083333333333333,37.0,27.666666666666668,0.7395,-11.166666666666666,35.333333333333336,11.166666666666666,16.0,20.0,114.73507122279128,115.1350712227913,47.12805768542959,42.270242508623774,19.15584520379855,60.633484162895925,1.0387596899224805,15.949342982289089,5.454545454545454,15.985915492957746,11.024208566108008,18.267814659567236,0.5082815734989649,0.5631020860766512
2011,240,1,0,1,117.0,22.0,52.0,15.0,37.0,5.0,6.0,14.0,26.0,78.0,37.0,0.474,24.0,15.0,0.625,34.0,28.0,0.824,21.0,26.0,20.0,8.0,15.0,96.0,20.0,40.0,16.0,24.0,4.0,3.0,10.0,23.0,89.0,35.0,0.393,20.0,7.0,0.35,28.0,19.0,0.679,-21.0,42.0,17.0,12.0,12.0,101.14195210449928,99.34195210449927,58.35879965607162,47.88414330754594,100.24195210449928,59.45945945945946,1.5714285714285714,17.05955334987593,7.6923076923076925,13.962264150943396,11.304347826086957,13.089005235602093,0.5705128205128205,0.629302925989673
2012,1440,6,2,4,92.83333333333333,21.333333333333332,44.166666666666664,12.0,32.166666666666664,9.833333333333334,5.333333333333333,16.333333333333332,20.5,81.16666666666667,34.5,0.4251666666666667,18.166666666666668,6.166666666666667,0.3423333333333333,23.666666666666668,17.666666666666668,0.7360000000000001,9.666666666666666,38.333333333333336,12.666666666666666,13.166666666666666,16.0,83.16666666666667,18.0,40.166666666666664,8.333333333333334,31.833333333333332,9.333333333333334,5.166666666666667,20.5,22.666666666666668,72.83333333333333,30.333333333333332,0.41583333333333333,18.166666666666668,5.833333333333333,0.32266666666666666,23.666666666666668,16.666666666666668,0.6856666666666666,-9.666666666666666,34.0,13.666666666666666,9.0,23.166666666666668,100.66985440235334,100.66985440235334,46.10781146176128,41.3066389935707,16.77830906705889,61.83574879227053,1.306122448979592,16.505906019497598,5.475285171102662,15.88477366255144,10.474308300395258,15.135602644097114,0.46303901437371664,0.5068428332241391
2013,1225,5,2,3,98.4,17.6,42.6,14.0,28.6,9.4,5.2,14.8,24.6,87.0,33.8,0.3896,21.4,6.0,0.2942,35.6,24.8,0.7028,-7.0,41.6,16.8,16.6,16.0,105.4,23.0,46.4,9.4,37.0,6.8,6.8,18.4,28.8,79.8,38.2,0.4806,19.4,8.8,0.4466,27.8,20.2,0.7192000000000001,7.0,39.6,14.6,10.4,18.4,110.24147038183693,107.90147038183696,45.10803771853524,48.31694284078876,21.369104401339484,52.07100591715977,1.1891891891891893,13.030859444411538,5.490196078431373,15.052631578947368,9.573033707865168,12.599604985357216,0.42298850574712643,0.4792332268370607
2014,1440,6,1,5,104.0,22.333333333333332,41.833333333333336,10.333333333333334,31.5,11.333333333333334,5.166666666666667,15.833333333333334,22.333333333333332,83.5,38.0,0.457,19.0,6.833333333333333,0.3675,28.333333333333332,21.166666666666668,0.7411666666666666,0.16666666666666666,39.0,14.333333333333334,12.333333333333334,21.333333333333332,103.83333333333333,21.333333333333332,46.166666666666664,13.0,33.166666666666664,6.5,5.166666666666667,18.0,23.166666666666668,85.16666666666667,38.5,0.4515,20.666666666666668,6.5,0.3305,25.0,20.333333333333332,0.8184999999999999,-0.16666666666666666,45.0,13.666666666666666,18.166666666666668,15.333333333333334,107.5405241293211,106.5405241293211,48.5797322303618,48.501880095377246,17.84008735488685,58.7719298245614,1.4105263157894736,16.650099403578526,4.75095785440613,14.157303370786517,9.507575757575758,14.162194394752536,0.4960079840319361,0.5418548106981591
2015,1680,7,5,2,101.85714285714286,20.142857142857142,39.0,9.714285714285714,29.285714285714285,7.428571428571429,4.428571428571429,17.571428571428573,23.142857142857142,76.28571428571429,35.285714285714285,0.4627142857142857,21.142857142857142,8.571428571428571,0.40385714285714286,29.428571428571427,22.714285714285715,0.7682857142857143,3.0,37.42857142857143,13.142857142857142,13.714285714285714,17.714285714285715,98.85714285714286,22.428571428571427,39.42857142857143,9.285714285714286,30.142857142857142,8.714285714285714,4.285714285714286,16.714285714285715,23.714285714285715,78.14285714285714,35.0,0.443,23.285714285714285,8.428571428571429,0.3525714285714286,27.428571428571427,20.428571428571427,0.7324285714285714,-3.0,37.142857142857146,10.0,14.0,16.142857142857142,103.85433777095068,103.25433777095067,49.18052929971809,47.7320144115076,14.793476824421523,57.08502024291497,1.146341463414634,15.86694274396831,4.874551971326164,15.185185185185185,9.94535519125683,16.45176823069927,0.5187265917602996,0.5707287397540983
2016,1440,6,2,4,93.0,14.833333333333334,45.166666666666664,12.0,33.166666666666664,9.0,5.666666666666667,18.333333333333332,22.0,85.0,33.0,0.38916666666666666,24.166666666666668,7.5,0.30883333333333335,26.0,19.5,0.7578333333333332,-9.666666666666666,37.333333333333336,13.0,15.333333333333334,20.333333333333332,102.66666666666667,21.5,45.833333333333336,8.5,37.333333333333336,10.166666666666666,6.333333333333333,18.0,21.0,82.83333333333333,37.5,0.4515,26.166666666666668,8.666666666666666,0.3245,24.833333333333332,19.0,0.7628333333333334,9.666666666666666,43.0,13.666666666666666,13.0,20.666666666666668,108.53529297297297,108.18529297297297,42.91239782048019,47.37282626777025,18.06004882882883,44.94949494949495,0.8090909090909092,11.444884522401113,4.864864864864865,15.92,9.926739926739927,15.973513011152416,0.4323529411764706,0.48216507673164666
2017,720,3,1,2,120.33333333333333,28.666666666666668,43.0,12.0,31.0,9.666666666666666,4.666666666666667,18.333333333333332,23.0,87.33333333333333,41.666666666666664,0.47866666666666663,26.333333333333332,12.666666666666666,0.4563333333333333,29.666666666666668,24.333333333333332,0.8206666666666668,19.0,44.0,8.333333333333334,8.0,23.666666666666668,101.33333333333333,25.333333333333332,41.0,9.0,32.0,7.333333333333333,5.0,21.666666666666668,23.666666666666668,82.0,38.0,0.4656666666666667,27.0,6.666666666666667,0.25233333333333335,26.333333333333332,18.666666666666668,0.6880000000000001,-19.0,46.666666666666664,12.666666666666666,9.0,20.666666666666668,113.00698484848485,112.00698484848485,53.47816115390007,45.03424097170532,37.50232828282829,68.80000000000001,1.5636363636363637,19.44997286050299,5.454545454545454,15.5,10.238095238095237,15.44249775381851,0.549618320610687,0.599349183158454
2020,745,3,2,1,112.0,21.666666666666668,47.666666666666664,8.333333333333334,39.333333333333336,7.333333333333333,6.666666666666667,21.0,25.666666666666668,90.66666666666667,37.0,0.40700000000000003,39.666666666666664,14.666666666666666,0.367,29.666666666666668,23.333333333333332,0.7963333333333334,-7.666666666666667,58.0,11.333333333333334,17.666666666666668,17.0,119.66666666666667,28.666666666666668,51.666666666666664,10.0,41.666666666666664,10.666666666666666,8.333333333333334,17.0,25.333333333333332,94.66666666666667,44.0,0.465,36.333333333333336,12.0,0.33233333333333337,27.666666666666668,19.666666666666668,0.7113333333333333,7.666666666666667,37.333333333333336,11.0,11.0,20.0,121.95346096096097,121.35346096096097,46.03239361843606,49.1834205625552,39.19037668541024,58.55855855855856,1.0317460317460319,14.800983696147194,3.3333333333333335,15.945945945945947,9.59731543624161,16.837716484926236,0.4889705882352941,0.5399151561897416
2021,720,3,1,2,108.0,26.666666666666668,46.333333333333336,10.333333333333334,36.0,9.666666666666666,7.0,19.333333333333332,21.333333333333332,89.0,39.666666666666664,0.446,39.0,13.0,0.3353333333333333,19.0,15.666666666666666,0.8300000000000001,-6.333333333333333,54.666666666666664,15.666666666666666,21.0,23.0,114.33333333333333,25.333333333333332,48.666666666666664,14.0,34.666666666666664,11.333333333333334,5.666666666666667,18.666666666666668,21.666666666666668,94.66666666666667,42.333333333333336,0.44766666666666666,38.666666666666664,12.333333333333334,0.32466666666666666,21.0,17.333333333333332,0.8506666666666667,6.333333333333333,47.333333333333336,15.666666666666666,13.666666666666666,24.0,110.83310864197531,111.43310864197531,48.59038018450969,51.43981605952723,37.044369547325104,67.22689075630252,1.3793103448275863,18.601190476190478,4.592592592592593,14.4,9.75438596491228,16.56764168190128,0.5187265917602996,0.5546425636811833
2022,720,3,1,2,116.33333333333333,27.666666666666668,46.666666666666664,6.666666666666667,40.0,10.666666666666666,4.333333333333333,14.666666666666666,24.0,93.33333333333333,41.666666666666664,0.446,37.0,13.666666666666666,0.36999999999999994,24.0,19.333333333333332,0.8156666666666667,5.666666666666667,42.666666666666664,8.0,19.333333333333332,14.666666666666666,110.66666666666667,25.666666666666668,47.666666666666664,5.0,42.666666666666664,8.666666666666666,5.666666666666667,18.666666666666668,20.0,83.66666666666667,37.666666666666664,0.45,38.333333333333336,11.0,0.27999999999999997,31.0,24.333333333333332,0.805,-5.666666666666667,51.333333333333336,8.666666666666666,20.0,24.333333333333332,117.09686186186187,119.19686186186186,49.232510919058974,46.83436568804464,39.38228728728729,66.4,1.8863636363636365,18.920397556305282,2.7027027027027026,17.77777777777778,9.89399293286219,12.370670265407107,0.5196428571428572,0.5598690965092402
