Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
1996,960,4,3,1,88.75,19.0,39.5,13.25,26.25,6.5,5.25,14.5,25.75,72.25,31.5,0.43525,15.75,3.0,0.1825,32.75,22.75,0.67625,-9.0,44.5,12.25,9.75,0.0,97.75,22.75,36.75,9.75,27.0,6.0,4.25,12.75,26.5,70.25,34.0,0.48724999999999996,13.5,5.0,0.37075,33.0,24.75,0.75325,9.0,42.5,17.25,13.0,0.0,95.6207170354555,95.69571703545549,46.38911467851477,51.09336292760359,23.914554258863873,60.317460317460316,1.3103448275862069,15.812250332889482,6.583850931677019,14.583333333333334,10.360655737704919,14.333728746540135,0.45674740484429066,0.512058619893838
1997,960,4,3,1,101.25,26.75,40.0,10.5,29.5,6.5,6.25,15.0,28.25,75.5,38.25,0.50775,13.25,4.0,0.325,29.75,20.75,0.71175,-1.25,39.0,18.5,11.5,,102.5,21.0,39.25,13.25,26.0,9.25,7.5,12.5,25.75,77.0,34.25,0.45,17.0,6.25,0.35625,39.25,27.75,0.7135,1.25,53.0,11.25,16.0,,100.10332191780822,102.95332191780822,49.86293385306144,50.478525629025164,25.382080479452057,69.93464052287581,1.7833333333333334,20.52324689274206,5.7534246575342465,13.801169590643275,10.094637223974763,14.480162177816391,0.5331125827814569,0.5714527599051812
1998,2640,11,4,7,88.45454545454545,20.0,41.09090909090909,10.090909090909092,31.0,7.0,4.636363636363637,13.363636363636363,24.545454545454547,69.72727272727273,29.727272727272727,0.42854545454545456,12.181818181818182,4.636363636363637,0.38863636363636367,32.63636363636363,24.363636363636363,0.7465454545454545,2.4545454545454546,32.36363636363637,9.727272727272727,9.545454545454545,0.0,86.0,19.09090909090909,36.72727272727273,9.363636363636363,27.363636363636363,8.363636363636363,4.545454545454546,13.181818181818182,28.09090909090909,71.45454545454545,30.272727272727273,0.4243636363636364,13.454545454545455,4.181818181818182,0.29600000000000004,28.272727272727273,21.272727272727273,0.7527272727272727,-2.4545454545454546,32.18181818181818,11.272727272727273,8.363636363636363,0.0,95.15973936094082,93.8506484518499,46.79877464838445,45.500144724945216,8.59138126421776,67.2782874617737,1.4965986394557824,17.028390971856712,5.388349514563107,15.360360360360362,10.560747663551401,13.71319825366618,0.4595827900912646,0.5259686905379691
2000,720,3,3,0,93.33333333333333,20.333333333333332,40.333333333333336,9.666666666666666,30.666666666666668,6.666666666666667,4.666666666666667,14.666666666666666,19.666666666666668,74.0,32.666666666666664,0.441,19.0,4.666666666666667,0.24633333333333332,31.666666666666668,23.333333333333332,0.7383333333333333,-6.0,30.0,8.666666666666666,10.333333333333334,0.0,99.33333333333333,21.333333333333332,46.0,14.666666666666666,31.333333333333332,9.666666666666666,2.0,12.333333333333334,24.0,88.0,38.333333333333336,0.43533333333333335,21.333333333333332,6.0,0.2833333333333334,23.0,16.666666666666668,0.753,6.0,50.0,19.0,14.333333333333334,0.0,101.32290490993145,98.72290490993146,46.6559801564342,49.65529316649068,33.34096830331048,62.244897959183675,1.3863636363636362,16.540130151843815,4.715447154471545,13.529411764705882,9.343629343629342,14.294996751137099,0.47297297297297297,0.5307050796057619
2002,1680,7,4,3,97.14285714285714,21.714285714285715,40.857142857142854,14.142857142857142,26.714285714285715,6.857142857142857,3.2857142857142856,12.428571428571429,24.571428571428573,82.57142857142857,36.285714285714285,0.4401428571428571,20.571428571428573,7.857142857142857,0.3852857142857143,22.142857142857142,16.714285714285715,0.7705714285714286,-7.285714285714286,40.857142857142854,17.857142857142858,13.285714285714286,17.714285714285715,104.42857142857143,21.857142857142858,41.285714285714285,12.0,29.285714285714285,5.714285714285714,4.0,12.285714285714286,21.714285714285715,77.14285714285714,37.0,0.4784285714285715,16.428571428571427,6.571428571428571,0.39199999999999996,29.0,23.857142857142858,0.8351428571428572,7.285714285714286,39.142857142857146,14.142857142857142,12.285714285714286,13.285714285714286,94.56459399189856,96.62173684904144,50.810566171530546,54.62135863439534,13.65616648863857,59.84251968503938,1.7471264367816093,17.171260732037958,6.5131578947368425,13.800738007380074,9.94782608695652,11.865793780687397,0.4870242214532872,0.5261528938409161
2008,1440,6,4,2,90.5,16.0,38.0,10.5,27.5,7.0,5.0,9.666666666666666,18.0,76.66666666666667,34.5,0.45216666666666666,14.166666666666666,5.5,0.37433333333333335,22.5,16.0,0.7094999999999999,1.3333333333333333,34.333333333333336,11.166666666666666,6.5,14.0,89.16666666666667,16.0,38.333333333333336,7.666666666666667,30.666666666666668,4.666666666666667,5.833333333333333,13.833333333333334,23.666666666666668,71.5,33.666666666666664,0.47300000000000003,17.5,6.5,0.3661666666666667,18.833333333333332,15.333333333333334,0.8325,-1.3333333333333333,32.666666666666664,14.833333333333334,5.666666666666667,12.0,90.88334898721467,89.78334898721467,50.09224224201459,49.35423498983022,15.055558164535778,46.3768115942029,1.6551724137931036,14.256014256014254,5.101214574898785,15.639810426540285,9.956331877729257,10.045029442327674,0.4858695652173913,0.5227185213708124
2009,960,4,3,1,95.5,17.5,36.75,9.25,27.5,5.75,6.25,13.25,23.25,75.0,33.5,0.447,17.5,7.25,0.39925,28.5,21.25,0.738,-8.5,35.0,18.5,10.5,14.0,104.0,22.25,41.5,13.25,28.25,5.0,3.75,10.5,24.5,82.25,36.75,0.44675,25.5,10.0,0.398,24.0,20.5,0.8465,8.5,40.5,18.75,10.75,14.25,96.3583373210634,95.00833732106341,49.90419579511101,54.345930499387904,23.92083433026585,52.23880597014925,1.320754716981132,14.794149970411699,4.933333333333334,13.496932515337424,9.39297124600639,13.146145450937592,0.495,0.545464930317569
2010,960,4,3,1,91.25,20.25,38.25,9.25,29.0,4.25,3.25,13.0,22.25,72.0,35.25,0.49025,17.5,6.0,0.34175,21.25,14.75,0.697,-4.5,32.5,12.75,9.75,13.25,95.75,17.0,38.5,10.5,28.0,5.5,4.75,9.0,18.5,74.0,33.75,0.45475,18.25,7.75,0.439,25.5,20.5,0.8027500000000001,4.5,40.0,11.25,9.5,10.5,89.31851478209158,90.59351478209157,50.71923218310802,53.220454592138005,22.489003695522896,57.446808510638306,1.5576923076923077,17.670157068062828,4.966442953020135,14.683544303797468,9.96742671009772,13.778484366719661,0.53125,0.5608481868469576
2013,1945,8,5,3,101.375,16.375,43.625,10.625,33.0,6.0,4.875,14.0,22.25,85.5,37.875,0.44237499999999996,21.0,6.75,0.312875,23.75,18.875,0.8005,-8.125,44.25,15.875,14.5,11.25,109.5,22.0,45.125,11.625,33.5,8.125,4.75,12.0,21.125,90.0,42.5,0.4725,21.25,8.125,0.381125,22.125,16.375,0.722375,8.125,42.25,15.0,9.625,17.75,104.4946767056681,104.0071767056681,48.62067091557483,52.51751876947417,12.863867562653134,43.23432343234324,1.1696428571428572,12.962596477340194,4.81586402266289,14.789915966386555,9.830985915492958,12.73306048203729,0.4824561403508772,0.5282699322563835
2014,960,4,3,1,95.5,15.25,39.5,7.25,32.25,3.5,6.0,10.75,19.5,79.5,33.75,0.42475,19.0,7.5,0.4095,23.5,20.5,0.8655,-5.5,33.0,7.25,11.0,11.75,101.0,19.25,45.5,11.25,34.25,6.5,4.25,8.75,21.0,85.5,36.75,0.43125,20.5,7.0,0.3245,24.0,20.5,0.86825,5.5,44.5,17.75,7.0,9.75,97.97887775238885,98.12887775238886,48.697717106692075,51.502297673046066,24.513469438097214,45.18518518518518,1.4186046511627908,13.164709944751381,3.4939759036144578,14.827586206896552,9.294117647058824,10.68694701262551,0.4716981132075472,0.5315004452359751
