Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1945,8,5,3,109.125,22.75,45.5,11.5,34.0,10.5,5.375,17.125,21.625,82.625,38.875,0.47275,20.25,7.5,0.381125,29.875,23.875,0.796625,16.5,36.25,10.25,14.375,22.25,92.625,19.875,44.625,12.75,31.875,9.125,2.875,20.625,25.75,84.125,34.0,0.40725,18.5,5.125,0.262625,25.875,19.5,0.755625,-16.5,44.25,14.5,21.125,17.75,109.04311517553052,107.84311517553053,50.3143974715987,42.70672225252536,13.381155600065462,58.520900321543415,1.3284671532846715,16.771720299310704,5.302593659942363,14.545454545454545,10.097087378640778,15.168962310111166,0.5158850226928896,0.5697243395635376
2011,240,1,0,1,107.0,25.0,47.0,14.0,33.0,12.0,3.0,19.0,25.0,87.0,43.0,0.494,14.0,4.0,0.286,23.0,17.0,0.739,11.0,28.0,4.0,12.0,25.0,96.0,21.0,32.0,4.0,28.0,9.0,4.0,20.0,22.0,67.0,30.0,0.448,28.0,13.0,0.464,33.0,23.0,0.697,-11.0,62.0,20.0,12.0,21.0,104.81333333333333,107.81333333333333,50.32294475449928,45.14955791057879,106.31333333333333,58.139534883720934,1.3157894736842106,17.715419501133788,6.666666666666667,17.83783783783784,11.89873417721519,16.36238374095763,0.5172413793103449,0.5508649093904447
2012,1680,7,2,5,92.85714285714286,20.571428571428573,42.285714285714285,10.714285714285714,31.571428571428573,7.142857142857143,4.285714285714286,18.428571428571427,24.857142857142858,79.0,35.42857142857143,0.4517142857142857,18.428571428571427,7.714285714285714,0.4228571428571429,22.285714285714285,14.285714285714286,0.6334285714285715,0.0,32.857142857142854,12.714285714285714,11.285714285714286,19.428571428571427,92.85714285714286,21.285714285714285,41.857142857142854,10.142857142857142,31.714285714285715,7.428571428571429,6.571428571428571,17.0,21.428571428571427,77.85714285714286,33.285714285714285,0.429,17.857142857142858,5.142857142857143,0.29842857142857143,29.0,21.142857142857142,0.699,0.0,41.714285714285715,12.714285714285714,9.857142857142858,16.428571428571427,101.60106851291783,103.61535422720354,45.248397578167406,45.248397578167406,14.658315910008671,58.06451612903226,1.116279069767442,16.095859787176966,5.050505050505049,15.136986301369863,10.0509337860781,17.185335180645847,0.4972875226039783,0.5228106299465929
2013,1440,6,3,3,95.0,23.333333333333332,47.5,11.333333333333334,36.166666666666664,8.0,5.833333333333333,20.0,23.833333333333332,84.66666666666667,36.5,0.43216666666666664,19.333333333333332,8.0,0.39716666666666667,19.166666666666668,14.0,0.7205,7.0,32.0,11.333333333333334,12.833333333333334,21.333333333333332,88.0,21.0,43.0,9.0,34.0,9.333333333333334,4.666666666666667,19.0,20.666666666666668,81.33333333333333,32.0,0.395,23.0,7.666666666666667,0.33316666666666667,22.5,16.333333333333332,0.7125,-7.0,32.0,11.0,18.5,19.833333333333332,105.08185347478475,106.08185347478475,44.988791574249106,41.673827984567595,17.596975579130792,63.926940639269404,1.1666666666666665,17.102369899828975,5.0,16.014760147601475,10.497237569060774,17.68346595932803,0.47834645669291337,0.510204081632653
2014,1920,8,2,6,107.375,25.375,40.875,8.875,32.0,10.5,4.875,19.25,24.125,77.875,37.375,0.481875,24.125,8.5,0.3565,32.125,24.125,0.747625,4.0,40.5,12.5,16.25,20.25,103.375,23.125,40.25,10.5,29.75,10.5,4.25,19.25,26.5,80.75,37.75,0.46950000000000003,18.875,7.5,0.3405,28.25,20.375,0.731,-4.0,40.0,11.0,19.625,21.5,109.81279525985151,108.6502952598515,49.150178981980446,47.31920607461913,13.65394315748144,67.89297658862876,1.3181818181818181,18.571376294507264,4.5954692556634305,15.058823529411764,10.07704160246533,17.301815567140032,0.5345104333868379,0.5834963590914031
2015,1620,7,4,3,107.28571428571429,24.428571428571427,40.714285714285715,7.571428571428571,33.142857142857146,10.142857142857142,6.428571428571429,16.142857142857142,25.714285714285715,78.0,37.0,0.47614285714285715,22.285714285714285,7.857142857142857,0.358,35.57142857142857,25.428571428571427,0.7202857142857143,6.714285714285714,41.714285714285715,15.571428571428571,16.857142857142858,18.0,100.57142857142857,21.857142857142858,46.42857142857143,12.571428571428571,33.857142857142854,7.714285714285714,3.4285714285714284,18.142857142857142,26.428571428571427,84.0,35.857142857142854,0.4232857142857143,23.857142857142858,8.714285714285714,0.3554285714285714,28.428571428571427,20.142857142857142,0.7122857142857143,-6.714285714285714,35.714285714285715,13.857142857142858,13.285714285714286,20.571428571428573,110.72245751231526,108.57960036945812,48.92143526694695,45.85977420496758,16.24459688013136,66.02316602316603,1.5132743362831858,18.200008514623864,3.655172413793103,14.500000000000002,9.34426229508197,14.702820859789737,0.5247252747252747,0.5727927268289708
2016,1200,5,1,4,99.8,24.4,41.8,8.0,33.8,10.6,4.6,18.4,23.0,84.6,36.6,0.43100000000000005,29.0,9.4,0.3262,23.4,17.2,0.7304,-8.8,39.6,11.8,14.8,22.8,108.6,23.8,47.8,11.0,36.8,10.2,5.6,19.2,22.4,84.8,38.2,0.4526,31.2,12.2,0.38360000000000005,27.8,20.0,0.7304,8.8,38.0,16.2,21.6,16.4,110.25283482142858,111.57283482142859,44.9902845602493,48.957363759950645,22.18256696428572,66.66666666666666,1.3260869565217392,17.72019521264234,3.5714285714285716,15.089285714285712,9.330357142857142,16.24064397683943,0.48817966903073295,0.5258388130163548
2017,960,4,2,2,106.0,25.0,43.75,13.0,30.75,7.25,4.25,18.25,21.25,86.5,39.5,0.45899999999999996,29.5,8.5,0.288,25.75,18.5,0.69475,-10.75,43.0,11.25,8.75,22.25,116.75,27.0,42.25,11.0,31.25,8.5,3.25,17.75,22.5,84.75,41.25,0.4865,27.25,13.75,0.497,26.25,20.5,0.7905,10.75,47.0,15.0,11.25,21.5,108.43109171487534,108.58109171487533,48.84518386236753,53.79882279180575,27.126522928718835,63.29113924050633,1.36986301369863,17.720442302239867,5.875706214689266,14.730538922155688,10.174418604651162,15.721915920055135,0.5057803468208093,0.5417561075334765
2020,240,1,0,1,107.0,25.0,39.0,5.0,34.0,7.0,7.0,17.0,31.0,80.0,35.0,0.438,40.0,11.0,0.275,35.0,26.0,0.743,2.0,36.0,6.0,14.0,21.0,105.0,20.0,48.0,12.0,36.0,11.0,3.0,18.0,31.0,93.0,40.0,0.43,25.0,7.0,0.28,25.0,18.0,0.72,-2.0,58.0,16.0,6.0,20.0,116.36706786850478,113.36706786850478,46.57557731102239,45.70500577249861,114.86706786850479,71.42857142857143,1.4705882352941178,18.195050946142647,2.4390243902439024,14.782608695652174,8.96551724137931,15.124555160142348,0.50625,0.560796645702306
2021,960,4,0,4,112.0,25.75,47.0,10.25,36.75,11.75,5.5,19.0,20.5,93.5,40.5,0.43374999999999997,46.0,15.5,0.33599999999999997,19.75,15.5,0.8045,-4.25,43.0,10.5,19.75,16.5,116.25,27.25,48.5,9.25,39.25,12.0,3.5,20.0,19.25,90.75,41.25,0.4555,46.5,18.25,0.39575,20.5,15.5,0.75225,4.25,40.0,17.25,10.75,24.0,114.60322477492315,114.82822477492314,48.81632410018264,50.66872925576993,28.678931193730783,63.580246913580254,1.355263157894737,17.52415952089288,4.141414141414141,15.978260869565217,9.842931937172775,15.677861209670764,0.516042780748663,0.547998825716802
