Season,mp,gp,losses,wins,tm_pts,tm_ast,tm_treb,tm_oreb,tm_dreb,tm_stl,tm_blk,tm_tov,tm_pf,tm_fga,tm_fgm,tm_fg_pct,tm_fg3a,tm_fg3m,tm_fg3_pct,tm_fta,tm_ftm,tm_ft_pct,tm_pm,tm_pts_paint,tm_pts_2nd_chance,tm_pts_fb,tm_pts_off_tov,opp_pts,opp_ast,opp_treb,opp_oreb,opp_dreb,opp_stl,opp_blk,opp_tov,opp_pf,opp_fga,opp_fgm,opp_fg_pct,opp_fg3a,opp_fg3m,opp_fg3_pct,opp_fta,opp_ftm,opp_ft_pct,opp_pm,opp_pts_paint,opp_pts_2nd_chance,opp_pts_fb,opp_pts_off_tov,tm_poss,opp_poss,ORtg,DRtg,pace,ast_pct,ast_tov_ratio,ast_ratio,oreb_pct,dreb_pct,treb_pct,tov_ratio,efg_pct,ts_pct
2010,1440,6,3,3,95.0,20.5,38.0,9.833333333333334,28.166666666666668,10.166666666666666,5.5,17.333333333333332,22.166666666666668,79.16666666666667,34.833333333333336,0.4411666666666667,16.166666666666668,5.833333333333333,0.3405,27.5,19.5,0.6746666666666666,-1.1666666666666667,36.666666666666664,11.666666666666666,15.333333333333334,24.0,96.16666666666667,23.166666666666668,44.666666666666664,12.5,32.166666666666664,7.5,5.333333333333333,20.833333333333332,22.833333333333332,80.0,36.5,0.45883333333333337,15.5,5.833333333333333,0.35916666666666663,25.5,17.333333333333332,0.6793333333333332,1.1666666666666667,37.666666666666664,13.666666666666666,20.166666666666668,19.0,105.01013243776563,104.41013243776564,45.363327210221584,45.92042070227694,17.451688739627606,58.85167464114832,1.1826923076923077,15.879163439194423,4.682539682539683,13.852459016393441,9.193548387096776,15.960712093308778,0.47684210526315784,0.5204528853177501
2011,480,2,2,0,89.5,15.0,45.0,12.0,33.0,7.5,4.0,20.0,24.0,75.5,28.0,0.373,15.5,5.0,0.319,35.5,28.5,0.8125,-9.0,24.0,11.0,16.5,16.5,98.5,20.0,47.0,14.5,32.5,8.5,2.5,16.5,22.5,88.5,37.0,0.428,17.5,5.0,0.291,25.0,19.5,0.7845,9.0,39.0,20.0,11.0,14.5,107.93642785334123,104.78642785334122,42.0735231776923,46.304380257013314,53.18071392667061,53.57142857142857,0.75,11.893434823977165,5.393258426966292,13.894736842105264,9.782608695652174,17.998560115190784,0.40397350993377484,0.4911106233538191
2012,1920,8,5,3,96.5,21.875,43.0,13.25,29.75,8.0,2.5,16.25,25.0,84.375,35.125,0.41875,22.5,8.5,0.364375,23.625,17.75,0.759125,-1.75,38.25,14.75,13.625,17.0,98.25,21.25,43.25,11.75,31.5,7.5,6.0,16.5,22.875,78.0,34.625,0.444875,19.75,6.75,0.334,30.625,22.25,0.724,1.75,37.75,14.5,16.75,17.25,101.32814748519218,103.42814748519217,47.12919815918608,47.98387273720241,12.797268435649023,62.27758007117438,1.3461538461538463,16.460363444824864,5.921787709497207,14.337349397590362,9.971014492753623,14.637002341920375,0.4666666666666667,0.5091273609792129
2013,1705,7,5,2,92.85714285714286,21.0,42.857142857142854,10.571428571428571,32.285714285714285,9.714285714285714,4.428571428571429,20.285714285714285,22.285714285714285,81.14285714285714,33.285714285714285,0.4115714285714286,24.571428571428573,7.428571428571429,0.29842857142857143,25.0,18.857142857142858,0.7540000000000001,-1.4285714285714286,35.714285714285715,11.0,13.571428571428571,20.0,94.28571428571429,23.142857142857142,43.142857142857146,10.0,33.142857142857146,9.857142857142858,4.857142857142857,20.428571428571427,22.714285714285715,77.71428571428571,34.42857142857143,0.44185714285714284,23.0,7.857142857142857,0.3282857142857143,26.285714285714285,17.571428571428573,0.6627142857142857,1.4285714285714286,35.142857142857146,13.142857142857142,14.857142857142858,21.428571428571427,106.0746235205794,106.4603378062937,43.69029089493237,44.36244921639287,14.958472351451476,63.0901287553648,1.0352112676056338,15.738758029978587,4.836601307189542,15.27027027027027,9.966777408637872,18.04320203303685,0.45598591549295775,0.5038759689922481
2014,1440,6,3,3,93.0,20.0,41.333333333333336,9.166666666666666,32.166666666666664,9.5,3.1666666666666665,21.833333333333332,26.833333333333332,74.0,33.833333333333336,0.4578333333333333,17.166666666666668,7.333333333333333,0.40633333333333327,23.333333333333332,18.0,0.8051666666666666,2.3333333333333335,37.0,13.166666666666666,8.666666666666666,19.333333333333332,90.66666666666667,20.166666666666668,39.166666666666664,11.166666666666666,28.0,9.5,4.833333333333333,17.666666666666668,20.666666666666668,77.83333333333333,32.5,0.41783333333333333,19.0,5.666666666666667,0.28883333333333333,27.0,20.0,0.738,-2.3333333333333335,26.333333333333332,11.333333333333334,12.333333333333334,24.166666666666668,101.383417212832,102.48341721283201,45.61801347531621,44.47347550281724,16.988902868805333,59.11330049261083,0.9160305343511451,15.860428231562253,4.932735426008969,14.846153846153848,10.269151138716357,20.57807100219918,0.5067567567567568,0.5518196202531646
2015,1440,6,2,4,113.0,25.166666666666668,45.5,11.666666666666666,33.833333333333336,9.0,3.0,14.666666666666666,21.5,89.66666666666667,41.0,0.4583333333333333,27.333333333333332,10.166666666666666,0.36516666666666664,28.333333333333332,20.833333333333332,0.7458333333333332,9.0,41.666666666666664,9.0,16.166666666666668,23.166666666666668,104.0,25.666666666666668,44.833333333333336,10.333333333333334,34.5,7.666666666666667,5.166666666666667,19.5,23.833333333333332,83.66666666666667,38.5,0.46016666666666667,27.333333333333332,8.333333333333334,0.309,24.333333333333332,18.666666666666668,0.7605,-9.0,43.333333333333336,13.5,20.5,17.0,110.75016713212088,109.55016713212089,51.29361259364266,47.208280617157854,18.358361188686814,61.38211382113822,1.715909090909091,17.727166001408783,5.054151624548736,15.32075471698113,10.073800738007378,12.557077625570773,0.5139405204460966,0.5531984334203655
2016,1730,7,3,4,105.42857142857143,24.428571428571427,44.142857142857146,9.285714285714286,34.857142857142854,9.285714285714286,4.428571428571429,18.0,22.428571428571427,84.42857142857143,39.857142857142854,0.47528571428571426,26.142857142857142,10.0,0.3897142857142857,22.857142857142858,15.714285714285714,0.6838571428571428,6.142857142857143,46.285714285714285,10.714285714285714,15.142857142857142,18.571428571428573,99.28571428571429,19.428571428571427,44.0,10.428571428571429,33.57142857142857,11.285714285714286,3.142857142857143,17.142857142857142,21.714285714285715,85.57142857142857,37.57142857142857,0.4361428571428571,23.428571428571427,5.857142857142857,0.254,23.571428571428573,18.285714285714285,0.7734285714285714,-6.142857142857143,42.285714285714285,13.428571428571429,11.714285714285714,18.0,107.83402343397927,108.04830914826498,48.83612761058458,45.99066218069958,14.974497057727927,61.29032258064516,1.357142857142857,17.842237061769616,4.333333333333335,15.394321766561513,10.0162074554295,16.002032004064006,0.5313028764805414,0.5579074690051405
2017,960,4,0,4,108.75,22.75,38.75,8.75,30.0,10.25,5.25,17.5,22.75,85.5,41.75,0.48775,27.25,10.25,0.3785,20.0,15.0,0.7517499999999999,8.75,47.5,12.25,6.75,20.5,100.0,21.75,37.75,8.25,29.5,9.0,2.5,21.25,21.0,78.25,35.75,0.45775,23.25,7.5,0.31,27.25,21.0,0.7697499999999999,-8.75,41.5,12.75,5.75,22.75,106.64146241830065,108.81646241830066,50.47389186657844,46.412774130187074,26.932240604575163,54.49101796407185,1.3,16.90821256038647,4.57516339869281,15.686274509803921,10.130718954248366,15.652951699463328,0.5482456140350878,0.5766171792152704
2020,720,3,2,1,102.33333333333333,21.333333333333332,46.666666666666664,8.333333333333334,38.333333333333336,11.0,1.6666666666666667,20.333333333333332,24.333333333333332,87.66666666666667,38.666666666666664,0.443,37.666666666666664,13.666666666666666,0.36800000000000005,17.0,11.333333333333334,0.6523333333333333,1.0,40.0,10.333333333333334,10.0,18.666666666666668,101.33333333333333,21.666666666666668,42.666666666666664,5.666666666666667,37.0,11.0,4.666666666666667,19.333333333333332,16.333333333333332,80.33333333333333,35.666666666666664,0.446,36.0,12.0,0.3423333333333334,27.666666666666668,18.0,0.6503333333333333,-1.0,34.0,6.666666666666667,11.0,20.0,110.17013183303624,113.37013183303624,45.77847930169765,45.33113259842373,37.256710611012075,55.172413793103445,1.0491803278688525,15.593022122600134,3.676470588235294,17.424242424242426,10.447761194029852,17.607666551206556,0.5190114068441064,0.537766255605381
2021,720,3,3,0,115.0,23.333333333333332,49.333333333333336,11.0,38.333333333333336,7.0,6.333333333333333,13.666666666666666,22.333333333333332,88.33333333333333,39.333333333333336,0.44766666666666666,37.333333333333336,14.0,0.37966666666666665,30.666666666666668,22.333333333333332,0.7246666666666667,-1.0,40.0,13.0,9.666666666666666,16.333333333333332,116.0,25.0,49.333333333333336,11.333333333333334,38.0,7.0,5.0,14.666666666666666,23.0,92.0,41.333333333333336,0.45199999999999996,41.0,15.666666666666666,0.38233333333333336,25.333333333333332,17.666666666666668,0.729,1.0,43.333333333333336,16.0,10.666666666666666,12.666666666666666,112.86291946308725,111.26291946308726,51.31046047657192,51.756638393759495,37.35430648769575,59.32203389830508,1.7073170731707317,16.807529773338455,4.489795918367347,15.436241610738255,10.0,11.833294851073653,0.5245283018867926,0.5646850857666623
